case_id,family,question,expected_behavior,reference_sql,expected_result,evidence_sql,expected_explanation
G013,spend,What was August vendor outflow in category UTIL?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='UTIL'","[{""transaction_count"": 6, ""amount_minor"": 12210771}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='UTIL' ORDER BY transaction_id,kind",
G014,spend,What was August vendor outflow in category SERV?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='SERV'","[{""transaction_count"": 7, ""amount_minor"": 45183010}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND category_code='SERV' ORDER BY transaction_id,kind",
G015,spend,What was August vendor outflow for Acme Supplies?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND vendor_id='f22c83a8-9d83-5529-a9b5-56b892019de1'","[{""transaction_count"": 13, ""amount_minor"": 14185102}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND vendor_id='f22c83a8-9d83-5529-a9b5-56b892019de1' ORDER BY transaction_id,kind",
G016,spend,What was August vendor outflow for Nimbus?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND vendor_id='5d74c914-28b2-5787-aa3b-55eaff8775e6'","[{""transaction_count"": 2, ""amount_minor"": 2700000}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND vendor_id='5d74c914-28b2-5787-aa3b-55eaff8775e6' ORDER BY transaction_id,kind",
G017,spend,What was August vendor outflow for ACME Logistics?,answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND vendor_id='8463a659-7733-5594-8590-3d7cd66a5c08'","[{""transaction_count"": 3, ""amount_minor"": 1150000}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND vendor_id='8463a659-7733-5594-8590-3d7cd66a5c08' ORDER BY transaction_id,kind",
G018,spend,Break August vendor outflow down by category.,answer,"SELECT category_code,SUM(outflow_minor) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' GROUP BY category_code ORDER BY category_code","[{""category_code"": ""LOG"", ""amount_minor"": 36515849}, {""category_code"": ""SERV"", ""amount_minor"": 45183010}, {""category_code"": ""SUP"", ""amount_minor"": 372143654}, {""category_code"": ""TECH"", ""amount_minor"": 11905620}, {""category_code"": ""UTIL"", ""amount_minor"": 12210771}]","SELECT transaction_id,category_code,outflow_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment'",
G019,spend,Who were the top five vendors by August cash outflow?,answer,"SELECT vendor_id,vendor_name,SUM(outflow_minor) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' GROUP BY vendor_id,vendor_name ORDER BY amount_minor DESC,vendor_id LIMIT 5","[{""vendor_id"": ""43a483cc-a5dc-51c4-89ab-f35c67bf04ab"", ""vendor_name"": ""ETMONEY MUTUAL FUND"", ""amount_minor"": 315371489}, {""vendor_id"": ""b7246714-7696-5218-97d3-ec9f16a96d23"", ""vendor_name"": ""MIRAE ASSET"", ""amount_minor"": 40423804}, {""vendor_id"": ""f22ef9ca-1db5-5774-bbe8-bbc1a30be2dd"", ""vendor_name"": ""Chakraborty Ltd"", ""amount_minor"": 37720106}, {""vendor_id"": ""3fe36217-513d-5d1e-a370-87ca79cb7dc7"", ""vendor_name"": ""Randhawa, Verma and Pandya"", ""amount_minor"": 23986401}, {""vendor_id"": ""f22c83a8-9d83-5529-a9b5-56b892019de1"", ""vendor_name"": ""ACME Supplies Pvt Ltd"", ""amount_minor"": 14185102}]","SELECT transaction_id,vendor_id,outflow_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment'",
G020,spend,"Show August vendor outflow above 50,000 INR per allocation.",answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND outflow_minor>5000000","[{""transaction_count"": 6, ""amount_minor"": 433881249}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND outflow_minor>5000000 ORDER BY transaction_id,kind",
G021,spend,"Show August vendor outflow at least 50,000 INR per allocation.",answer,"SELECT COUNT(DISTINCT transaction_id) transaction_count,COALESCE(SUM(outflow_minor),0) amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND outflow_minor>=5000000","[{""transaction_count"": 7, ""amount_minor"": 438881249}]","SELECT transaction_id,vendor_id,category_code,kind,amount_minor FROM v_cashflow WHERE transaction_date >= '2026-08-01' AND transaction_date < '2026-09-01' AND kind='vendor_payment' AND outflow_minor>=5000000 ORDER BY transaction_id,kind",
G022,payout,What is the count and instructed amount of succeeded payouts?,answer,"SELECT COUNT(*) payout_count,COALESCE(SUM(amount_minor),0) amount_minor FROM payout WHERE status='succeeded'","[{""payout_count"": 529, ""amount_minor"": 7877549185}]","SELECT payout_id,vendor_id,requested_date,settled_date,amount_minor FROM payout WHERE status='succeeded' ORDER BY payout_id",Instruction amount/status is distinct from observed cash and reconciliation.
G023,payout,What is the count and instructed amount of pending payouts?,answer,"SELECT COUNT(*) payout_count,COALESCE(SUM(amount_minor),0) amount_minor FROM payout WHERE status='pending'","[{""payout_count"": 1, ""amount_minor"": 80000}]","SELECT payout_id,vendor_id,requested_date,settled_date,amount_minor FROM payout WHERE status='pending' ORDER BY payout_id",Instruction amount/status is distinct from observed cash and reconciliation.
G024,payout,What is the count and instructed amount of processing payouts?,answer,"SELECT COUNT(*) payout_count,COALESCE(SUM(amount_minor),0) amount_minor FROM payout WHERE status='processing'","[{""payout_count"": 3, ""amount_minor"": 1190000}]","SELECT payout_id,vendor_id,requested_date,settled_date,amount_minor FROM payout WHERE status='processing' ORDER BY payout_id",Instruction amount/status is distinct from observed cash and reconciliation.
G025,payout,What is the count and instructed amount of failed payouts?,answer,"SELECT COUNT(*) payout_count,COALESCE(SUM(amount_minor),0) amount_minor FROM payout WHERE status='failed'","[{""payout_count"": 1, ""amount_minor"": 70000}]","SELECT payout_id,vendor_id,requested_date,settled_date,amount_minor FROM payout WHERE status='failed' ORDER BY payout_id",Instruction amount/status is distinct from observed cash and reconciliation.
G026,payout,What is the count and instructed amount of cancelled payouts?,answer,"SELECT COUNT(*) payout_count,COALESCE(SUM(amount_minor),0) amount_minor FROM payout WHERE status='cancelled'","[{""payout_count"": 1, ""amount_minor"": 60000}]","SELECT payout_id,vendor_id,requested_date,settled_date,amount_minor FROM payout WHERE status='cancelled' ORDER BY payout_id",Instruction amount/status is distinct from observed cash and reconciliation.
G027,payout,What is the count and instructed amount of reversed payouts?,answer,"SELECT COUNT(*) payout_count,COALESCE(SUM(amount_minor),0) amount_minor FROM payout WHERE status='reversed'","[{""payout_count"": 1, ""amount_minor"": 320000}]","SELECT payout_id,vendor_id,requested_date,settled_date,amount_minor FROM payout WHERE status='reversed' ORDER BY payout_id",Instruction amount/status is distinct from observed cash and reconciliation.
G028,payout,What is the instructed amount of successful payouts settled in August?,answer,"SELECT COUNT(*) payout_count,SUM(amount_minor) amount_minor FROM payout WHERE status='succeeded' AND settled_date>='2026-08-01' AND settled_date<'2026-09-01'","[{""payout_count"": 36, ""amount_minor"": 476918904}]","SELECT payout_id,vendor_id,amount_minor FROM payout WHERE status='succeeded' AND settled_date>='2026-08-01' AND settled_date<'2026-09-01'",
G029,payout,Which payouts succeeded after a failed attempt?,answer,"SELECT p.payout_id,p.amount_minor FROM payout p WHERE p.status='succeeded' AND EXISTS(SELECT 1 FROM payout_attempt a WHERE a.payout_id=p.payout_id AND a.status='failed') ORDER BY p.payout_id","[{""payout_id"": ""PAY-RETRY"", ""amount_minor"": 150000}]",SELECT * FROM payout_attempt WHERE payout_id='PAY-RETRY' ORDER BY attempt_number,
