attempt_id,payout_id,attempt_number,attempt_date,status,failure_code
ATT-LEGACY-0018-1,PAY-LEGACY-0018,1,2024-08-19,succeeded,
ATT-LEGACY-0019-1,PAY-LEGACY-0019,1,2026-08-31,succeeded,
ATT-LEGACY-0020-1,PAY-LEGACY-0020,1,2025-04-10,succeeded,
ATT-LEGACY-0021-1,PAY-LEGACY-0021,1,2025-08-21,succeeded,
ATT-LEGACY-0022-1,PAY-LEGACY-0022,1,2025-02-03,succeeded,
ATT-LEGACY-0023-1,PAY-LEGACY-0023,1,2026-02-15,succeeded,
ATT-LEGACY-0024-1,PAY-LEGACY-0024,1,2025-01-01,succeeded,
ATT-LEGACY-0025-1,PAY-LEGACY-0025,1,2025-06-24,succeeded,
ATT-LEGACY-0026-1,PAY-LEGACY-0026,1,2024-07-07,succeeded,
ATT-LEGACY-0027-1,PAY-LEGACY-0027,1,2024-02-18,succeeded,
ATT-LEGACY-0028-1,PAY-LEGACY-0028,1,2024-06-05,succeeded,
ATT-LEGACY-0029-1,PAY-LEGACY-0029,1,2025-06-03,succeeded,
ATT-LEGACY-0030-1,PAY-LEGACY-0030,1,2025-10-05,succeeded,
ATT-LEGACY-0031-1,PAY-LEGACY-0031,1,2024-01-23,succeeded,
ATT-LEGACY-0032-1,PAY-LEGACY-0032,1,2025-12-28,succeeded,
ATT-LEGACY-0033-1,PAY-LEGACY-0033,1,2026-02-07,succeeded,
ATT-LEGACY-0034-1,PAY-LEGACY-0034,1,2024-03-07,succeeded,
ATT-LEGACY-0035-1,PAY-LEGACY-0035,1,2024-09-14,succeeded,
ATT-LEGACY-0036-1,PAY-LEGACY-0036,1,2026-04-22,succeeded,
ATT-LEGACY-0037-1,PAY-LEGACY-0037,1,2026-06-08,succeeded,
ATT-LEGACY-0038-1,PAY-LEGACY-0038,1,2026-02-16,succeeded,
ATT-LEGACY-0039-1,PAY-LEGACY-0039,1,2024-04-24,succeeded,
ATT-LEGACY-0040-1,PAY-LEGACY-0040,1,2024-10-31,succeeded,
ATT-LEGACY-0041-1,PAY-LEGACY-0041,1,2025-05-19,succeeded,
ATT-LEGACY-0042-1,PAY-LEGACY-0042,1,2025-02-20,succeeded,
ATT-LEGACY-0043-1,PAY-LEGACY-0043,1,2025-03-03,succeeded,
ATT-LEGACY-0044-1,PAY-LEGACY-0044,1,2025-10-29,succeeded,
ATT-LEGACY-0045-1,PAY-LEGACY-0045,1,2024-09-02,succeeded,
ATT-LEGACY-0046-1,PAY-LEGACY-0046,1,2024-04-12,succeeded,
ATT-LEGACY-0047-1,PAY-LEGACY-0047,1,2025-09-27,succeeded,
ATT-LEGACY-0048-1,PAY-LEGACY-0048,1,2026-06-27,succeeded,
ATT-LEGACY-0049-1,PAY-LEGACY-0049,1,2024-02-24,succeeded,
ATT-LEGACY-0050-1,PAY-LEGACY-0050,1,2024-12-18,succeeded,
ATT-LEGACY-0051-1,PAY-LEGACY-0051,1,2025-09-11,succeeded,
ATT-LEGACY-0052-1,PAY-LEGACY-0052,1,2025-03-21,succeeded,
ATT-LEGACY-0053-1,PAY-LEGACY-0053,1,2024-01-30,succeeded,
ATT-LEGACY-0054-1,PAY-LEGACY-0054,1,2024-02-09,succeeded,
ATT-LEGACY-0055-1,PAY-LEGACY-0055,1,2025-12-17,succeeded,
ATT-LEGACY-0056-1,PAY-LEGACY-0056,1,2025-11-07,succeeded,
ATT-LEGACY-0057-1,PAY-LEGACY-0057,1,2025-11-20,succeeded,
ATT-LEGACY-0058-1,PAY-LEGACY-0058,1,2024-02-23,succeeded,
ATT-LEGACY-0059-1,PAY-LEGACY-0059,1,2024-01-01,succeeded,
ATT-LEGACY-0060-1,PAY-LEGACY-0060,1,2026-06-01,succeeded,
ATT-LEGACY-0061-1,PAY-LEGACY-0061,1,2024-05-02,succeeded,
ATT-LEGACY-0062-1,PAY-LEGACY-0062,1,2026-05-25,succeeded,
ATT-LEGACY-0063-1,PAY-LEGACY-0063,1,2024-06-03,succeeded,
ATT-LEGACY-0064-1,PAY-LEGACY-0064,1,2026-07-05,succeeded,
ATT-LEGACY-0065-1,PAY-LEGACY-0065,1,2024-09-09,succeeded,
ATT-LEGACY-0066-1,PAY-LEGACY-0066,1,2024-11-06,succeeded,
ATT-LEGACY-0067-1,PAY-LEGACY-0067,1,2025-11-08,succeeded,
ATT-LEGACY-0068-1,PAY-LEGACY-0068,1,2024-02-12,succeeded,
ATT-LEGACY-0069-1,PAY-LEGACY-0069,1,2025-02-18,succeeded,
ATT-LEGACY-0070-1,PAY-LEGACY-0070,1,2024-02-28,succeeded,
ATT-LEGACY-0071-1,PAY-LEGACY-0071,1,2025-11-04,succeeded,
ATT-LEGACY-0072-1,PAY-LEGACY-0072,1,2025-09-14,succeeded,
ATT-LEGACY-0073-1,PAY-LEGACY-0073,1,2025-05-13,succeeded,
ATT-LEGACY-0074-1,PAY-LEGACY-0074,1,2026-04-23,succeeded,
ATT-LEGACY-0075-1,PAY-LEGACY-0075,1,2026-04-28,succeeded,
ATT-LEGACY-0076-1,PAY-LEGACY-0076,1,2025-12-21,succeeded,
ATT-LEGACY-0077-1,PAY-LEGACY-0077,1,2025-10-15,succeeded,
ATT-LEGACY-0078-1,PAY-LEGACY-0078,1,2024-05-23,succeeded,
ATT-LEGACY-0079-1,PAY-LEGACY-0079,1,2026-07-25,succeeded,
ATT-LEGACY-0080-1,PAY-LEGACY-0080,1,2026-07-19,succeeded,
ATT-LEGACY-0081-1,PAY-LEGACY-0081,1,2024-06-10,succeeded,
ATT-LEGACY-0082-1,PAY-LEGACY-0082,1,2024-03-03,succeeded,
ATT-LEGACY-0083-1,PAY-LEGACY-0083,1,2026-04-14,succeeded,
ATT-LEGACY-0084-1,PAY-LEGACY-0084,1,2026-08-06,succeeded,
ATT-LEGACY-0085-1,PAY-LEGACY-0085,1,2024-09-02,succeeded,
ATT-LEGACY-0086-1,PAY-LEGACY-0086,1,2026-01-08,succeeded,
ATT-LEGACY-0087-1,PAY-LEGACY-0087,1,2026-03-29,succeeded,
ATT-LEGACY-0088-1,PAY-LEGACY-0088,1,2024-03-24,succeeded,
ATT-LEGACY-0089-1,PAY-LEGACY-0089,1,2025-10-16,succeeded,
ATT-LEGACY-0090-1,PAY-LEGACY-0090,1,2024-02-04,succeeded,
ATT-LEGACY-0091-1,PAY-LEGACY-0091,1,2024-04-21,succeeded,
ATT-LEGACY-0092-1,PAY-LEGACY-0092,1,2024-01-28,succeeded,
ATT-LEGACY-0093-1,PAY-LEGACY-0093,1,2024-11-21,succeeded,
ATT-LEGACY-0094-1,PAY-LEGACY-0094,1,2025-10-11,succeeded,
ATT-LEGACY-0095-1,PAY-LEGACY-0095,1,2025-08-05,succeeded,
ATT-LEGACY-0096-1,PAY-LEGACY-0096,1,2026-01-13,succeeded,
ATT-LEGACY-0097-1,PAY-LEGACY-0097,1,2026-03-18,succeeded,
ATT-LEGACY-0098-1,PAY-LEGACY-0098,1,2024-08-17,succeeded,
ATT-LEGACY-0099-1,PAY-LEGACY-0099,1,2025-11-20,succeeded,
ATT-LEGACY-0100-1,PAY-LEGACY-0100,1,2026-02-25,succeeded,
ATT-LEGACY-0101-1,PAY-LEGACY-0101,1,2024-11-25,succeeded,
ATT-LEGACY-0102-1,PAY-LEGACY-0102,1,2026-06-26,succeeded,
ATT-LEGACY-0103-1,PAY-LEGACY-0103,1,2025-03-07,succeeded,
ATT-LEGACY-0104-1,PAY-LEGACY-0104,1,2024-05-05,succeeded,
ATT-LEGACY-0105-1,PAY-LEGACY-0105,1,2025-08-10,succeeded,
ATT-LEGACY-0106-1,PAY-LEGACY-0106,1,2026-06-09,succeeded,
ATT-LEGACY-0107-1,PAY-LEGACY-0107,1,2024-01-18,succeeded,
ATT-LEGACY-0108-1,PAY-LEGACY-0108,1,2025-04-24,succeeded,
ATT-LEGACY-0109-1,PAY-LEGACY-0109,1,2025-12-18,succeeded,
ATT-LEGACY-0110-1,PAY-LEGACY-0110,1,2025-07-18,succeeded,
ATT-LEGACY-0111-1,PAY-LEGACY-0111,1,2026-05-19,succeeded,
ATT-LEGACY-0112-1,PAY-LEGACY-0112,1,2024-05-31,succeeded,
ATT-LEGACY-0113-1,PAY-LEGACY-0113,1,2024-01-02,succeeded,
ATT-LEGACY-0114-1,PAY-LEGACY-0114,1,2025-04-12,succeeded,
ATT-LEGACY-0115-1,PAY-LEGACY-0115,1,2026-08-04,succeeded,
ATT-LEGACY-0116-1,PAY-LEGACY-0116,1,2025-05-18,succeeded,
ATT-LEGACY-0117-1,PAY-LEGACY-0117,1,2024-06-21,succeeded,
ATT-LEGACY-0118-1,PAY-LEGACY-0118,1,2026-06-11,succeeded,
ATT-LEGACY-0119-1,PAY-LEGACY-0119,1,2024-07-19,succeeded,
ATT-LEGACY-0120-1,PAY-LEGACY-0120,1,2024-04-05,succeeded,
ATT-LEGACY-0121-1,PAY-LEGACY-0121,1,2025-07-10,succeeded,
ATT-LEGACY-0122-1,PAY-LEGACY-0122,1,2025-12-21,succeeded,
ATT-LEGACY-0123-1,PAY-LEGACY-0123,1,2024-08-12,succeeded,
ATT-LEGACY-0124-1,PAY-LEGACY-0124,1,2024-11-22,succeeded,
ATT-LEGACY-0125-1,PAY-LEGACY-0125,1,2026-01-20,succeeded,
ATT-LEGACY-0126-1,PAY-LEGACY-0126,1,2024-08-27,succeeded,
ATT-LEGACY-0127-1,PAY-LEGACY-0127,1,2026-06-05,succeeded,
ATT-LEGACY-0128-1,PAY-LEGACY-0128,1,2025-11-16,succeeded,
ATT-LEGACY-0129-1,PAY-LEGACY-0129,1,2024-12-16,succeeded,
ATT-LEGACY-0130-1,PAY-LEGACY-0130,1,2025-08-23,succeeded,
ATT-LEGACY-0131-1,PAY-LEGACY-0131,1,2025-02-22,succeeded,
ATT-LEGACY-0132-1,PAY-LEGACY-0132,1,2024-06-05,succeeded,
ATT-LEGACY-0133-1,PAY-LEGACY-0133,1,2026-07-06,succeeded,
ATT-LEGACY-0134-1,PAY-LEGACY-0134,1,2025-11-02,succeeded,
ATT-LEGACY-0135-1,PAY-LEGACY-0135,1,2024-01-10,succeeded,
ATT-LEGACY-0136-1,PAY-LEGACY-0136,1,2024-12-24,succeeded,
ATT-LEGACY-0137-1,PAY-LEGACY-0137,1,2026-02-22,succeeded,
ATT-LEGACY-0138-1,PAY-LEGACY-0138,1,2024-06-15,succeeded,
ATT-LEGACY-0139-1,PAY-LEGACY-0139,1,2026-05-17,succeeded,
ATT-LEGACY-0140-1,PAY-LEGACY-0140,1,2026-01-24,succeeded,
ATT-LEGACY-0141-1,PAY-LEGACY-0141,1,2024-10-12,succeeded,
ATT-LEGACY-0142-1,PAY-LEGACY-0142,1,2024-06-22,succeeded,
ATT-LEGACY-0143-1,PAY-LEGACY-0143,1,2025-02-22,succeeded,
ATT-LEGACY-0144-1,PAY-LEGACY-0144,1,2025-01-14,succeeded,
ATT-LEGACY-0145-1,PAY-LEGACY-0145,1,2026-03-26,succeeded,
ATT-LEGACY-0146-1,PAY-LEGACY-0146,1,2024-11-19,succeeded,
ATT-LEGACY-0147-1,PAY-LEGACY-0147,1,2024-09-11,succeeded,
ATT-LEGACY-0148-1,PAY-LEGACY-0148,1,2025-01-18,succeeded,
ATT-LEGACY-0149-1,PAY-LEGACY-0149,1,2026-08-23,succeeded,
ATT-LEGACY-0150-1,PAY-LEGACY-0150,1,2024-01-06,succeeded,
ATT-LEGACY-0151-1,PAY-LEGACY-0151,1,2026-07-13,succeeded,
ATT-LEGACY-0152-1,PAY-LEGACY-0152,1,2026-05-25,succeeded,
ATT-LEGACY-0153-1,PAY-LEGACY-0153,1,2024-02-09,succeeded,
ATT-LEGACY-0154-1,PAY-LEGACY-0154,1,2026-08-28,succeeded,
ATT-LEGACY-0155-1,PAY-LEGACY-0155,1,2025-07-07,succeeded,
ATT-LEGACY-0156-1,PAY-LEGACY-0156,1,2025-01-19,succeeded,
ATT-LEGACY-0157-1,PAY-LEGACY-0157,1,2024-04-05,succeeded,
ATT-LEGACY-0158-1,PAY-LEGACY-0158,1,2025-05-07,succeeded,
ATT-LEGACY-0159-1,PAY-LEGACY-0159,1,2026-01-27,succeeded,
ATT-LEGACY-0160-1,PAY-LEGACY-0160,1,2026-07-18,succeeded,
ATT-LEGACY-0161-1,PAY-LEGACY-0161,1,2026-01-18,succeeded,
ATT-LEGACY-0162-1,PAY-LEGACY-0162,1,2026-08-19,succeeded,
ATT-LEGACY-0163-1,PAY-LEGACY-0163,1,2025-01-09,succeeded,
ATT-LEGACY-0164-1,PAY-LEGACY-0164,1,2024-07-30,succeeded,
ATT-LEGACY-0165-1,PAY-LEGACY-0165,1,2025-09-14,succeeded,
ATT-LEGACY-0166-1,PAY-LEGACY-0166,1,2025-07-26,succeeded,
ATT-LEGACY-0167-1,PAY-LEGACY-0167,1,2025-12-23,succeeded,
ATT-LEGACY-0168-1,PAY-LEGACY-0168,1,2025-12-22,succeeded,
ATT-LEGACY-0169-1,PAY-LEGACY-0169,1,2025-05-08,succeeded,
ATT-LEGACY-0170-1,PAY-LEGACY-0170,1,2025-04-20,succeeded,
ATT-LEGACY-0171-1,PAY-LEGACY-0171,1,2024-03-03,succeeded,
ATT-LEGACY-0172-1,PAY-LEGACY-0172,1,2025-03-11,succeeded,
ATT-LEGACY-0173-1,PAY-LEGACY-0173,1,2026-05-08,succeeded,
ATT-LEGACY-0174-1,PAY-LEGACY-0174,1,2025-11-19,succeeded,
ATT-LEGACY-0175-1,PAY-LEGACY-0175,1,2025-09-22,succeeded,
ATT-LEGACY-0176-1,PAY-LEGACY-0176,1,2024-09-18,succeeded,
ATT-LEGACY-0177-1,PAY-LEGACY-0177,1,2024-01-28,succeeded,
ATT-LEGACY-0178-1,PAY-LEGACY-0178,1,2024-09-10,succeeded,
ATT-LEGACY-0179-1,PAY-LEGACY-0179,1,2026-01-13,succeeded,
ATT-LEGACY-0180-1,PAY-LEGACY-0180,1,2026-06-22,succeeded,
ATT-LEGACY-0181-1,PAY-LEGACY-0181,1,2025-08-15,succeeded,
ATT-LEGACY-0182-1,PAY-LEGACY-0182,1,2024-09-24,succeeded,
ATT-LEGACY-0183-1,PAY-LEGACY-0183,1,2026-02-08,succeeded,
ATT-LEGACY-0184-1,PAY-LEGACY-0184,1,2026-01-11,succeeded,
ATT-LEGACY-0185-1,PAY-LEGACY-0185,1,2025-05-08,succeeded,
ATT-LEGACY-0186-1,PAY-LEGACY-0186,1,2024-10-02,succeeded,
ATT-LEGACY-0187-1,PAY-LEGACY-0187,1,2025-02-26,succeeded,
ATT-LEGACY-0188-1,PAY-LEGACY-0188,1,2025-06-02,succeeded,
ATT-LEGACY-0189-1,PAY-LEGACY-0189,1,2026-02-25,succeeded,
ATT-LEGACY-0190-1,PAY-LEGACY-0190,1,2026-07-26,succeeded,
ATT-LEGACY-0191-1,PAY-LEGACY-0191,1,2024-05-10,succeeded,
ATT-LEGACY-0192-1,PAY-LEGACY-0192,1,2024-05-05,succeeded,
ATT-LEGACY-0193-1,PAY-LEGACY-0193,1,2024-10-15,succeeded,
ATT-LEGACY-0194-1,PAY-LEGACY-0194,1,2025-08-04,succeeded,
ATT-LEGACY-0195-1,PAY-LEGACY-0195,1,2024-05-19,succeeded,
ATT-LEGACY-0196-1,PAY-LEGACY-0196,1,2025-05-05,succeeded,
ATT-LEGACY-0197-1,PAY-LEGACY-0197,1,2024-07-22,succeeded,
ATT-LEGACY-0198-1,PAY-LEGACY-0198,1,2025-03-25,succeeded,
ATT-LEGACY-0199-1,PAY-LEGACY-0199,1,2024-01-09,succeeded,
ATT-LEGACY-0200-1,PAY-LEGACY-0200,1,2024-09-21,succeeded,
ATT-LEGACY-0201-1,PAY-LEGACY-0201,1,2024-10-01,succeeded,
ATT-LEGACY-0202-1,PAY-LEGACY-0202,1,2024-02-23,succeeded,
ATT-LEGACY-0203-1,PAY-LEGACY-0203,1,2024-03-01,succeeded,
ATT-LEGACY-0204-1,PAY-LEGACY-0204,1,2025-06-25,succeeded,
ATT-LEGACY-0205-1,PAY-LEGACY-0205,1,2024-11-19,succeeded,
ATT-LEGACY-0206-1,PAY-LEGACY-0206,1,2024-03-11,succeeded,
ATT-LEGACY-0207-1,PAY-LEGACY-0207,1,2024-01-24,succeeded,
ATT-LEGACY-0208-1,PAY-LEGACY-0208,1,2025-05-14,succeeded,
ATT-LEGACY-0209-1,PAY-LEGACY-0209,1,2026-05-15,succeeded,
ATT-LEGACY-0210-1,PAY-LEGACY-0210,1,2025-10-05,succeeded,
ATT-LEGACY-0211-1,PAY-LEGACY-0211,1,2026-06-15,succeeded,
ATT-LEGACY-0212-1,PAY-LEGACY-0212,1,2024-05-29,succeeded,
ATT-LEGACY-0213-1,PAY-LEGACY-0213,1,2024-01-07,succeeded,
ATT-LEGACY-0214-1,PAY-LEGACY-0214,1,2026-05-16,succeeded,
ATT-LEGACY-0215-1,PAY-LEGACY-0215,1,2026-03-18,succeeded,
ATT-LEGACY-0216-1,PAY-LEGACY-0216,1,2025-05-20,succeeded,
ATT-LEGACY-0217-1,PAY-LEGACY-0217,1,2024-05-21,succeeded,
ATT-LEGACY-0218-1,PAY-LEGACY-0218,1,2026-05-11,succeeded,
ATT-LEGACY-0219-1,PAY-LEGACY-0219,1,2024-10-31,succeeded,
ATT-LEGACY-0220-1,PAY-LEGACY-0220,1,2024-08-17,succeeded,
ATT-LEGACY-0221-1,PAY-LEGACY-0221,1,2026-01-21,succeeded,
ATT-LEGACY-0222-1,PAY-LEGACY-0222,1,2026-05-23,succeeded,
ATT-LEGACY-0223-1,PAY-LEGACY-0223,1,2024-01-11,succeeded,
ATT-LEGACY-0224-1,PAY-LEGACY-0224,1,2025-04-25,succeeded,
ATT-LEGACY-0225-1,PAY-LEGACY-0225,1,2024-03-02,succeeded,
ATT-LEGACY-0226-1,PAY-LEGACY-0226,1,2024-02-26,succeeded,
ATT-LEGACY-0227-1,PAY-LEGACY-0227,1,2026-03-05,succeeded,
ATT-LEGACY-0228-1,PAY-LEGACY-0228,1,2024-05-01,succeeded,
ATT-LEGACY-0229-1,PAY-LEGACY-0229,1,2026-04-14,succeeded,
ATT-LEGACY-0230-1,PAY-LEGACY-0230,1,2025-08-30,succeeded,
ATT-LEGACY-0231-1,PAY-LEGACY-0231,1,2025-04-16,succeeded,
ATT-LEGACY-0232-1,PAY-LEGACY-0232,1,2024-08-28,succeeded,
ATT-LEGACY-0233-1,PAY-LEGACY-0233,1,2025-09-23,succeeded,
ATT-LEGACY-0234-1,PAY-LEGACY-0234,1,2026-04-30,succeeded,
ATT-LEGACY-0235-1,PAY-LEGACY-0235,1,2024-11-11,succeeded,
ATT-LEGACY-0236-1,PAY-LEGACY-0236,1,2025-09-21,succeeded,
ATT-LEGACY-0237-1,PAY-LEGACY-0237,1,2024-02-11,succeeded,
ATT-LEGACY-0238-1,PAY-LEGACY-0238,1,2026-09-04,succeeded,
ATT-LEGACY-0239-1,PAY-LEGACY-0239,1,2026-05-25,succeeded,
ATT-LEGACY-0240-1,PAY-LEGACY-0240,1,2024-12-29,succeeded,
ATT-LEGACY-0241-1,PAY-LEGACY-0241,1,2026-05-14,succeeded,
ATT-LEGACY-0242-1,PAY-LEGACY-0242,1,2025-03-28,succeeded,
ATT-LEGACY-0243-1,PAY-LEGACY-0243,1,2026-06-11,succeeded,
ATT-LEGACY-0244-1,PAY-LEGACY-0244,1,2024-01-28,succeeded,
ATT-LEGACY-0245-1,PAY-LEGACY-0245,1,2026-03-28,succeeded,
ATT-LEGACY-0246-1,PAY-LEGACY-0246,1,2025-11-27,succeeded,
ATT-LEGACY-0247-1,PAY-LEGACY-0247,1,2025-07-28,succeeded,
ATT-LEGACY-0248-1,PAY-LEGACY-0248,1,2025-02-13,succeeded,
ATT-LEGACY-0249-1,PAY-LEGACY-0249,1,2024-10-18,succeeded,
ATT-LEGACY-0250-1,PAY-LEGACY-0250,1,2025-02-21,succeeded,
ATT-LEGACY-0251-1,PAY-LEGACY-0251,1,2025-06-04,succeeded,
ATT-LEGACY-0252-1,PAY-LEGACY-0252,1,2024-10-17,succeeded,
ATT-LEGACY-0253-1,PAY-LEGACY-0253,1,2024-01-22,succeeded,
ATT-LEGACY-0254-1,PAY-LEGACY-0254,1,2025-06-10,succeeded,
ATT-LEGACY-0255-1,PAY-LEGACY-0255,1,2025-03-15,succeeded,
ATT-LEGACY-0256-1,PAY-LEGACY-0256,1,2024-01-07,succeeded,
ATT-LEGACY-0257-1,PAY-LEGACY-0257,1,2026-05-22,succeeded,
ATT-LEGACY-0258-1,PAY-LEGACY-0258,1,2025-12-10,succeeded,
ATT-LEGACY-0259-1,PAY-LEGACY-0259,1,2024-02-29,succeeded,
ATT-LEGACY-0260-1,PAY-LEGACY-0260,1,2025-10-18,succeeded,
ATT-LEGACY-0261-1,PAY-LEGACY-0261,1,2025-06-28,succeeded,
ATT-LEGACY-0262-1,PAY-LEGACY-0262,1,2026-05-03,succeeded,
ATT-LEGACY-0263-1,PAY-LEGACY-0263,1,2024-02-07,succeeded,
ATT-LEGACY-0264-1,PAY-LEGACY-0264,1,2024-12-01,succeeded,
ATT-LEGACY-0265-1,PAY-LEGACY-0265,1,2024-08-27,succeeded,
ATT-LEGACY-0266-1,PAY-LEGACY-0266,1,2026-05-12,succeeded,
ATT-LEGACY-0267-1,PAY-LEGACY-0267,1,2026-06-27,succeeded,
ATT-LEGACY-0268-1,PAY-LEGACY-0268,1,2026-02-02,succeeded,
ATT-LEGACY-0269-1,PAY-LEGACY-0269,1,2024-12-17,succeeded,
ATT-LEGACY-0270-1,PAY-LEGACY-0270,1,2026-06-03,succeeded,
ATT-LEGACY-0271-1,PAY-LEGACY-0271,1,2025-11-30,succeeded,
ATT-LEGACY-0272-1,PAY-LEGACY-0272,1,2026-08-25,succeeded,
ATT-LEGACY-0273-1,PAY-LEGACY-0273,1,2024-07-02,succeeded,
ATT-LEGACY-0274-1,PAY-LEGACY-0274,1,2024-12-13,succeeded,
ATT-LEGACY-0275-1,PAY-LEGACY-0275,1,2024-08-13,succeeded,
ATT-LEGACY-0276-1,PAY-LEGACY-0276,1,2025-01-11,succeeded,
ATT-LEGACY-0277-1,PAY-LEGACY-0277,1,2025-03-15,succeeded,
ATT-LEGACY-0278-1,PAY-LEGACY-0278,1,2025-11-04,succeeded,
ATT-LEGACY-0279-1,PAY-LEGACY-0279,1,2026-01-11,succeeded,
ATT-LEGACY-0280-1,PAY-LEGACY-0280,1,2025-04-08,succeeded,
ATT-LEGACY-0281-1,PAY-LEGACY-0281,1,2024-10-26,succeeded,
ATT-LEGACY-0282-1,PAY-LEGACY-0282,1,2024-04-04,succeeded,
ATT-LEGACY-0283-1,PAY-LEGACY-0283,1,2026-04-29,succeeded,
ATT-LEGACY-0284-1,PAY-LEGACY-0284,1,2025-04-23,succeeded,
ATT-LEGACY-0285-1,PAY-LEGACY-0285,1,2024-02-29,succeeded,
ATT-LEGACY-0286-1,PAY-LEGACY-0286,1,2024-12-21,succeeded,
ATT-LEGACY-0287-1,PAY-LEGACY-0287,1,2024-08-25,succeeded,
ATT-LEGACY-0288-1,PAY-LEGACY-0288,1,2025-07-21,succeeded,
ATT-LEGACY-0289-1,PAY-LEGACY-0289,1,2025-05-16,succeeded,
ATT-LEGACY-0290-1,PAY-LEGACY-0290,1,2026-07-24,succeeded,
ATT-LEGACY-0291-1,PAY-LEGACY-0291,1,2025-11-03,succeeded,
ATT-LEGACY-0292-1,PAY-LEGACY-0292,1,2025-03-11,succeeded,
ATT-LEGACY-0293-1,PAY-LEGACY-0293,1,2024-03-02,succeeded,
ATT-LEGACY-0294-1,PAY-LEGACY-0294,1,2024-12-12,succeeded,
ATT-LEGACY-0295-1,PAY-LEGACY-0295,1,2026-02-09,succeeded,
ATT-LEGACY-0296-1,PAY-LEGACY-0296,1,2025-05-02,succeeded,
ATT-LEGACY-0297-1,PAY-LEGACY-0297,1,2025-07-17,succeeded,
ATT-LEGACY-0298-1,PAY-LEGACY-0298,1,2024-06-05,succeeded,
ATT-LEGACY-0299-1,PAY-LEGACY-0299,1,2026-08-21,succeeded,
ATT-LEGACY-0300-1,PAY-LEGACY-0300,1,2025-02-21,succeeded,
ATT-LEGACY-0301-1,PAY-LEGACY-0301,1,2024-04-02,succeeded,
