invoice_id,vendor_id,invoice_date,due_date,amount_minor,provenance
INV-LEGACY-0063,79bc5040-2780-5da3-a308-c4a1b6ca2007,2024-06-03,2024-07-03,15061451,synthetic_extension_v1
INV-LEGACY-0064,481dfbde-f953-5ec7-81b7-1dcc5910cc57,2026-07-05,2026-08-04,4268940,synthetic_extension_v1
INV-LEGACY-0065,20ba8481-4838-57a8-85c4-600e334e994d,2024-09-09,2024-10-09,2462391,synthetic_extension_v1
INV-LEGACY-0066,54719001-fd55-5f9d-8b4e-887178dd2f03,2024-11-06,2024-12-06,3934653,synthetic_extension_v1
INV-LEGACY-0067,8dcd93b5-fcc4-5ec2-b4a5-b7f56c868c4e,2025-11-08,2025-12-08,3134307,synthetic_extension_v1
INV-LEGACY-0068,5243a818-9d8e-5646-b3d1-2471cba98005,2024-02-12,2024-03-13,37696851,synthetic_extension_v1
INV-LEGACY-0069,d0ea87f6-fd2c-5100-ad10-ec07ea13effe,2025-02-18,2025-03-20,48771224,synthetic_extension_v1
INV-LEGACY-0070,3c177632-4e9b-5264-a280-4cb38b8872a6,2024-02-28,2024-03-29,37756265,synthetic_extension_v1
INV-LEGACY-0071,062379c9-df52-5839-ac2c-84c2f769737e,2025-11-04,2025-12-04,3675133,synthetic_extension_v1
INV-LEGACY-0072,87a75965-a272-5a35-900e-1762ba9488ed,2025-09-14,2025-10-14,1142154,synthetic_extension_v1
INV-LEGACY-0073,997cec34-5c60-56ac-a6b4-a3d4e25e3313,2025-05-13,2025-06-12,9988619,synthetic_extension_v1
INV-LEGACY-0074,7fa798a3-a6f7-5238-bd7d-37d91e0e6df0,2026-04-23,2026-05-23,4663427,synthetic_extension_v1
INV-LEGACY-0075,3045c937-d3d2-5d34-a1f6-1f3f4fd0a24c,2026-04-28,2026-05-28,2493552,synthetic_extension_v1
INV-LEGACY-0076,7e8cc9d9-297c-5a39-b67c-3aaddece50d4,2025-12-21,2026-01-20,3839157,synthetic_extension_v1
INV-LEGACY-0077,03398435-d65f-54a1-88a2-e7df04f2ab90,2025-10-15,2025-11-14,2803314,synthetic_extension_v1
INV-LEGACY-0078,37164bdb-4512-552f-8f5e-9f176f3fd5bb,2024-05-23,2024-06-22,426154,synthetic_extension_v1
INV-LEGACY-0079,2944fa7a-c322-53a9-ba46-4cb8c85c8d15,2026-07-25,2026-08-24,368605516,synthetic_extension_v1
INV-LEGACY-0080,252d221d-75f9-503d-a310-5720c7e3f003,2026-07-19,2026-08-18,2863613,synthetic_extension_v1
INV-LEGACY-0081,03ba3397-9a87-5567-932d-7e6f23d16ecf,2024-06-10,2024-07-10,194731,synthetic_extension_v1
INV-LEGACY-0082,1f5defae-80c0-5a20-b76e-6b65ca56f2e5,2024-03-03,2024-04-02,3590880,synthetic_extension_v1
INV-LEGACY-0083,997cec34-5c60-56ac-a6b4-a3d4e25e3313,2026-04-14,2026-05-14,39919018,synthetic_extension_v1
INV-LEGACY-0084,7e8cc9d9-297c-5a39-b67c-3aaddece50d4,2026-08-06,2026-09-05,4766621,synthetic_extension_v1
INV-LEGACY-0085,43a483cc-a5dc-51c4-89ab-f35c67bf04ab,2024-09-02,2024-10-02,648990,synthetic_extension_v1
INV-LEGACY-0086,1ef3253b-e232-5f1a-8edb-c45155652071,2026-01-08,2026-02-07,2585925,synthetic_extension_v1
INV-LEGACY-0087,7da7d206-57ba-5c34-a589-086317984a43,2026-03-29,2026-04-28,49518665,synthetic_extension_v1
INV-LEGACY-0088,52499440-76c6-5aa8-96a8-5ee514d1f561,2024-03-24,2024-04-23,160841,synthetic_extension_v1
INV-LEGACY-0089,d0ea87f6-fd2c-5100-ad10-ec07ea13effe,2025-10-16,2025-11-15,3091879,synthetic_extension_v1
INV-LEGACY-0090,19581aae-06ea-5c39-9399-25aef009de24,2024-02-04,2024-03-05,23969270,synthetic_extension_v1
INV-LEGACY-0091,a21d84ee-78f7-59e7-aa51-9d3c83e8c375,2024-04-21,2024-05-21,26340847,synthetic_extension_v1
INV-LEGACY-0092,7da7d206-57ba-5c34-a589-086317984a43,2024-01-28,2024-02-27,1940208,synthetic_extension_v1
INV-LEGACY-0093,6db5f047-b1cb-55f3-a343-da35c9d44f09,2024-11-21,2024-12-21,1159608,synthetic_extension_v1
INV-LEGACY-0094,201f525a-3068-5046-b028-7def29460c9d,2025-10-11,2025-11-10,45863535,synthetic_extension_v1
INV-LEGACY-0095,8674902d-2a3e-5926-9cad-29217ce4cc5d,2025-08-05,2025-09-04,2118643,synthetic_extension_v1
INV-LEGACY-0096,3456c0ef-54d0-5186-a3e4-ac20cf27a837,2026-01-13,2026-02-12,4963302,synthetic_extension_v1
INV-LEGACY-0097,7da7d206-57ba-5c34-a589-086317984a43,2026-03-18,2026-04-17,1404487,synthetic_extension_v1
INV-LEGACY-0098,c10c37d2-e3f0-59ab-8704-21529d1058ac,2024-08-17,2024-09-16,478971,synthetic_extension_v1
INV-LEGACY-0099,f4429e57-7327-591d-a6e0-daa2dc7243ea,2025-11-20,2025-12-20,4583472,synthetic_extension_v1
INV-LEGACY-0100,c1b1e75d-131d-5e69-86c5-c0c12e77406d,2026-02-25,2026-03-27,2871571,synthetic_extension_v1
INV-LEGACY-0101,252d221d-75f9-503d-a310-5720c7e3f003,2024-11-25,2024-12-25,1769622,synthetic_extension_v1
INV-LEGACY-0102,cf12fc5b-6cbd-5c4d-a645-d8cb8ffc3364,2026-06-26,2026-07-26,3985405,synthetic_extension_v1
INV-LEGACY-0103,61d7d90d-5abe-5f59-a7db-4006b3832b7b,2025-03-07,2025-04-06,3366465,synthetic_extension_v1
INV-LEGACY-0104,1dcd9d91-6524-598c-9bc4-13ae14df9657,2024-05-05,2024-06-04,149098,synthetic_extension_v1
INV-LEGACY-0105,34cf4669-d6e9-5cce-9dea-178bf3ae6c2e,2025-08-10,2025-09-09,333640,synthetic_extension_v1
INV-LEGACY-0106,6ff81d04-69f9-5ca1-b0d6-9b58a4098b61,2026-06-09,2026-07-09,4515398,synthetic_extension_v1
INV-LEGACY-0107,7a571bf0-4e3f-579e-984b-6cac68f79fa4,2024-01-18,2024-02-17,312196,synthetic_extension_v1
INV-LEGACY-0108,6db5f047-b1cb-55f3-a343-da35c9d44f09,2025-04-24,2025-05-24,3544466,synthetic_extension_v1
INV-LEGACY-0109,8c44d008-53f7-596a-b199-37f3269feea3,2025-12-18,2026-01-17,860527,synthetic_extension_v1
INV-LEGACY-0110,abfafefd-f1d4-562e-8578-673570ba6670,2025-07-18,2025-08-17,468064,synthetic_extension_v1
INV-LEGACY-0111,54719001-fd55-5f9d-8b4e-887178dd2f03,2026-05-19,2026-06-18,5227312,synthetic_extension_v1
INV-LEGACY-0112,abd78957-0a17-5029-8fae-cdd76fd502a6,2024-05-31,2024-06-30,3658355,synthetic_extension_v1
INV-LEGACY-0113,afdd9e36-4fbe-547f-a211-8bdb6efaee17,2024-01-02,2024-02-01,4906167,synthetic_extension_v1
INV-LEGACY-0114,b27be532-f849-53e0-b298-6c23a1f29e92,2025-04-12,2025-05-12,4372440,synthetic_extension_v1
INV-LEGACY-0115,c212531e-e5ce-5540-b467-81a4b60e2fcb,2026-08-04,2026-09-03,4463413,synthetic_extension_v1
INV-LEGACY-0116,46a82aad-9961-589b-a903-1393d8d4ba88,2025-05-18,2025-06-17,11289735,synthetic_extension_v1
INV-LEGACY-0117,1dcd9d91-6524-598c-9bc4-13ae14df9657,2024-06-21,2024-07-21,23438937,synthetic_extension_v1
INV-LEGACY-0118,a0cf0f9f-64ca-5726-876b-4361d6b3ae3c,2026-06-11,2026-07-11,46046314,synthetic_extension_v1
INV-LEGACY-0119,43a483cc-a5dc-51c4-89ab-f35c67bf04ab,2024-07-19,2024-08-18,2289437,synthetic_extension_v1
INV-LEGACY-0120,f4429e57-7327-591d-a6e0-daa2dc7243ea,2024-04-05,2024-05-05,684024,synthetic_extension_v1
INV-LEGACY-0121,c1b1e75d-131d-5e69-86c5-c0c12e77406d,2025-07-10,2025-08-09,153256,synthetic_extension_v1
INV-LEGACY-0122,63d87a3d-61d1-5896-8685-ef82e2d0ff0c,2025-12-21,2026-01-20,1306300,synthetic_extension_v1
INV-LEGACY-0123,4d0d97bf-e96c-55b8-b31b-3ca795aac941,2024-08-12,2024-09-11,49992827,synthetic_extension_v1
INV-LEGACY-0124,c1004966-7336-5fbe-aafe-bf9edc5ee706,2024-11-22,2024-12-22,35662303,synthetic_extension_v1
INV-LEGACY-0125,44225964-af60-5e05-8877-a71c5dae43a6,2026-01-20,2026-02-19,4974255,synthetic_extension_v1
INV-LEGACY-0126,c3ee90ed-404d-5b52-9dc6-1da94d6809b4,2024-08-27,2024-09-26,1958541,synthetic_extension_v1
INV-LEGACY-0127,c3285bdf-fab8-51d3-8d1f-1caaca07a5e4,2026-06-05,2026-07-05,21649367,synthetic_extension_v1
INV-LEGACY-0128,e47ca9a4-e603-5649-afee-89dc4f38874b,2025-11-16,2025-12-16,468736,synthetic_extension_v1
INV-LEGACY-0129,8dcd93b5-fcc4-5ec2-b4a5-b7f56c868c4e,2024-12-16,2025-01-15,23779945,synthetic_extension_v1
INV-LEGACY-0130,8ad3ab75-1148-52cf-b7d9-e9f22926b24e,2025-08-23,2025-09-22,2205301,synthetic_extension_v1
INV-LEGACY-0131,b15a9204-2fcd-51ff-a82f-71f28bb4f615,2025-02-22,2025-03-24,3967617,synthetic_extension_v1
INV-LEGACY-0132,6890ddec-c75c-5441-980b-5b0c7953a44c,2024-06-05,2024-07-05,3961732,synthetic_extension_v1
INV-LEGACY-0133,8eeb06f6-ac4a-502a-82ae-d92769fe3b88,2026-07-06,2026-08-05,35840294,synthetic_extension_v1
INV-LEGACY-0134,f2076f54-1357-59de-8f38-194c67d4f1bf,2025-11-02,2025-12-02,2358062,synthetic_extension_v1
INV-LEGACY-0135,20ba8481-4838-57a8-85c4-600e334e994d,2024-01-10,2024-02-09,1214717,synthetic_extension_v1
INV-LEGACY-0136,c3ee90ed-404d-5b52-9dc6-1da94d6809b4,2024-12-24,2025-01-23,14179593,synthetic_extension_v1
INV-LEGACY-0137,3045c937-d3d2-5d34-a1f6-1f3f4fd0a24c,2026-02-22,2026-03-24,4694651,synthetic_extension_v1
INV-LEGACY-0138,ee1ac8f9-e38c-552f-b69f-c85008cd8a55,2024-06-15,2024-07-15,2869253,synthetic_extension_v1
INV-LEGACY-0139,7b906924-60ee-52ed-8892-c41765745706,2026-05-17,2026-06-16,377941,synthetic_extension_v1
INV-LEGACY-0140,c3c5af65-7bf1-5c62-9203-67d442c402f8,2026-01-24,2026-02-23,27652225,synthetic_extension_v1
INV-LEGACY-0141,f2076f54-1357-59de-8f38-194c67d4f1bf,2024-10-12,2024-11-11,3757168,synthetic_extension_v1
INV-LEGACY-0142,e64b0d81-2f42-5b01-8b7f-21aaf64f8ba4,2024-06-22,2024-07-22,3490521,synthetic_extension_v1
INV-LEGACY-0143,9e31f002-04dc-576f-b04a-7810aab351aa,2025-02-22,2025-03-24,4878200,synthetic_extension_v1
INV-LEGACY-0144,5243a818-9d8e-5646-b3d1-2471cba98005,2025-01-14,2025-02-13,45403152,synthetic_extension_v1
INV-LEGACY-0145,f037e82c-74e9-5a3c-aaa3-daa26856de67,2026-03-26,2026-04-25,2041848,synthetic_extension_v1
INV-LEGACY-0146,f2076f54-1357-59de-8f38-194c67d4f1bf,2024-11-19,2024-12-19,3619868,synthetic_extension_v1
INV-LEGACY-0147,1dcd9d91-6524-598c-9bc4-13ae14df9657,2024-09-11,2024-10-11,1192073,synthetic_extension_v1
INV-LEGACY-0148,7a571bf0-4e3f-579e-984b-6cac68f79fa4,2025-01-18,2025-02-17,518510,synthetic_extension_v1
INV-LEGACY-0149,cb594e5f-b964-5154-b88d-6a5b35a1b057,2026-08-23,2026-09-22,403544,synthetic_extension_v1
INV-LEGACY-0150,77167ec3-e35c-5dae-88bc-e1a85debe453,2024-01-06,2024-02-05,2010960,synthetic_extension_v1
INV-LEGACY-0151,20ba8481-4838-57a8-85c4-600e334e994d,2026-07-13,2026-08-12,6706459,synthetic_extension_v1
INV-LEGACY-0152,fde58e48-cf68-524f-8d70-f1b18d897472,2026-05-25,2026-06-24,3626525,synthetic_extension_v1
INV-LEGACY-0153,f4429e57-7327-591d-a6e0-daa2dc7243ea,2024-02-09,2024-03-10,18522748,synthetic_extension_v1
INV-LEGACY-0154,9e31f002-04dc-576f-b04a-7810aab351aa,2026-08-28,2026-09-27,3607026,synthetic_extension_v1
INV-LEGACY-0155,733b9fc3-4b6c-5f12-a00e-730b011ecace,2025-07-07,2025-08-06,2702177,synthetic_extension_v1
INV-LEGACY-0156,b2fffdb3-e7f3-5e86-ad60-2b01d0b5230a,2025-01-19,2025-02-18,2265736,synthetic_extension_v1
INV-LEGACY-0157,87a75965-a272-5a35-900e-1762ba9488ed,2024-04-05,2024-05-05,254537871,synthetic_extension_v1
INV-LEGACY-0158,8dcd93b5-fcc4-5ec2-b4a5-b7f56c868c4e,2025-05-07,2025-06-06,2551120,synthetic_extension_v1
INV-LEGACY-0159,15205565-6528-5522-9ba1-6c8a769002f2,2026-01-27,2026-02-26,3029995,synthetic_extension_v1
INV-LEGACY-0160,062379c9-df52-5839-ac2c-84c2f769737e,2026-07-18,2026-08-17,3178838,synthetic_extension_v1
INV-LEGACY-0161,062191ca-fb59-5745-8ad0-f4e1b0f0614e,2026-01-18,2026-02-17,3471021,synthetic_extension_v1
INV-LEGACY-0162,3fe36217-513d-5d1e-a370-87ca79cb7dc7,2026-08-19,2026-09-18,23986401,synthetic_extension_v1
INV-LEGACY-0163,cb594e5f-b964-5154-b88d-6a5b35a1b057,2025-01-09,2025-02-08,2145232,synthetic_extension_v1
INV-LEGACY-0164,b36bfe66-2e9a-58ed-b8a4-8dd48ed80314,2024-07-30,2024-08-29,47538141,synthetic_extension_v1
INV-LEGACY-0165,03398435-d65f-54a1-88a2-e7df04f2ab90,2025-09-14,2025-10-14,4246321,synthetic_extension_v1
INV-LEGACY-0166,ff023a33-f965-5f4c-992b-9e04c9d34202,2025-07-26,2025-08-25,248026177,synthetic_extension_v1
INV-LEGACY-0167,bdfdbeed-dd68-51d8-81d7-883bde84ff57,2025-12-23,2026-01-22,39116273,synthetic_extension_v1
INV-LEGACY-0168,8b83a2e0-357a-573e-94d5-89a73f03c83c,2025-12-22,2026-01-21,2335919,synthetic_extension_v1
INV-LEGACY-0169,6db5f047-b1cb-55f3-a343-da35c9d44f09,2025-05-08,2025-06-07,1586089,synthetic_extension_v1
INV-LEGACY-0170,9e31f002-04dc-576f-b04a-7810aab351aa,2025-04-20,2025-05-20,3070167,synthetic_extension_v1
INV-LEGACY-0171,8c44d008-53f7-596a-b199-37f3269feea3,2024-03-03,2024-04-02,2606797,synthetic_extension_v1
INV-LEGACY-0172,e670dcde-e3ef-5dc8-adc5-a9bb5a234e30,2025-03-11,2025-04-10,4630873,synthetic_extension_v1
INV-LEGACY-0173,7d9808dd-3821-5fb9-b119-a0bd774ca03c,2026-05-08,2026-06-07,3447890,synthetic_extension_v1
INV-LEGACY-0174,bd8e03c0-b540-5225-85ee-86af7c924b1d,2025-11-19,2025-12-19,2548878,synthetic_extension_v1
INV-LEGACY-0175,48c17190-38a3-585c-ba2e-24946e092e9b,2025-09-22,2025-10-22,10465560,synthetic_extension_v1
INV-LEGACY-0176,7d9808dd-3821-5fb9-b119-a0bd774ca03c,2024-09-18,2024-10-18,38229305,synthetic_extension_v1
INV-LEGACY-0177,d33cc29d-f06a-5ab7-b008-951fcbdea952,2024-01-28,2024-02-27,2028505,synthetic_extension_v1
INV-LEGACY-0178,54719001-fd55-5f9d-8b4e-887178dd2f03,2024-09-10,2024-10-10,44208578,synthetic_extension_v1
INV-LEGACY-0179,bdfdbeed-dd68-51d8-81d7-883bde84ff57,2026-01-13,2026-02-12,2166613,synthetic_extension_v1
INV-LEGACY-0180,4dd192f2-9722-5707-a965-d53b52ec5e27,2026-06-22,2026-07-22,2304494,synthetic_extension_v1
INV-LEGACY-0181,43a483cc-a5dc-51c4-89ab-f35c67bf04ab,2025-08-15,2025-09-14,36756872,synthetic_extension_v1
INV-LEGACY-0182,e64b0d81-2f42-5b01-8b7f-21aaf64f8ba4,2024-09-24,2024-10-24,4205893,synthetic_extension_v1
INV-LEGACY-0183,bd8e03c0-b540-5225-85ee-86af7c924b1d,2026-02-08,2026-03-10,2247856,synthetic_extension_v1
INV-LEGACY-0184,8674902d-2a3e-5926-9cad-29217ce4cc5d,2026-01-11,2026-02-10,42988513,synthetic_extension_v1
