transaction_id,account_id,transaction_date,transaction_type,description,amount_minor,reference_id,utr_number,provenance
0036aacd-0ebf-4b0f-a520-5999ed444324,80e3bedc-b1f0-4ab1-8bc9-025201ed3552,2025-03-23,credit,ATM/INSTAMOJO,546506,N4895721,846514104960,original_csv
00375bbe-edd9-46d9-8f7c-dbaf969f319b,818b2460-e7aa-4e0e-8780-3d5f4de96f61,2026-04-27,debit,NEFT/CHOLAMANDALAM MS,-27078975,T2680715,542857039249,original_csv
00381231-62f3-4dda-8af1-caa97ed41119,4d0f4e2e-77ea-4f87-a6a0-5962ac43b53f,2025-12-06,credit,UTIL/ZOMATO,2479114,T8738416,948366824894,original_csv
003b3ba6-ddb2-46c8-ae64-ec2e3332c797,9d9318f6-ba94-465f-92a3-be1cb96511d6,2026-04-14,debit,FT/ICICI MUTUAL FUND,-3984246,I1588147,341462546431,original_csv
003b594d-c13c-4f0f-a22e-dd2c22dfe18c,09f3add6-0c78-4a7c-a1c7-7a0300c53728,2024-06-08,debit,ATM/Sahota LLC,-3626740,R6483213,,original_csv
003ed260-2b2d-4d92-9516-2140c1d88f69,1c286ca0-4ec5-41e8-bfcc-39249465f3e4,2024-04-20,debit,CHG/CCAVENUE,-3346719,S7607494,417325964591,original_csv
003ed4d2-1a8d-4be0-87e2-de50343b54af,e0c373a1-0e02-4b68-9a39-c41977fdae01,2025-05-17,debit,RET/Korpal LLC,-4870141,U2776361,157412611441,original_csv
00401f9f-97cd-4a3f-8839-34bb57e9bb9e,76ae85c4-9367-4b45-bea4-7c2a58ef2aa2,2025-07-26,credit,FT/Joshi-Varughese,4035078,U1187953,484140190697,original_csv
00410ba7-bf7c-4f74-8759-b3212109c96c,9ce6efe3-df1e-44cd-bb82-a580825fef09,2024-09-10,debit,EMI/YATRA,-43684703,R9971346,759209609803,original_csv
0044b3c0-25e0-4c3e-89fe-0913d3b87154,777a4f3f-1d75-4ee1-9310-dfcebbc3adc4,2026-08-11,debit,CHG/ADITYA BIRLA SUN LIFE,-927481,N4490625,288141196877,original_csv
0045c5a5-04b2-454a-8c90-13825fa6ce7f,a3788c5f-0d0b-4f0d-988b-029a2684743c,2026-08-24,credit,"RTGS/Kohli, Agrawal and Karpe",25097914,N4066345,259813868587,original_csv
0048b01d-5fa7-424f-9366-1f44b87680ea,7133aa52-211f-4506-b6b3-57f3addab2c6,2024-12-16,debit,REV/NIPPON INDIA MUTUAL FUND,-2326623,R2625713,386465104387,original_csv
004a1152-b35f-4fca-9ad4-18ce674f5b00,f19f2bea-d411-4a51-a885-e80d6fbc8655,2024-07-30,credit,RET/KOTAK MAHINDRA BANK CARD,17361737,S7169969,390406209503,original_csv
004ac9d8-f848-4270-84b6-6b4bc7f971d0,3080a538-4bf8-4b17-b5d2-18c7d6b4de41,2026-04-14,credit,SAL/HPCL,3437829,R4253804,809553972183,original_csv
004cce08-b44d-472d-99c6-fc458587f987,66cad28a-4b76-4ffd-bc8e-b569509e5539,2026-07-14,debit,"RTGS/Konda, Konda and Kale",-36548858,S1129344,505603727763,original_csv
0050e533-c5e3-4146-8da5-afa07ff7989c,0619290f-13a3-4a22-a702-439a46f14574,2024-08-29,debit,REF/SELECTION ELECTRONICS,-452461,S9785092,560240999651,original_csv
00515ed5-27e1-4404-8258-aef246465ea4,d4d68b09-6073-4987-a120-071f77972c58,2025-07-29,debit,LOAN/HELIOUS MUTUAL FUND,-939303,S7369671,623586032093,original_csv
0053202e-61e7-4d2f-b327-827a0acbe40a,ae93a4db-add3-4f56-ad81-fcdb710e6f03,2025-11-25,debit,LOAN/FLIPKART,-49285519,R7021943,828123270895,original_csv
00535a99-4962-4ef7-a1b8-a65008917ced,2a5693d5-2818-4c65-b4c9-5ce557f813d8,2024-08-07,debit,CHQ/NIPPON INDIA MUTUAL FUND,-22247342,N4899913,181668396188,original_csv
0053799e-7fe0-4dc5-a85c-5868333550fb,66cad28a-4b76-4ffd-bc8e-b569509e5539,2025-03-19,credit,SAL/BHARAT GAS,496152,U5305077,284884931097,original_csv
005939f9-1b27-56e8-956c-72a7d9c4c36e,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-07-24,debit,SYNTHETIC/CLOUD-HISTORY-6,-100000,SYN-CLOUD-HISTORY-6,SYNUTR-CLOUD-HISTORY-6,synthetic_extension_v1
005c129d-44a8-422d-bedc-2c96acf7e490,5e17430d-37ab-44c0-9947-0cf54f3be19f,2025-06-03,debit,ATM/ADITYA BIRLA SUN LIFE,-906935,R1263534,658314981045,original_csv
005c742b-ff6f-48fb-9910-885416efa279,913ec09a-c697-4d40-a578-85ff8a7a8de4,2025-08-29,credit,RTGS/INDANE GAS,4038518,R3395507,,original_csv
005d2ce4-2b96-4df3-8b4a-73bdb8dcbe5e,075ff9e3-1a94-4ecf-b1d0-e93932fbd8af,2024-01-26,debit,IMPS/BHIM UPI,-1406091,S7442208,663769191552,original_csv
005f99d6-454b-42cd-b3ea-a1f60edda9e2,01ca12ca-0975-41d3-b7be-65a28fb4a468,2024-12-11,credit,WDL/Chand-Tailor,4916935,T5746883,,original_csv
0066b107-5047-40ec-a762-955a34d5d928,ef44489c-1a3e-49b6-8ad5-5b46e6651dfe,2024-08-21,credit,ATM/HP GAS,3317638,,695862194653,original_csv
006fc029-d2b8-422a-a8bf-2348fec828b2,37dee93e-9f2a-43a7-a4a2-f52fdfacf5ef,2025-04-25,debit,UTIL/SELECTION ELECTRONICS,-3383498,U7855872,,original_csv
00780c07-f502-4e04-b4db-44877b14c2ac,c9ae69c7-7998-488e-90e9-a5b8cb8f421f,2025-08-09,credit,RTGS/AXIS BANK CREDIT CARD,4972466,S2193739,887010486666,original_csv
0079403f-8778-427f-9fe5-9a0c2603fa62,99f69f73-aaf6-4a37-9fcd-2cc6254dc034,2026-07-25,credit,REV/ADANI ELECTRICITY,2553473,T2945154,,original_csv
00797495-d0cb-4b1f-bf2a-a2510d084585,74c72d2c-a9a9-49f9-86a3-e0d68e3a497d,2026-01-03,debit,TFR/ORIENTAL INSURANCE,-35679406,I3803832,724068018766,original_csv
0079ef89-e72e-4799-9039-8641181dd8bc,099ce20e-8b1b-4418-8130-37fadfbf9363,2024-08-05,debit,TFR/MAKEMYTRIP,-32832267,U8731600,926364129776,original_csv
007e8ee6-4a83-46a9-8b4c-427cd131f6d8,a360737b-79e4-4cbc-8fec-48a3b85ee2b7,2026-06-28,credit,SAL/BIGBASKET,738952,N6500674,277193067861,original_csv
008993be-32a1-4ff5-a2a8-033137364242,592e3f31-3782-4a33-90ca-f9c048176401,2025-12-30,debit,RTGS/TNEB,-3557340,U5962070,183697820075,original_csv
008a12dd-2894-4941-854c-aa8894dcdace,04901130-4201-4370-b488-ed671c1f669c,2024-11-12,credit,IMPS/CRED,2946719,T8514469,727012632003,original_csv
008c7baf-45b3-4895-8716-fea83c69c237,52bbca6e-fb40-40c0-8746-2e2342d97fa0,2025-08-25,debit,EMI/VODAFONE IDEA,-41335993,R5989296,958040455863,original_csv
008cbada-3e29-49ad-9d83-5aff8c2fb26c,63bb39b3-38b9-4fb2-8f96-06b498bb0674,2024-09-12,credit,DEP/RELIANCE FRESH,3223687,S1220474,276366587084,original_csv
008e2956-538e-40ef-b9e3-b703a839e313,9db63a5a-4648-4f55-acd1-56a7daa72bb8,2026-03-18,debit,UPI/MIRAE ASSET,-4318352,T1386901,,original_csv
008e3d00-bb95-49a6-929d-ec23731de006,f9453f7f-37a3-4f90-ae05-1c8bb8375036,2025-11-24,debit,EMI/IFFCO TOKIO,-12382130,S3746876,,original_csv
0090008b-da39-4346-bda5-9560ba280eb5,0bb43bae-9be2-4ab9-a93a-6cb8989ca9f8,2026-05-18,debit,INT/HP GAS,-603819,,841473575749,original_csv
00922408-7436-482a-9f2d-b13ca50e1c95,38969333-44b7-49a0-aa79-1b1f10fb40cf,2024-07-26,credit,CHG/MAX LIFE,3483580,I8894888,940686730782,original_csv
0094b6ff-ba10-4e3f-afba-9b040dcbb2eb,d7fdcf9a-e2bb-4ccd-b27c-0507d2e2d713,2026-03-14,credit,CHQ/RAZORPAY,4684728,U5320370,,original_csv
009515cb-5a12-4748-82bd-7a54ef80c872,7be14741-9268-4068-8a32-a9bef91a9fc9,2025-03-08,debit,DEP/RAZORPAY,-78479816,I6922093,586821508408,original_csv
009a4a94-30b4-41c7-bb72-c2a0fcf68109,9e27fb2a-2e2a-48c7-a53f-d0e45c8c1ab9,2026-07-31,debit,ATM/MAX LIFE,-3867548,U1907143,872791481365,original_csv
009a8a83-f9e0-4e63-9ea9-5f2c0a82285e,6d65668a-cb6e-4b6d-8636-e8f8b9056e16,2024-09-15,credit,TFR/AXIS MUTUAL FUND,29071026,U7699472,,original_csv
00a2fbfe-0e3d-4634-bed9-cb488b04cf9e,c56a6f4c-a210-41d8-a80a-eb6e0d3cae3b,2025-08-27,debit,REV/PAYTM MONEY MUTUAL FUND,-18363898,R1608628,,original_csv
00a54a06-e8a5-4e8e-ae3b-7faa1c9f3bd4,3aab9fb8-43ad-4ab6-a634-d185eb9c48a3,2024-03-01,credit,CHG/IFFCO TOKIO,4974698,R7392419,,original_csv
00a78e6a-1277-4e02-8b39-c40c0cac40bc,1087148a-97ed-4417-8f19-d0e4cd1ca471,2024-04-19,credit,LOAN/ICICI BANK CREDIT CARD,41904359,R1975735,635111649065,original_csv
00a9f6a3-8354-4227-a25b-dfbfabf43c54,dafccddf-8c09-49ce-8276-c568b01de307,2026-05-13,debit,DEP/NEW INDIA ASSURANCE,-490575811,R2273761,740581698378,original_csv
00ac3bd6-1fed-40da-88cf-bea0121632fd,c56a6f4c-a210-41d8-a80a-eb6e0d3cae3b,2025-07-12,debit,WDL/DSP MUTUAL FUND,-3780383,T1789127,769783027036,original_csv
00ae4e39-d3e5-4c6f-a9af-689c459f2635,3ccfe7dc-5771-4ce3-9824-7e2a7556a679,2024-12-08,credit,NEFT/ORIENTAL INSURANCE,2646786,T5833216,613328865771,original_csv
00af82a3-6f8f-4f8d-926f-82f8b82b0898,94fc5379-e3ac-4fd2-a3b1-c334995c39f5,2025-10-21,debit,UTIL/ICICI BANK CREDIT CARD,-4726517,S9535345,267936377617,original_csv
00b131a2-43ae-4927-b935-eac704449757,430494bf-57c8-43b2-b5d0-dfdec0a44bc9,2024-07-30,credit,ATM/RELIANCE DIGITAL RETAIL LTD,4132692,I5804550,728272546852,original_csv
00b2de64-53bf-49ed-a7a6-aa5d589505bd,6f8ca6fb-3642-4a8c-930a-8e5014d53be4,2024-02-28,debit,UPI/INDIAN OIL,-25106540,N8901612,938934635985,original_csv
00c313ba-9b70-41e1-b724-e2a9d7a60685,feacdf80-4e70-48fc-800e-edf75f618ad6,2025-11-08,debit,UTIL/Ben-Parmar,-2152496,S8364851,,original_csv
00c3ce18-cf0b-4182-b7da-92f1f5abbeea,be94d7a5-e357-487b-92b5-d795f7b490c9,2026-07-25,debit,CHG/UBER INDIA,-1131113,T2455497,,original_csv
00cd493c-2bb9-4665-af66-b6199d772a12,5229f7e0-b3e8-4c01-9e83-e90c9973281d,2024-08-04,credit,"RET/Prabhu, Nagi and Sankaran",2695026,I4477665,722309687246,original_csv
00ce5483-6fe5-4b2d-ab59-08a7571610d4,86888253-d238-48dd-b96d-85056c6e4c24,2026-06-20,credit,POS/ADITYA BIRLA SUN LIFE,49947811,I3445510,589938925396,original_csv
00d1a453-e849-498c-b935-3deaf6c8a3aa,4d44474e-6dcc-428f-8c91-6d399bf128f7,2024-03-25,credit,"SAL/Chadha, Devi and Kara",48691979,S6013511,177563267823,original_csv
00d569f6-dffa-4775-a5df-fe891737f9c3,333edf0a-9cbe-4c07-a6c7-7ff5145f5a66,2025-08-15,debit,SAL/SELECTION ELECTRONICS,-1681608,S8534981,,original_csv
00daf19a-6b74-4b54-a6e6-616e7d6c1bc8,457bf23a-ea17-449f-b0c4-f060aa551f28,2024-10-29,debit,FT/SBI LIFE,-1486090,T3174440,586501071976,original_csv
00e35557-b2b0-46a1-bc02-35c168e3ca0b,3e50b5db-6bca-488c-bde2-e843acb32f95,2026-02-25,debit,SAL/FRANKLIN TEMPLETON,-754741,I3844505,,original_csv
00e90ce6-bc5f-47b3-9bac-528cb8450876,f97fd87b-3e10-4676-b970-0720d69b6ab8,2025-12-27,credit,ATM/AXIS MUTUAL FUND,3721533,S8768856,641789821355,original_csv
00ed6e65-2fd5-4c62-a6d6-c78d0e9b87f1,0c17b1da-a169-41e3-a444-ddcc11ae5fae,2025-04-16,credit,TFR/SELECTRICITY TWO PRIVATE LIMIT,4129083,T2143750,402380831530,original_csv
00f007ff-180e-482e-ab23-103219f54ba6,f69bee47-bf14-4623-81c0-ad94e7788a10,2024-12-10,debit,FT/ROYAL SUNDARAM,-1662387,R4329364,313273682754,original_csv
00f1cec0-df70-4b52-b6cb-7d7db2669a20,9db63a5a-4648-4f55-acd1-56a7daa72bb8,2024-12-16,debit,CHG/BPCL,-113695,S9140363,602996291595,original_csv
00f3d2d0-0f7d-4da8-a341-4696cdf57063,3622cd7b-ae9d-4a57-9675-abfd39fad719,2026-07-02,credit,TFR/CLEARTRIP,3411957,T3385013,,original_csv
01028f6f-3af8-481d-83ab-bf1362647e98,ebae3bf8-5a92-44d2-9924-43dcc6bc961a,2024-08-11,debit,LOAN/BSES RAJDHANI,-2692903,,,original_csv
01059f03-3482-4027-93ff-88e75ab807b5,0c17b1da-a169-41e3-a444-ddcc11ae5fae,2025-01-05,debit,UTIL/HSBC MUTUAL FUND,-1261756,T5210821,957166822313,original_csv
01182640-c462-4fc8-9e45-8de8f10ba983,14d4cf27-e481-45c3-90cd-13803d10fa4f,2024-12-27,debit,IMPS/BILLDESK,-1129332,S9416579,756406650960,original_csv
0118a3bb-2221-4fe3-a5d2-5862c317bba4,e044f68e-cc13-455d-aa92-bf70b026b3af,2026-07-24,credit,EMI/UBER INDIA,44468311,,968893985564,original_csv
011de83a-77cd-45bd-a30b-87472734ef34,f9bf536a-da09-4ef3-8323-a2142c55101e,2025-09-12,debit,UTIL/RAZORPAY,-30358666,R9510956,527507866532,original_csv
011f5ef5-0719-42fb-89d1-f2d7f0c0a413,6d96833a-fc74-40e4-8098-dd344b23843d,2025-07-18,credit,LOAN/SBI LIFE,41259029,I1331329,728436085229,original_csv
012152b1-6e54-48ff-9820-6610d28f5ec6,a0886340-f793-406f-a94b-e2ae1eba2f2b,2025-04-07,debit,REF/RAZORPAY,-23725822,T1607529,,original_csv
01249f57-faa9-43e5-b63f-4284e1043d1f,00588a5a-f6fa-48b9-9a03-5843a76e110b,2026-04-12,debit,RTGS/Zachariah-Mittal,-4295097,,608638859897,original_csv
0128a155-5bda-4b56-bbe9-ec618819b099,d1172486-6205-41dd-8569-b37099511dcc,2025-12-18,debit,TFR/TATA POWER,-45687789,I3190317,290395466568,original_csv
012ff661-69f2-4811-83a2-095ca3602b05,3af83361-dfe7-4f67-bff5-d9cf9de0e190,2025-07-28,credit,REV/HPCL,4494108,R2917853,439932117346,original_csv
0130620b-75a0-4fdc-a8d0-958557a7f017,d23d3e9b-8f43-4a10-990c-6ce1fc33af37,2026-06-06,debit,DEP/IRCTC,-2130410,T6520692,171676020268,original_csv
0135487d-56bd-42c7-8ac7-9135a7ca82bf,0e1eb75b-417d-43c6-b5a6-9ec1f0ce9874,2024-06-29,debit,IMPS/LIC OF INDIA,-4226155,I8309465,466642275217,original_csv
0138eba6-64e6-43dc-8936-6f265612183e,413440ab-96e7-4a6a-b174-8ff78da30312,2024-10-26,credit,"RTGS/Dash, Dugal and Sen",3342445,T9944447,185431899051,original_csv
013964c7-051c-4837-a5b0-a35be055f088,5fe33445-794c-4dd6-ba39-45d634640dcc,2026-04-17,debit,CHG/CRED,-4387065,I2870284,810515289198,original_csv
013a421a-f7d8-4c8b-a50f-75fd38630a98,6c4b1e53-8725-4896-abfd-4a462d14ac21,2025-07-04,debit,POS/RELIANCE GENERAL,-4215941,I6813858,504935801995,original_csv
013aecf1-dd8e-4626-b5c7-9bae641dfbea,afba3a14-acd9-4715-9963-b735b5fbb953,2024-04-01,debit,ATM/PHONEPE,-3851465,N4965850,173336572940,original_csv
013bf40c-4772-460f-ad97-22bb020a006e,addc8395-0fd7-42cc-b5c1-6a0394b48cce,2024-04-15,debit,POS/Bhatnagar-Basu,-3752572,R9734610,163301424615,original_csv
013cdcc0-db31-4862-8160-2180d9b86a19,9d9318f6-ba94-465f-92a3-be1cb96511d6,2024-08-12,debit,ATM/NATIONAL INSURANCE,-46801303,S2001985,251230208222,original_csv
0140329f-23d7-4032-9018-01b9594c5525,99b085e3-18f6-4a43-b596-95f924507ac5,2026-01-31,credit,"SAL/Batra, Prasad and Korpal",4430822,U7114391,443641092584,original_csv
0141b76e-6c76-49a7-9f4e-d958fcbc5254,ccae42c2-ab85-4f3c-b813-cc9bcb2e8dc8,2026-03-12,debit,WDL/CCAVENUE,-9428460,N2631998,,original_csv
014647a4-0746-458e-bf3c-1cbf54f52ae8,f596673a-a1df-42a7-bbe4-5e37ea77667f,2026-05-27,credit,POS/INDIAN OIL,16415187,S6847142,185178529284,original_csv
0148b91b-55ce-40f7-b88e-e1ced458c7de,3622cd7b-ae9d-4a57-9675-abfd39fad719,2025-11-22,debit,WDL/CRED,-4550653,T2613581,887049398403,original_csv
014cf0b5-57a4-4d29-b349-83fdf7fa735c,64765f6c-95f9-4038-be95-d0734396e375,2026-02-10,debit,NEFT/YATRA,-429037,,804305995771,original_csv
01570e24-e5f2-4699-92c6-f3ec870ea063,3a8d9540-7282-46f8-9831-c419070790ca,2026-08-20,debit,INT/ORIENTAL INSURANCE,-1946863,R8704313,748432216299,original_csv
01579331-4b14-4661-89ac-0f62eab7943e,80e3bedc-b1f0-4ab1-8bc9-025201ed3552,2025-09-04,debit,"RET/Shere, Taneja and Wable",-19456613,T2160553,142921613180,original_csv
01581686-b21a-4dce-b392-dcd1a40aa451,333edf0a-9cbe-4c07-a6c7-7ff5145f5a66,2025-07-17,credit,REV/HDFC ERGO,4050380,N3625084,233923258962,original_csv
015c9294-e969-42c0-b223-64986b1fb800,869b29aa-2d87-4683-875c-3dc5b12107ee,2024-11-15,debit,DEP/PAYTM MONEY MUTUAL FUND,-30535734,S2688021,861472720837,original_csv
015de9f5-4dcf-4906-8004-34de1cf4bcf0,f232af76-40db-4c08-8439-70f6ea152b13,2025-11-19,debit,DEP/SAMCO MUTUAL FUND,-27440,T9747509,541261377304,original_csv
015e27d8-c5e8-4c89-9ba9-0f6c943b1900,90cc7550-f8af-41a3-8db0-fcd1c4b49279,2024-01-14,credit,SAL/RELIANCE GENERAL,3587885,T8065480,929789658992,original_csv
015f883f-ce3e-4357-b201-7da255702e42,c76a2b82-ca10-472f-8adc-3e9a4bb1cdf2,2026-08-06,debit,LOAN/PHONEPE,-410091,U8805378,992441038313,original_csv
01609b0a-09cc-4817-98c0-44e870f17509,2f3993ce-6cd5-4af3-97d9-42ba87d3596e,2026-07-23,debit,REF/NATIONAL INSURANCE,-26318969,T1429109,,original_csv
01622bb1-db56-4aa2-b2ea-190ec371d5a6,ebae3bf8-5a92-44d2-9924-43dcc6bc961a,2024-07-14,debit,RET/ORIENTAL INSURANCE,-21236884,I7032463,591076061665,original_csv
0163e9f7-eab2-4f08-8f78-bb4192eb28c2,b7fe96c8-e78b-4003-8d1b-2288a70bffab,2026-01-06,credit,IMPS/Gill-Pradhan,2032190,I7370791,,original_csv
0166e101-b4b5-4eec-9349-50a48d20ab54,0503af66-feb1-424b-a5b6-4267e8e5484c,2026-08-04,credit,REV/PHONEPE WEALTH,1800973,U9409468,987009724044,original_csv
016d3ce0-d448-46a5-9afb-0eb0cddd39e3,ae11f2d4-af8f-4884-9238-e24ddf24881e,2025-07-20,credit,RET/BESCOM,20269277,S5217844,,original_csv
017b36db-9876-4508-b126-213812ccfa6c,d2a36808-4953-482c-a07d-b5e8a20b5d5b,2025-04-21,credit,UTIL/Dasgupta-Tandon,1328260,R1153582,,original_csv
017bbbb4-4544-46ef-af26-0936894778fe,3af83361-dfe7-4f67-bff5-d9cf9de0e190,2024-04-16,credit,SAL/SWIGGY,4498991,T1491289,832095436163,original_csv
01805030-fb94-4c1f-8cdc-13d229c0e9c1,e0cbca88-1cfa-4a99-8761-bc9a58b106b5,2024-05-25,credit,RTGS/Rajagopalan-Pathak,1860449,I3080170,355536275186,original_csv
018292e3-90f3-4375-a1a4-a34afafff912,d03d9807-93d5-4689-8433-c24ffdd404d5,2024-04-28,credit,UTIL/ICICI BANK CREDIT CARD,89424,R6822903,,original_csv
0183386c-2353-4a85-af50-c93b1216aa33,da168b60-cba1-4c6e-bbbd-18dbff81046f,2024-01-03,debit,RET/ZERODHA MUTUAL FUND,-843425,I1245386,646486550151,original_csv
01856ab0-e6ed-4dc9-b866-077ef9b81652,850ab044-3f6c-45b9-ae67-49324597270a,2024-07-21,debit,RTGS/Sarin Inc,-3755266,,,original_csv
018746b9-a3a2-4819-8601-b55c15e143e4,4f01cdef-441a-4ade-b157-d6eefa631a6d,2025-06-27,debit,NEFT/ICICI PRUDENTIAL,-42277702,S9150666,,original_csv
018c087d-f12c-4ab4-bd48-f110f6e07a25,2e7ae07e-203f-4776-8dae-69b34a592065,2026-05-31,debit,TFR/BAJAJ ALLIANZ,-2585914,I7855308,507388955292,original_csv
018c8155-4244-4b5d-b015-e68bf744b52b,f16c564e-6f08-4e1a-92da-1d0467b4b8d1,2026-03-13,debit,FT/BSNL,-4755965,,388413639608,original_csv
018e2a30-3e7d-48de-a070-37a084a1325a,6286db3d-abf1-46b2-9be9-7b876d7acd40,2025-08-09,credit,DEP/BSES RAJDHANI,3117149,T3169525,336217864952,original_csv
0195f4ee-678d-4534-a803-95fa6cf54d2b,9547a959-508c-4734-9b7e-36a56b45c5b1,2025-09-27,credit,IMPS/UBER INDIA,18119001,I8737851,,original_csv
01983794-9b64-4f33-a4fd-6a4873f49344,04901130-4201-4370-b488-ed671c1f669c,2025-07-26,credit,CHQ/Bail-Kuruvilla,24306936,R7776218,,original_csv
019badde-ac4a-4253-a7a4-ac57597b343c,b2ba670b-5635-4e64-81b9-57a8a9872863,2026-03-09,credit,ATM/HP GAS,8662573,T9070473,635914041972,original_csv
01ab904f-0b74-4264-95aa-5bd187e29e60,49f42b9f-353a-49c2-982c-7db1ab717556,2024-10-18,debit,"TFR/Sarkar, Das and Kadakia",-1019847,U5810805,109746461078,original_csv
01ab91cb-5c8e-4545-ba70-09c273631285,a00d8daf-239f-49ab-92a6-d102f4fda33f,2025-06-02,debit,REF/FRANKLIN TEMPLETON,-2332119,R4771833,,original_csv
01ad7a75-f6ef-454c-ae6e-b5565063ae97,f553df86-6033-4a8c-a020-a28bc7e50794,2026-08-13,debit,CHG/Kara-Srivastava,-728927,T5008840,,original_csv
01ae10b5-d9c7-43e8-97e6-530234f597bc,806c9b84-9c21-4fdf-87a0-5d78985aa506,2026-06-29,debit,TFR/NAVI MUTUAL FUND,-29450117,S4999722,428199086424,original_csv
01b2f4e4-9847-4bf4-9188-c780f58e07cd,3aab9fb8-43ad-4ab6-a634-d185eb9c48a3,2025-09-23,debit,NEFT/MORE SUPERMARKET,-4927491,U3938746,547060358616,original_csv
01b43cfd-f53c-4afb-87a9-5e7b88ad7da0,da8697b8-d1da-4dda-8aa2-e96894c6da46,2026-07-29,debit,REV/OLA CABS,-2374800,T6042221,593369259577,original_csv
01b43f0b-2f6a-47a2-ae64-362db9ac8e33,f406fcbb-03e3-433e-8f04-abea2862a975,2026-02-24,debit,RET/L&T MUTUAL FUND,-2679992,N3935981,,original_csv
01b45fa7-2601-4004-b523-d6f0b703bce9,2e1a6e2b-0b50-47cd-9b35-68637e4dd914,2025-11-21,debit,RET/UBER INDIA,-3792170,R1681746,406930787205,original_csv
01b520a5-4620-49b9-9e78-50986ddb3a94,bb9ad8d2-dc40-4297-a1fe-862ffd4b89f9,2026-01-10,credit,REF/AMAZON INDIA,2748038,R4989643,480409132163,original_csv
01b53d7f-d812-43b6-b66c-c218bf20bcc9,1a7b8cc5-cb06-4edb-924a-f95f42742f14,2026-07-10,credit,POS/AXIS MUTUAL FUND,46037,N2472308,217997334250,original_csv
01b9a62f-eb1f-4937-ac76-f5629a2a7b1a,452c86d2-f357-4481-b7dd-22be593cd13e,2024-05-17,debit,ATM/Hora PLC,-2651462,S7514681,920427540306,original_csv
01be7355-8f19-419e-9732-86ee3d26503d,d050efa1-364e-4a09-88f4-5edc43f06218,2025-01-20,credit,IMPS/Ghose-Sant,39863020,R4950698,,original_csv
01c49430-1273-44eb-8ddf-660005620bf1,751889a0-7d83-4cab-9792-570394ed03ef,2026-01-14,debit,CHQ/CHOLAMANDALAM MS,-2860533,S8753918,602360492613,original_csv
