allocation_id,invoice_id,payout_id,amount_minor,allocation_date
08b6a7c0-551e-546a-84c4-7725697edf80,INV-LEGACY-0197,PAY-LEGACY-0197,1541725,2024-07-22
0900ea0c-372a-59b0-a7ae-b08200590fee,INV-LEGACY-0266,PAY-LEGACY-0266,4465058,2026-05-12
094452cb-8cae-5745-93cc-f0b9a5ea1690,INV-LEGACY-0041,PAY-LEGACY-0041,3144303,2025-05-19
0959f58e-f1c5-547d-ae3c-47be80f5399c,INV-LEGACY-0156,PAY-LEGACY-0156,2265736,2025-01-19
0986bf53-c429-58b0-95fb-43b46f7e5fae,INV-LEGACY-0347,PAY-LEGACY-0347,4856631,2026-05-08
09bfe4e0-a496-53ec-a73d-fb7543339337,INV-INSTALLMENTS,PAY-INSTALLMENT-2,600000,2026-08-15
09fe02b9-b1c9-5fd6-a6d5-ce74a982c001,INV-LEGACY-0353,PAY-LEGACY-0353,4129223,2026-03-13
0a1c3da8-9c27-5cff-a4dc-4c32661e0e74,INV-LEGACY-0417,PAY-LEGACY-0417,4083848,2026-03-14
0a201f66-e3db-5be4-bf54-c18afe1e6fae,INV-LEGACY-0160,PAY-LEGACY-0160,3178838,2026-07-18
0ae18283-e7e1-5376-b60f-8a00f881fb54,INV-LEGACY-0490,PAY-LEGACY-0490,37720106,2026-08-30
0b16ab5f-20b4-5163-90c4-ada34b9c33f7,INV-LEGACY-0405,PAY-LEGACY-0405,47894566,2024-03-04
0b342f16-18d7-5549-a6e1-68ca462b43cb,INV-LEGACY-0411,PAY-LEGACY-0411,3571231,2024-03-07
0bcb9c9e-7b6b-55ae-929f-ca1f6605660d,INV-LEGACY-0072,PAY-LEGACY-0072,1142154,2025-09-14
0c3ae0d5-c325-57d2-8c71-e5604411d37c,INV-LEGACY-0151,PAY-LEGACY-0151,6706459,2026-07-13
0c9e8816-3d25-5ff1-b734-237759f922aa,INV-LEGACY-0054,PAY-LEGACY-0054,26525928,2024-02-09
0ce7ca06-f544-5120-af91-65715e162391,INV-LEGACY-0212,PAY-LEGACY-0212,40777522,2024-05-29
0de53c30-a878-5045-945b-c94684c6d3cb,INV-LEGACY-0496,PAY-LEGACY-0496,3848491,2026-06-26
0df03b69-ed8d-5834-989e-09ab816b9486,INV-LEGACY-0497,PAY-LEGACY-0497,3773698,2026-01-21
0f443ccb-b310-5d6e-8c91-a1801a874fee,INV-LEGACY-0449,PAY-LEGACY-0449,365485273,2024-03-19
0f7dcc88-b4ef-5f99-94f8-000d5d41144e,INV-LEGACY-0297,PAY-LEGACY-0297,36601677,2025-07-17
0fce6ff8-703f-5d4c-9a5f-f1a2f715fbaa,INV-LEGACY-0319,PAY-LEGACY-0319,37407965,2024-06-04
102f5691-b6c4-5c82-92fc-5c1d970ef97b,INV-LEGACY-0269,PAY-LEGACY-0269,235354,2024-12-17
10585b64-1e83-5c46-85e9-744b8c0508e1,INV-LEGACY-0343,PAY-LEGACY-0343,4082685,2026-01-04
1083fad5-14d5-5524-b716-27ea1714f6a9,INV-LEGACY-0179,PAY-LEGACY-0179,2166613,2026-01-13
10ee0b4b-5a9a-556e-8b6c-a8e3c00631f2,INV-LEGACY-0279,PAY-LEGACY-0279,571281,2026-01-11
119121c0-2f06-5aa1-9a8b-450f0363c12a,INV-BATCH-1,PAY-BATCH-1,300000,2026-08-15
11a2f41c-7e22-595d-ab6b-56deaad3cebc,INV-CLOUD-HISTORY-3,PAY-CLOUD-HISTORY-3,100000,2026-07-12
1200a6e1-c2d6-596c-a18e-246f4b4e95ac,INV-LEGACY-0141,PAY-LEGACY-0141,3757168,2024-10-12
129fda97-7cf5-5f87-9bc4-32d17b15889c,INV-LEGACY-0219,PAY-LEGACY-0219,2887132,2024-10-31
12cf8c23-a1aa-5483-adc5-f9c729f7076a,INV-LEGACY-0307,PAY-LEGACY-0307,1388172,2024-12-01
12f29ef6-1309-5821-a98c-82086a4f1305,INV-LEGACY-0370,PAY-LEGACY-0370,3117880,2025-01-16
13142b42-0428-5c5d-b9c4-408bc4f5c913,INV-LEGACY-0426,PAY-LEGACY-0426,3446103,2025-11-03
139e6d52-e8db-5717-a062-f132ae6a6bf6,INV-LEGACY-0166,PAY-LEGACY-0166,248026177,2025-07-26
14167cc6-c03d-538b-aca4-591746948e96,INV-LEGACY-0331,PAY-LEGACY-0331,1793608,2025-01-16
1539a28d-c783-52b8-83f8-70b1cb07c5f0,INV-LEGACY-0139,PAY-LEGACY-0139,377941,2026-05-17
15e24bd6-1c2c-502d-896c-9b994f4461e3,INV-LEGACY-0229,PAY-LEGACY-0229,47298631,2026-04-14
17669cfa-0713-519b-a562-7a4045d94f56,INV-LEGACY-0046,PAY-LEGACY-0046,39425761,2024-04-12
178a1961-1077-51b9-8762-710d3dbeb5a7,INV-LEGACY-0019,PAY-LEGACY-0019,1920154,2026-08-31
18f433c4-1227-52ff-ae6b-6a2b3417a383,INV-CLOUD-HISTORY-1,PAY-CLOUD-HISTORY-1,100000,2026-07-04
190533d6-35ad-5d92-ba7a-ebfa87aa49a9,INV-LEGACY-0333,PAY-LEGACY-0333,4955559,2025-02-14
1950fb40-0deb-53c9-958c-3daa30516e95,INV-LEGACY-0265,PAY-LEGACY-0265,4418992,2024-08-27
196600ec-5d99-597b-a518-f12c799f5ec2,INV-LEGACY-0329,PAY-LEGACY-0329,33218902,2026-04-18
196d069a-6288-5da1-8853-045db065eafa,INV-LEGACY-0027,PAY-LEGACY-0027,857059,2024-02-18
19f721d5-fecd-513d-8b4c-a8973ef39d8a,INV-LEGACY-0090,PAY-LEGACY-0090,23969270,2024-02-04
1aee2dbd-416b-53c4-a1eb-7a348164733e,INV-LEGACY-0251,PAY-LEGACY-0251,1383171,2025-06-04
1c1fd06b-4715-50b1-8698-e4cd289751f6,INV-LEGACY-0380,PAY-LEGACY-0380,4734012,2025-09-11
1c2a67eb-90be-5ddd-94f9-b11dbfdbb4c7,INV-LEGACY-0068,PAY-LEGACY-0068,37696851,2024-02-12
1cb410f0-8369-5109-94af-d9b55bff6fed,INV-LEGACY-0073,PAY-LEGACY-0073,9988619,2025-05-13
1da639ac-3452-5663-a476-521e530a58a7,INV-LEGACY-0084,PAY-LEGACY-0084,4766621,2026-08-06
1e2251ed-f5ba-501b-8cba-6b66398b3eec,INV-LEGACY-0030,PAY-LEGACY-0030,39226797,2025-10-05
1e90493e-3913-5e0e-b6b8-bb734ae7c16a,INV-LEGACY-0256,PAY-LEGACY-0256,1018009,2024-01-07
1eb873a9-66a6-58c2-a59a-be5419eb3fc8,INV-LEGACY-0410,PAY-LEGACY-0410,2394905,2025-08-27
1ed7e574-9726-58d9-934b-dbd192c25c68,INV-LEGACY-0440,PAY-LEGACY-0440,4930008,2025-01-16
1fe893ab-bcbb-5cce-aa7d-62a29b60dfcc,INV-LEGACY-0040,PAY-LEGACY-0040,47165231,2024-10-31
20659953-e8f2-54f2-9a6d-47db619413cb,INV-LEGACY-0414,PAY-LEGACY-0414,3659274,2025-09-10
20717212-1ed3-59a4-af6d-a5988ead4d05,INV-LEGACY-0092,PAY-LEGACY-0092,1940208,2024-01-28
20c5ee75-0087-5933-83db-c9de2260d6f2,INV-LEGACY-0127,PAY-LEGACY-0127,21649367,2026-06-05
20ce3c11-2319-537e-92a8-3c611c55cdf8,INV-LEGACY-0020,PAY-LEGACY-0020,4970182,2025-04-10
2114e3b6-9bab-5c23-977d-a6a016453b1d,INV-LEGACY-0491,PAY-LEGACY-0491,421215,2025-10-21
217a4d42-3d06-598e-b97f-2b248771f418,INV-LEGACY-0418,PAY-LEGACY-0418,88568104,2026-07-07
22f6ff26-6290-555e-beee-3f8538c6f5de,INV-LEGACY-0190,PAY-LEGACY-0190,29328847,2026-07-26
22f70d97-8d1a-59f0-9a4a-913aa350d7dc,INV-LEGACY-0123,PAY-LEGACY-0123,49992827,2024-08-12
23c02b25-719c-5d6c-b67e-c0d73471aee6,INV-LEGACY-0058,PAY-LEGACY-0058,543746,2024-02-23
252b452c-8ece-5746-b047-39bb9d493ed9,INV-MISMATCH,PAY-MISMATCH,990000,2026-08-15
25666a9e-c3da-5145-a9ab-977723f91f68,INV-LEGACY-0247,PAY-LEGACY-0247,371313799,2025-07-28
26efcdb3-5a58-56c5-bded-bd52581170a5,INV-LEGACY-0348,PAY-LEGACY-0348,44964893,2024-08-20
27327f7e-10f8-514b-869e-8c9646974a9c,INV-LEGACY-0232,PAY-LEGACY-0232,1071303,2024-08-28
2738f27b-f484-5857-8472-14cc04cb98b2,INV-LEGACY-0484,PAY-LEGACY-0484,4710472,2024-02-24
283995d8-8491-51ef-af10-42df69182c60,INV-LEGACY-0488,PAY-LEGACY-0488,1442925,2025-11-03
284b551d-c0b9-5943-b460-890cf08f152f,INV-LEGACY-0004,PAY-LEGACY-0004,262972,2024-06-12
28c31ae0-e30a-5180-a695-ac6637c4e3b6,INV-LEGACY-0313,PAY-LEGACY-0313,4198901,2024-06-01
29842863-4fd4-5cc4-b46e-d6bace5d2c4e,INV-LEGACY-0182,PAY-LEGACY-0182,4205893,2024-09-24
2acc9950-6dce-51c5-a0e8-b96f7425abe7,INV-LEGACY-0161,PAY-LEGACY-0161,3471021,2026-01-18
2af64b2b-1d69-5eba-b335-b2db81cf6034,INV-LEGACY-0037,PAY-LEGACY-0037,20743512,2026-06-08
2b329720-2d46-59b6-9acb-f239a9ebf17f,INV-LEGACY-0144,PAY-LEGACY-0144,45403152,2025-01-14
2b6977f6-0445-5afb-adad-bf78193406e4,INV-LEGACY-0369,PAY-LEGACY-0369,958723,2026-02-11
2c18467a-388a-5a65-879a-1027f3190779,INV-LEGACY-0178,PAY-LEGACY-0178,44208578,2024-09-10
2c685916-1e83-5b1e-97de-12b644f629fb,INV-LEGACY-0464,PAY-LEGACY-0464,2029939,2024-02-11
2cafbf1c-e8a2-5d0a-92bb-0cf0706ec57d,INV-LEGACY-0174,PAY-LEGACY-0174,2548878,2025-11-19
2cdd8a93-baaf-5b19-a2a2-ae14efe30912,INV-LEGACY-0081,PAY-LEGACY-0081,194731,2024-06-10
2d5791e0-fd48-5c86-bed2-73a540202c97,INV-LEGACY-0458,PAY-LEGACY-0458,647818,2026-07-09
2e52ab06-c0ac-5abc-a0fc-738ee9ce05b4,INV-LEGACY-0211,PAY-LEGACY-0211,48169581,2026-06-15
2e6788e3-673d-5a4d-8a14-a242194f322b,INV-LEGACY-0443,PAY-LEGACY-0443,2518548,2024-06-14
2f082855-cafa-562f-861c-cf04c16becd1,INV-LEGACY-0317,PAY-LEGACY-0317,4741987,2025-03-15
2f5fcc7f-9c74-54c2-a878-ba2343a0380a,INV-LEGACY-0388,PAY-LEGACY-0388,3702586,2025-06-06
2f6c716e-36aa-56e6-9507-cf4fd71eaa3b,INV-LEGACY-0114,PAY-LEGACY-0114,4372440,2025-04-12
2fadf02c-11b9-5d64-bb7b-97f3449b1aee,INV-LEGACY-0455,PAY-LEGACY-0455,3874680,2024-06-14
2fba8378-9f72-59b0-b279-7c8ee1b21917,INV-LEGACY-0434,PAY-LEGACY-0434,2660644,2025-02-07
30333b5b-002b-51cb-8a70-d7841ed90d86,INV-LEGACY-0473,PAY-LEGACY-0473,4354839,2024-12-17
305ebfa0-9025-5e0a-b0f3-67af334987c2,INV-LEGACY-0140,PAY-LEGACY-0140,27652225,2026-01-24
30a1e96b-0181-5e4a-98b2-cc513775867c,INV-LEGACY-0214,PAY-LEGACY-0214,4089425,2026-05-16
310e06d5-5d8c-54a5-be0b-242941dd6e4d,INV-LEGACY-0309,PAY-LEGACY-0309,4795448,2024-04-15
331b77b8-7e2c-5426-aadd-c8405914bd7d,INV-LEGACY-0224,PAY-LEGACY-0224,710951,2025-04-25
33c540e2-92e5-5385-a861-9db6f970e72f,INV-LEGACY-0384,PAY-LEGACY-0384,4266924,2024-06-27
33ce583b-1b23-5812-afaa-9dc248656175,INV-LEGACY-0360,PAY-LEGACY-0360,957455,2025-04-19
34445d81-2010-5e06-99e6-6246f1cd14e9,INV-LEGACY-0186,PAY-LEGACY-0186,3506614,2024-10-02
344f389c-b174-59d7-b6c8-5616ca3d61bb,INV-LEGACY-0289,PAY-LEGACY-0289,2351417,2025-05-16
34c1bafc-d8c3-5820-8548-f58409558aa9,INV-LEGACY-0372,PAY-LEGACY-0372,4953678,2025-12-25
34fa3ebc-e360-5f6f-a442-17156ea4029c,INV-LEGACY-0330,PAY-LEGACY-0330,15624503,2026-02-22
357dfab2-53dd-5ab9-81b1-448ab06e0e4c,INV-LEGACY-0241,PAY-LEGACY-0241,4637951,2026-05-14
3893aca8-5d03-5bdf-9bc5-3696b2b6b5eb,INV-LEGACY-0023,PAY-LEGACY-0023,737293,2026-02-15
38aff2b9-8819-58ed-8e8d-c76c69274467,INV-LEGACY-0419,PAY-LEGACY-0419,1082142,2026-07-21
39807c9f-73cd-5536-8a4f-108e21979a6a,INV-LEGACY-0106,PAY-LEGACY-0106,4515398,2026-06-09
398a6282-c05c-516f-8bf9-6745f3ebd525,INV-LEGACY-0163,PAY-LEGACY-0163,2145232,2025-01-09
3a861f32-d39e-5d8a-89aa-1fba3a0807f8,INV-JULY,PAY-JULY,750000,2026-07-15
3abb5d1b-6701-5b7d-b876-12c9ee629264,INV-LEGACY-0480,PAY-LEGACY-0480,4805476,2024-03-20
3b23c01a-abec-5cec-88e4-ef9435c93f2a,INV-LEGACY-0412,PAY-LEGACY-0412,42541047,2025-12-07
3b45d128-4440-5148-a05d-39b50ad89246,INV-LEGACY-0147,PAY-LEGACY-0147,1192073,2024-09-11
3c0566d5-95cb-5b69-aec7-47b5351a84a0,INV-LEGACY-0376,PAY-LEGACY-0376,3419465,2025-02-26
3c5c6dc3-3887-555a-86bb-d2d6423356a3,INV-LEGACY-0095,PAY-LEGACY-0095,2118643,2025-08-05
3ccd7c5e-fa6e-5d26-adf7-2d4adbb9267d,INV-THRESHOLD-ABOVE,PAY-THRESHOLD-ABOVE,5000001,2026-08-15
3d4a2a72-dacf-5aa6-a9c9-272a0f650eba,INV-LEGACY-0001,PAY-LEGACY-0001,3383498,2025-04-25
3e523d10-cba0-5a49-b39d-95dd99b4a12a,INV-LEGACY-0466,PAY-LEGACY-0466,16001987,2024-09-08
3efcc163-1143-5247-86c6-90bbaab0b0a9,INV-LEGACY-0255,PAY-LEGACY-0255,401641,2025-03-15
3fe389fb-3b55-55a8-aa98-2e3322fa7b88,INV-LEGACY-0332,PAY-LEGACY-0332,4434869,2026-06-30
40ac9ec5-5cb1-5713-a8f5-773720387de0,INV-LEGACY-0067,PAY-LEGACY-0067,3134307,2025-11-08
40b02b1c-2ed5-54ef-bbc7-cf86f756a1ec,INV-LEGACY-0021,PAY-LEGACY-0021,1406322,2025-08-21
4115de66-143f-54cf-9bd4-f20383d7374b,INV-LEGACY-0128,PAY-LEGACY-0128,468736,2025-11-16
4115e7a9-87e3-5c1d-b8d4-3c7e74e7e2a9,INV-LEGACY-0322,PAY-LEGACY-0322,23610998,2024-11-04
41892ffb-8ee1-514e-9624-976e9d47b39f,INV-LEGACY-0499,PAY-LEGACY-0499,3622401,2025-04-20
41a91d56-4c1f-53fb-b5bc-fb9030338922,INV-LEGACY-0034,PAY-LEGACY-0034,284947623,2024-03-07
41c4ae25-1172-5e53-a015-7955ad1115ea,INV-LEGACY-0155,PAY-LEGACY-0155,2702177,2025-07-07
4296d50c-5e9b-5c97-94b7-090f9a1b1225,INV-LEGACY-0216,PAY-LEGACY-0216,37174762,2025-05-20
435e4520-a4b8-55d2-a65c-9c673d9d3231,INV-LEGACY-0199,PAY-LEGACY-0199,1259003,2024-01-09
43b14ef1-18c9-5079-9974-3e25034d754e,INV-LEGACY-0193,PAY-LEGACY-0193,1710980,2024-10-15
452b66c3-f24b-5b3b-8ed0-1e940321743d,INV-LEGACY-0077,PAY-LEGACY-0077,2803314,2025-10-15
4640ba9d-71a7-5d23-9472-9979edfa2273,INV-LEGACY-0132,PAY-LEGACY-0132,3961732,2024-06-05
47d71b1a-c97c-50b7-a615-8e14a7b3c4ef,INV-LEGACY-0424,PAY-LEGACY-0424,24813468,2026-06-05
48238bdd-2e8e-54a4-88c9-1d615619a770,INV-LEGACY-0302,PAY-LEGACY-0302,3518401,2026-03-12
48673fc0-face-5666-96b0-ede64da39d2c,INV-LEGACY-0104,PAY-LEGACY-0104,149098,2024-05-05
4898fb2c-8b69-5f1b-b2b2-90efbabd5fba,INV-LEGACY-0005,PAY-LEGACY-0005,2768795,2024-07-22
496dfd65-eb05-5a96-a205-8c6961f78931,INV-LEGACY-0087,PAY-LEGACY-0087,49518665,2026-03-29
49741cd0-2478-5bab-b668-f1fc937bd096,INV-LEGACY-0213,PAY-LEGACY-0213,2227006,2024-01-07
4aca24b9-3585-5f2b-9e53-52cc85e049d5,INV-LEGACY-0079,PAY-LEGACY-0079,368605516,2026-07-25
4afe810e-0f47-58db-b3f3-8ff4fe0574bd,INV-LEGACY-0118,PAY-LEGACY-0118,46046314,2026-06-11
4b00459d-117f-5a69-9cc6-dd61a5ae7d96,INV-LEGACY-0154,PAY-LEGACY-0154,3607026,2026-08-28
4b1d2086-c66f-5e64-89e4-3988d2969aca,INV-LEGACY-0403,PAY-LEGACY-0403,326565383,2024-01-18
4bc18fe9-adde-516a-9810-78e38a6f25e2,INV-LEGACY-0356,PAY-LEGACY-0356,2615423,2026-07-17
4d542b8f-e03e-568a-93a8-7775cad8ff26,INV-LEGACY-0451,PAY-LEGACY-0451,4103583,2026-07-22
4d5bfbcd-957b-5748-9a8d-be3176f399ee,INV-LEGACY-0325,PAY-LEGACY-0325,1410961,2026-01-16
4d999516-adea-581b-a565-4fc4cd6c5447,INV-LEGACY-0420,PAY-LEGACY-0420,43533311,2026-01-10
4e4f972e-9a10-5be8-883c-4ecf10342890,INV-LEGACY-0345,PAY-LEGACY-0345,3972918,2025-03-28
4e7b4b3e-4a7b-5c6d-92cb-8ecf9a989dec,INV-LEGACY-0025,PAY-LEGACY-0025,527188,2025-06-24
4e844eec-ef16-538e-8785-0879f5acad88,INV-REVERSED,PAY-REVERSED,320000,2026-08-15
503b6de9-5feb-5a35-97fb-39bd9ffa75c3,INV-LEGACY-0203,PAY-LEGACY-0203,1415550,2024-03-01
503beb3b-d960-51bb-8575-214c14cc38e7,INV-LEGACY-0220,PAY-LEGACY-0220,887806,2024-08-17
505add31-a544-5ca5-8b1f-f61413ba871e,INV-LEGACY-0292,PAY-LEGACY-0292,468717,2025-03-11
508b75d9-da4b-5586-8389-4276e1fd3fb5,INV-LEGACY-0250,PAY-LEGACY-0250,223003,2025-02-21
50b094fc-d58f-595a-96ea-95e82572e690,INV-LEGACY-0337,PAY-LEGACY-0337,1619946,2024-03-26
50d4c508-b15f-54f1-a3bd-13053909d9cb,INV-LEGACY-0060,PAY-LEGACY-0060,163618,2026-06-01
50d87e0d-1cda-55d7-bdb4-a25882a65253,INV-LEGACY-0263,PAY-LEGACY-0263,39979022,2024-02-07
51fcb266-619d-5e7e-b672-1a7a6657f692,INV-LEGACY-0406,PAY-LEGACY-0406,1492933,2025-05-07
52921642-bf4c-5fb7-bba4-5e79d94b9084,INV-LEGACY-0326,PAY-LEGACY-0326,2049471,2025-07-17
52bb21f4-98b5-541b-9439-7810a4d92f17,INV-LEGACY-0459,PAY-LEGACY-0459,3746727,2024-11-22
5317f257-44e3-5b7c-8100-1d1632548082,INV-LEGACY-0427,PAY-LEGACY-0427,449052,2026-08-05
5326ae73-12e6-525f-b2eb-f286b5035a66,INV-LEGACY-0465,PAY-LEGACY-0465,3312029,2024-08-19
53cab7be-6f7f-50a4-ba33-32f1dc895455,INV-LEGACY-0293,PAY-LEGACY-0293,4081205,2024-03-02
541a59e4-7500-549c-896d-c01ba18ce9e3,INV-LEGACY-0035,PAY-LEGACY-0035,2310246,2024-09-14
54cdc3fb-5b40-5b23-bf15-142bba233162,INV-LEGACY-0064,PAY-LEGACY-0064,4268940,2026-07-05
54d91571-cf65-5dc0-9dcd-7cab51d4b55b,INV-LEGACY-0469,PAY-LEGACY-0469,4142413,2025-12-17
54ed722f-f575-5735-a897-53968baf28ad,INV-LEGACY-0439,PAY-LEGACY-0439,3334951,2025-12-19
558e57ec-92ae-5b66-ae0c-dcf7a7fc18f4,INV-LEGACY-0475,PAY-LEGACY-0475,2429669,2025-10-23
55ce7490-b6f7-5fc6-bc74-7f6383396a7b,INV-LEGACY-0294,PAY-LEGACY-0294,1617646,2024-12-12
56956ee0-68cd-5968-a56d-09f0a162786f,INV-LEGACY-0201,PAY-LEGACY-0201,316433066,2024-10-01
56c02394-4b6c-5eac-84e9-8ec96d7ac3e1,INV-LEGACY-0194,PAY-LEGACY-0194,722705,2025-08-04
576e4efc-892b-5e44-bc7c-741b2d62879e,INV-LEGACY-0428,PAY-LEGACY-0428,10969996,2026-07-01
58907677-849a-5c6e-b11a-f5cc709c019b,INV-LEGACY-0462,PAY-LEGACY-0462,21564644,2024-08-17
589362de-4de0-55a0-8126-3b9f2ae3f32b,INV-LEGACY-0371,PAY-LEGACY-0371,35453,2026-05-02
593b47b7-8079-59c5-912b-a19a58fa0c52,INV-LEGACY-0018,PAY-LEGACY-0018,434460,2024-08-19
59520ad5-7edf-5bc2-8d2a-f00cd4e743d7,INV-LEGACY-0227,PAY-LEGACY-0227,2383119,2026-03-05
596a1fe5-1733-545c-8684-f7d9b15ef938,INV-PAISE,PAY-PAISE,101,2026-08-15
5aa4d672-d3e2-581b-b446-8b050d4759a8,INV-LEGACY-0314,PAY-LEGACY-0314,3799139,2026-06-01
5b7617c0-7dc8-5513-9e40-12b1155e60d7,INV-LEGACY-0159,PAY-LEGACY-0159,3029995,2026-01-27
5c38a527-c357-5527-be0d-abb35f2f1633,INV-LEGACY-0048,PAY-LEGACY-0048,3631845,2026-06-27
5e02f022-94c8-5ba9-94cd-f616bb96b9b8,INV-LEGACY-0392,PAY-LEGACY-0392,443103,2024-08-30
5e7f7fe6-af36-503f-8c78-f3e265ba97b3,INV-LEGACY-0324,PAY-LEGACY-0324,2377968,2024-05-22
5f320f7a-e350-5f9e-bc41-344e5d3c9270,INV-LEGACY-0198,PAY-LEGACY-0198,2719297,2025-03-25
612835fa-4b4b-57ab-896b-7cc6c0322ab1,INV-LAST-DAY,PAY-LAST-DAY,20000,2026-08-31
619625ed-6be7-5522-8cd4-036d30a0e1ba,INV-DUPLICATE,PAY-DUPLICATE,120000,2026-08-15
61b47917-4623-55f2-8d5d-3abcc154dc85,INV-LEGACY-0200,PAY-LEGACY-0200,2768705,2024-09-21
61da1152-90e4-5f1b-b4ff-4dd8f40e586d,INV-LEGACY-0456,PAY-LEGACY-0456,4670681,2025-09-05
62c06a63-ba2b-52d0-838f-da1728c3171f,INV-LEGACY-0196,PAY-LEGACY-0196,3749712,2025-05-05
63c4522a-0d87-544a-8139-01e0f5249a87,INV-LEGACY-0391,PAY-LEGACY-0391,2378762,2024-05-24
6412996f-3b76-5edb-94a2-13a0c745b2ec,INV-LEGACY-0130,PAY-LEGACY-0130,2205301,2025-08-23
642d96fa-434f-561e-9bea-d00cbf852bf2,INV-NEXT-MONTH,PAY-NEXT-MONTH,30000,2026-09-01
656bd65f-f084-5215-84ce-f324b01530c5,INV-LEGACY-0404,PAY-LEGACY-0404,3030494,2024-10-12
668bd8bd-2598-508f-a1c3-a1cd4c4b3372,INV-LEGACY-0262,PAY-LEGACY-0262,38268739,2026-05-03
669a9031-a8cd-54fc-8c8f-3231b9815f78,INV-LEGACY-0447,PAY-LEGACY-0447,2507873,2024-06-09
66d1377a-9c49-5604-8ffb-77c17cb457d8,INV-LEGACY-0298,PAY-LEGACY-0298,3265108,2024-06-05
66dc8762-fdb6-52d7-910e-9ddf106b94be,INV-CLOUD-OUTLIER,PAY-CLOUD-OUTLIER,2500000,2026-08-25
67184350-6d25-552e-b76f-0c058f0608dd,INV-LEGACY-0086,PAY-LEGACY-0086,2585925,2026-01-08
676ae65d-b5f0-5f5f-852a-26c242e5a77d,INV-LEGACY-0013,PAY-LEGACY-0013,7976951,2025-03-09
676cb648-8132-5423-bb02-bf40f6490902,INV-LEGACY-0192,PAY-LEGACY-0192,730685,2024-05-05
68b8aea4-4b81-5e99-a5fa-b8762a51d85f,INV-LEGACY-0441,PAY-LEGACY-0441,47068800,2024-07-26
6a1d210e-99c7-5582-adfd-1b5f84cf0024,INV-LEGACY-0445,PAY-LEGACY-0445,2189214,2026-08-21
6a67fe85-be4e-5e2b-9109-90ca8d1798b3,INV-LEGACY-0401,PAY-LEGACY-0401,8136197,2025-02-02
6ac6d91f-6da5-58de-b56b-1e6f8f86dc07,INV-LEGACY-0338,PAY-LEGACY-0338,1624095,2025-11-03
6b0dee9c-6cb7-59f5-b10b-9273f9f25eae,INV-LEGACY-0444,PAY-LEGACY-0444,38798407,2025-01-30
6c08d6d3-6695-5307-826a-7d6ea34e30ee,INV-LEGACY-0385,PAY-LEGACY-0385,21988170,2025-12-08
6c42a49e-a33e-591f-b149-87005c0e4190,INV-LEGACY-0236,PAY-LEGACY-0236,40270173,2025-09-21
6c896642-78e7-5d26-ae8e-e80566e26b66,INV-LEGACY-0089,PAY-LEGACY-0089,3091879,2025-10-16
