payout_id,invoice_id,vendor_id,account_id,requested_date,settled_date,amount_minor,status,provenance
PAY-LAST-DAY,INV-LAST-DAY,f22c83a8-9d83-5529-a9b5-56b892019de1,1dcd9b72-6467-4706-a221-bf5b9d6359d7,2026-08-31,2026-08-31,20000,succeeded,synthetic_extension_v1
PAY-LEGACY-0000,INV-LEGACY-0000,37fa3390-3c13-5b9d-91da-fd76fbb1f631,c17d39c2-d3f1-4ed7-b5d2-b7c3871e3784,2025-01-10,2025-01-10,1228076,succeeded,synthetic_extension_v1
PAY-LEGACY-0001,INV-LEGACY-0001,bdfdbeed-dd68-51d8-81d7-883bde84ff57,37dee93e-9f2a-43a7-a4a2-f52fdfacf5ef,2025-04-25,2025-04-25,3383498,succeeded,synthetic_extension_v1
PAY-LEGACY-0002,INV-LEGACY-0002,63d87a3d-61d1-5896-8685-ef82e2d0ff0c,14d4cf27-e481-45c3-90cd-13803d10fa4f,2024-12-27,2024-12-27,1129332,succeeded,synthetic_extension_v1
PAY-LEGACY-0003,INV-LEGACY-0003,3045c937-d3d2-5d34-a1f6-1f3f4fd0a24c,4f01cdef-441a-4ade-b157-d6eefa631a6d,2025-06-27,2025-06-27,42277702,succeeded,synthetic_extension_v1
PAY-LEGACY-0004,INV-LEGACY-0004,56f84b4c-e039-5f72-b3f7-41684d1e212a,ce6e3729-2020-4d5d-977f-41cf6232b6d6,2024-06-12,2024-06-12,262972,succeeded,synthetic_extension_v1
PAY-LEGACY-0005,INV-LEGACY-0005,6890ddec-c75c-5441-980b-5b0c7953a44c,7c7fbe96-e681-4290-8a4e-d75ae6b1deab,2024-07-22,2024-07-22,2768795,succeeded,synthetic_extension_v1
PAY-LEGACY-0006,INV-LEGACY-0006,3456c0ef-54d0-5186-a3e4-ac20cf27a837,ae093aff-c18e-425e-accd-95347e8b3f37,2026-05-16,2026-05-16,3935626,succeeded,synthetic_extension_v1
PAY-LEGACY-0007,INV-LEGACY-0007,c3c5af65-7bf1-5c62-9203-67d442c402f8,669c76aa-c991-4a94-a01b-0fe42985b440,2025-07-20,2025-07-20,611289,succeeded,synthetic_extension_v1
PAY-LEGACY-0008,INV-LEGACY-0008,8eeb06f6-ac4a-502a-82ae-d92769fe3b88,f596673a-a1df-42a7-bbe4-5e37ea77667f,2025-10-23,2025-10-23,3351493,succeeded,synthetic_extension_v1
PAY-LEGACY-0009,INV-LEGACY-0009,a0cf0f9f-64ca-5726-876b-4361d6b3ae3c,818b2460-e7aa-4e0e-8780-3d5f4de96f61,2024-07-02,2024-07-02,1558145,succeeded,synthetic_extension_v1
PAY-LEGACY-0010,INV-LEGACY-0010,f4429e57-7327-591d-a6e0-daa2dc7243ea,87281040-201f-4bb5-8405-5346dd9359ae,2025-11-23,2025-11-23,3792502,succeeded,synthetic_extension_v1
PAY-LEGACY-0011,INV-LEGACY-0011,5243a818-9d8e-5646-b3d1-2471cba98005,64765f6c-95f9-4038-be95-d0734396e375,2025-07-02,2025-07-02,49886607,succeeded,synthetic_extension_v1
PAY-LEGACY-0012,INV-LEGACY-0012,bdfdbeed-dd68-51d8-81d7-883bde84ff57,05937dc7-bfa6-4188-a0c1-2ee7b502c51c,2024-01-16,2024-01-16,3538184,succeeded,synthetic_extension_v1
PAY-LEGACY-0013,INV-LEGACY-0013,3c63875d-003b-5dad-a224-5ee021b53f6f,80083014-df30-4687-820e-ad759f7fee2f,2025-03-09,2025-03-09,7976951,succeeded,synthetic_extension_v1
PAY-LEGACY-0014,INV-LEGACY-0014,3fd4db81-0f08-5859-90bd-ea8a08d9860a,d1a6097e-d124-4b7c-9f4e-c30356f6f3bb,2025-01-27,2025-01-27,3392034,succeeded,synthetic_extension_v1
PAY-LEGACY-0015,INV-LEGACY-0015,e4ae775b-af33-58eb-b006-541d8689a783,265a51c1-7788-4b7c-9165-6e18e79bcaa3,2026-05-06,2026-05-06,2162701,succeeded,synthetic_extension_v1
PAY-LEGACY-0016,INV-LEGACY-0016,2944fa7a-c322-53a9-ba46-4cb8c85c8d15,e01d239d-2042-4f49-956f-69317007d3d1,2026-02-05,2026-02-05,922768,succeeded,synthetic_extension_v1
PAY-LEGACY-0017,INV-LEGACY-0017,c1b1e75d-131d-5e69-86c5-c0c12e77406d,ccde89a7-4749-42ae-8f2c-48790395c955,2025-08-21,2025-08-21,3357623,succeeded,synthetic_extension_v1
PAY-LEGACY-0018,INV-LEGACY-0018,54e16296-56ab-5e7f-9589-3ef42a534f10,0624e339-4696-4ba8-a8f8-fcc78f016d55,2024-08-19,2024-08-19,434460,succeeded,synthetic_extension_v1
PAY-LEGACY-0019,INV-LEGACY-0019,bd8e03c0-b540-5225-85ee-86af7c924b1d,3805774e-fbc0-413d-8631-4f5306000e48,2026-08-31,2026-08-31,1920154,succeeded,synthetic_extension_v1
PAY-LEGACY-0020,INV-LEGACY-0020,062191ca-fb59-5745-8ad0-f4e1b0f0614e,93cdf7ab-532c-4d1e-a443-a26b10046fce,2025-04-10,2025-04-10,4970182,succeeded,synthetic_extension_v1
PAY-LEGACY-0021,INV-LEGACY-0021,f4850a20-7781-56a4-ba35-69ed5bf54617,b7fe96c8-e78b-4003-8d1b-2288a70bffab,2025-08-21,2025-08-21,1406322,succeeded,synthetic_extension_v1
PAY-LEGACY-0022,INV-LEGACY-0022,435d18e8-7999-5cc3-9c2c-91f54578b5fc,f5a61257-35b2-452a-b5e8-366b725fd6ed,2025-02-03,2025-02-03,4222435,succeeded,synthetic_extension_v1
PAY-LEGACY-0023,INV-LEGACY-0023,d0ea87f6-fd2c-5100-ad10-ec07ea13effe,f96ec312-9923-4554-93f0-6eade302d2d0,2026-02-15,2026-02-15,737293,succeeded,synthetic_extension_v1
PAY-LEGACY-0024,INV-LEGACY-0024,56f84b4c-e039-5f72-b3f7-41684d1e212a,5a3c84cc-fbcb-4a71-8195-ea67f42d948b,2025-01-01,2025-01-01,1240402,succeeded,synthetic_extension_v1
PAY-LEGACY-0025,INV-LEGACY-0025,3fd4db81-0f08-5859-90bd-ea8a08d9860a,35cbd0e1-fa1c-40da-bf3c-659fbdf26b5a,2025-06-24,2025-06-24,527188,succeeded,synthetic_extension_v1
PAY-LEGACY-0026,INV-LEGACY-0026,7e8cc9d9-297c-5a39-b67c-3aaddece50d4,9a9b88a3-3900-4c30-bdd6-a3b6609f05ba,2024-07-07,2024-07-07,4655459,succeeded,synthetic_extension_v1
PAY-LEGACY-0027,INV-LEGACY-0027,19581aae-06ea-5c39-9399-25aef009de24,b5258d18-1279-48c6-b1c2-a69dd1c23a80,2024-02-18,2024-02-18,857059,succeeded,synthetic_extension_v1
PAY-LEGACY-0028,INV-LEGACY-0028,e64b0d81-2f42-5b01-8b7f-21aaf64f8ba4,277e4335-2303-43eb-b143-3a966c7cd19e,2024-06-05,2024-06-05,30113683,succeeded,synthetic_extension_v1
PAY-LEGACY-0029,INV-LEGACY-0029,a37e9aba-5d93-5861-966e-d1a0276f97c2,78bdd512-8311-4919-80c8-83c02d99a8a8,2025-06-03,2025-06-03,420891,succeeded,synthetic_extension_v1
PAY-LEGACY-0030,INV-LEGACY-0030,a39f87b4-af54-56c4-9630-3a77a007a20e,dfc3c466-3dba-422b-9b18-048e6a572be1,2025-10-05,2025-10-05,39226797,succeeded,synthetic_extension_v1
PAY-LEGACY-0031,INV-LEGACY-0031,807ea2e2-6f6f-5cab-9638-b69db7d91d38,d5928cb9-7db1-4a5c-97b6-0472efa43308,2024-01-23,2024-01-23,2106327,succeeded,synthetic_extension_v1
PAY-LEGACY-0032,INV-LEGACY-0032,6db5f047-b1cb-55f3-a343-da35c9d44f09,f717203b-9412-496a-a238-94da7af16031,2025-12-28,2025-12-28,10995017,succeeded,synthetic_extension_v1
PAY-LEGACY-0033,INV-LEGACY-0033,c3c5af65-7bf1-5c62-9203-67d442c402f8,b4028684-7853-40f4-ae5b-af515b3b04d1,2026-02-07,2026-02-07,1828005,succeeded,synthetic_extension_v1
PAY-LEGACY-0034,INV-LEGACY-0034,79bc5040-2780-5da3-a308-c4a1b6ca2007,7bbb4a89-8716-48b1-8ad1-1efe7a1d5372,2024-03-07,2024-03-07,284947623,succeeded,synthetic_extension_v1
PAY-LEGACY-0035,INV-LEGACY-0035,a37e9aba-5d93-5861-966e-d1a0276f97c2,4cc93d65-f808-4292-b1dd-70a91ea19cb1,2024-09-14,2024-09-14,2310246,succeeded,synthetic_extension_v1
PAY-LEGACY-0036,INV-LEGACY-0036,37164bdb-4512-552f-8f5e-9f176f3fd5bb,0503af66-feb1-424b-a5b6-4267e8e5484c,2026-04-22,2026-04-22,42736831,succeeded,synthetic_extension_v1
PAY-LEGACY-0037,INV-LEGACY-0037,c3ee90ed-404d-5b52-9dc6-1da94d6809b4,e0c373a1-0e02-4b68-9a39-c41977fdae01,2026-06-08,2026-06-08,20743512,succeeded,synthetic_extension_v1
PAY-LEGACY-0038,INV-LEGACY-0038,f4850a20-7781-56a4-ba35-69ed5bf54617,2b3fdc33-83b6-47ef-966a-1feab26b8010,2026-02-16,2026-02-16,4150065,succeeded,synthetic_extension_v1
PAY-LEGACY-0039,INV-LEGACY-0039,252d221d-75f9-503d-a310-5720c7e3f003,e21c1526-bb6b-4b0f-a866-549ce60453e4,2024-04-24,2024-04-24,1966502,succeeded,synthetic_extension_v1
PAY-LEGACY-0040,INV-LEGACY-0040,fc52ab5c-f5e8-52a1-b41d-42d60b68168f,82576fdb-8eb9-421f-822a-0ee22e106eba,2024-10-31,2024-10-31,47165231,succeeded,synthetic_extension_v1
PAY-LEGACY-0041,INV-LEGACY-0041,f4429e57-7327-591d-a6e0-daa2dc7243ea,425b4a86-d1f2-42c6-8041-6c8e10c168d5,2025-05-19,2025-05-19,3144303,succeeded,synthetic_extension_v1
PAY-LEGACY-0042,INV-LEGACY-0042,cf12fc5b-6cbd-5c4d-a645-d8cb8ffc3364,373027a1-99a5-4ddb-877f-b1be9a1a5e21,2025-02-20,2025-02-20,1311827,succeeded,synthetic_extension_v1
PAY-LEGACY-0043,INV-LEGACY-0043,fc52ab5c-f5e8-52a1-b41d-42d60b68168f,744f80db-d44f-4ce7-8f5b-b9b01219d4a1,2025-03-03,2025-03-03,1143061,succeeded,synthetic_extension_v1
PAY-LEGACY-0044,INV-LEGACY-0044,b27be532-f849-53e0-b298-6c23a1f29e92,aa0a5b33-b8d5-4321-89d7-2c8e152d4037,2025-10-29,2025-10-29,3856371,succeeded,synthetic_extension_v1
PAY-LEGACY-0045,INV-LEGACY-0045,64434ad1-9b52-5ac5-91f3-64bb3637d70f,eea6e1d2-cc76-407c-b7a0-844708cc3030,2024-09-02,2024-09-02,4176687,succeeded,synthetic_extension_v1
PAY-LEGACY-0046,INV-LEGACY-0046,a37e9aba-5d93-5861-966e-d1a0276f97c2,ef008986-aca8-4cba-bc4e-824828c8adac,2024-04-12,2024-04-12,39425761,succeeded,synthetic_extension_v1
PAY-LEGACY-0047,INV-LEGACY-0047,d0ea87f6-fd2c-5100-ad10-ec07ea13effe,d4c13d70-1ede-4364-aaf9-6a30d76edb56,2025-09-27,2025-09-27,3487802,succeeded,synthetic_extension_v1
PAY-LEGACY-0048,INV-LEGACY-0048,d367687c-f4d5-5b2d-b105-401bf0643699,69a91c43-f268-4500-aec9-86c907f102bd,2026-06-27,2026-06-27,3631845,succeeded,synthetic_extension_v1
PAY-LEGACY-0049,INV-LEGACY-0049,6890ddec-c75c-5441-980b-5b0c7953a44c,cce9b8e1-50cf-48cb-8679-13fc9046710d,2024-02-24,2024-02-24,2985166,succeeded,synthetic_extension_v1
PAY-LEGACY-0050,INV-LEGACY-0050,e64b0d81-2f42-5b01-8b7f-21aaf64f8ba4,26a1d964-c0a9-44ac-bc52-e537675ad507,2024-12-18,2024-12-18,2318825,succeeded,synthetic_extension_v1
PAY-LEGACY-0051,INV-LEGACY-0051,840839a8-c7ea-5ee3-a49b-4add4123bfcc,c85d7873-f374-4174-84d7-a3225bd0e208,2025-09-11,2025-09-11,7165231,succeeded,synthetic_extension_v1
PAY-LEGACY-0052,INV-LEGACY-0052,6b91b68f-afd1-5fa9-b57d-2087186b70e8,ce55fa10-90d0-4841-838d-5c2b57bd8fcb,2025-03-21,2025-03-21,75735,succeeded,synthetic_extension_v1
PAY-LEGACY-0053,INV-LEGACY-0053,8c44d008-53f7-596a-b199-37f3269feea3,d938473b-08fa-4ea0-8f8a-ffa73ccb27a7,2024-01-30,2024-01-30,49749126,succeeded,synthetic_extension_v1
PAY-LEGACY-0054,INV-LEGACY-0054,9f50c1b9-b7d1-5b1c-b91d-4162a7d83ccd,f638c13e-004a-4191-8f51-44eabd8f5cbf,2024-02-09,2024-02-09,26525928,succeeded,synthetic_extension_v1
PAY-LEGACY-0055,INV-LEGACY-0055,cb594e5f-b964-5154-b88d-6a5b35a1b057,35042072-84bc-4384-9e7f-301b0855432a,2025-12-17,2025-12-17,3740616,succeeded,synthetic_extension_v1
PAY-LEGACY-0056,INV-LEGACY-0056,807ea2e2-6f6f-5cab-9638-b69db7d91d38,d66b10d4-04bf-46cf-a55e-e24b554afac2,2025-11-07,2025-11-07,2050147,succeeded,synthetic_extension_v1
PAY-LEGACY-0057,INV-LEGACY-0057,3456c0ef-54d0-5186-a3e4-ac20cf27a837,928e9fda-c3dc-4dc3-a9b7-0ef6e68803f5,2025-11-20,2025-11-20,35254899,succeeded,synthetic_extension_v1
PAY-LEGACY-0058,INV-LEGACY-0058,7a3e93c4-e59c-5eba-b29a-dfefb40948aa,ae093aff-c18e-425e-accd-95347e8b3f37,2024-02-23,2024-02-23,543746,succeeded,synthetic_extension_v1
PAY-LEGACY-0059,INV-LEGACY-0059,21433154-873b-5278-942c-b1731fd3c3cb,2688dea3-5d21-4e51-9036-dbe093eee17c,2024-01-01,2024-01-01,1939638,succeeded,synthetic_extension_v1
PAY-LEGACY-0060,INV-LEGACY-0060,264879eb-432f-5dec-bb7c-ced8802ee711,06fc163f-3da1-46e1-9f94-9a3ecc101288,2026-06-01,2026-06-01,163618,succeeded,synthetic_extension_v1
PAY-LEGACY-0061,INV-LEGACY-0061,b8412f27-5f6f-5b52-9764-cc61586ae013,876a6853-7675-48b7-9436-5171b0d4be52,2024-05-02,2024-05-02,602562,succeeded,synthetic_extension_v1
PAY-LEGACY-0062,INV-LEGACY-0062,8ad3ab75-1148-52cf-b7d9-e9f22926b24e,d4c13d70-1ede-4364-aaf9-6a30d76edb56,2026-05-25,2026-05-25,4986954,succeeded,synthetic_extension_v1
PAY-LEGACY-0063,INV-LEGACY-0063,79bc5040-2780-5da3-a308-c4a1b6ca2007,be2c9747-336f-4a04-a9b6-646292a4cefa,2024-06-03,2024-06-03,15061451,succeeded,synthetic_extension_v1
PAY-LEGACY-0064,INV-LEGACY-0064,481dfbde-f953-5ec7-81b7-1dcc5910cc57,e3408600-a59b-4789-8789-97460e4557c9,2026-07-05,2026-07-05,4268940,succeeded,synthetic_extension_v1
PAY-LEGACY-0065,INV-LEGACY-0065,20ba8481-4838-57a8-85c4-600e334e994d,74ee749b-24b2-4645-a532-0fbdefe04aec,2024-09-09,2024-09-09,2462391,succeeded,synthetic_extension_v1
PAY-LEGACY-0066,INV-LEGACY-0066,54719001-fd55-5f9d-8b4e-887178dd2f03,932ed4da-7d30-4480-894c-e33632cec54e,2024-11-06,2024-11-06,3934653,succeeded,synthetic_extension_v1
PAY-LEGACY-0067,INV-LEGACY-0067,8dcd93b5-fcc4-5ec2-b4a5-b7f56c868c4e,06b583c9-a83f-4571-8b4d-351a9f39393c,2025-11-08,2025-11-08,3134307,succeeded,synthetic_extension_v1
PAY-LEGACY-0068,INV-LEGACY-0068,5243a818-9d8e-5646-b3d1-2471cba98005,df9f1ade-63f6-4321-9ed3-3b68d7e80a88,2024-02-12,2024-02-12,37696851,succeeded,synthetic_extension_v1
PAY-LEGACY-0069,INV-LEGACY-0069,d0ea87f6-fd2c-5100-ad10-ec07ea13effe,83c7108d-7aea-4861-9605-313f8523f363,2025-02-18,2025-02-18,48771224,succeeded,synthetic_extension_v1
PAY-LEGACY-0070,INV-LEGACY-0070,3c177632-4e9b-5264-a280-4cb38b8872a6,fc764a5a-7de5-4624-a5ce-c9a2eda83684,2024-02-28,2024-02-28,37756265,succeeded,synthetic_extension_v1
PAY-LEGACY-0071,INV-LEGACY-0071,062379c9-df52-5839-ac2c-84c2f769737e,23ef3a14-47bf-408d-80fb-658c6b15fa76,2025-11-04,2025-11-04,3675133,succeeded,synthetic_extension_v1
PAY-LEGACY-0072,INV-LEGACY-0072,87a75965-a272-5a35-900e-1762ba9488ed,1064ebda-2fb2-4492-8627-908ce1a8e7d9,2025-09-14,2025-09-14,1142154,succeeded,synthetic_extension_v1
PAY-LEGACY-0073,INV-LEGACY-0073,997cec34-5c60-56ac-a6b4-a3d4e25e3313,8d5945bb-65e6-4155-9939-157b6760ff02,2025-05-13,2025-05-13,9988619,succeeded,synthetic_extension_v1
PAY-LEGACY-0074,INV-LEGACY-0074,7fa798a3-a6f7-5238-bd7d-37d91e0e6df0,237c6b41-bade-4128-8c76-51395857fa10,2026-04-23,2026-04-23,4663427,succeeded,synthetic_extension_v1
PAY-LEGACY-0075,INV-LEGACY-0075,3045c937-d3d2-5d34-a1f6-1f3f4fd0a24c,501e62f1-cecb-442e-88d3-69d5f8b94837,2026-04-28,2026-04-28,2493552,succeeded,synthetic_extension_v1
PAY-LEGACY-0076,INV-LEGACY-0076,7e8cc9d9-297c-5a39-b67c-3aaddece50d4,c56a6f4c-a210-41d8-a80a-eb6e0d3cae3b,2025-12-21,2025-12-21,3839157,succeeded,synthetic_extension_v1
PAY-LEGACY-0077,INV-LEGACY-0077,03398435-d65f-54a1-88a2-e7df04f2ab90,61c00eed-a3bf-4071-b416-f6549d3052e6,2025-10-15,2025-10-15,2803314,succeeded,synthetic_extension_v1
PAY-LEGACY-0078,INV-LEGACY-0078,37164bdb-4512-552f-8f5e-9f176f3fd5bb,b2ba670b-5635-4e64-81b9-57a8a9872863,2024-05-23,2024-05-23,426154,succeeded,synthetic_extension_v1
PAY-LEGACY-0079,INV-LEGACY-0079,2944fa7a-c322-53a9-ba46-4cb8c85c8d15,fa54eea9-7a12-4f45-b25c-7cbbf9f6a1a9,2026-07-25,2026-07-25,368605516,succeeded,synthetic_extension_v1
PAY-LEGACY-0080,INV-LEGACY-0080,252d221d-75f9-503d-a310-5720c7e3f003,a0bfa2cf-622a-46f1-a819-549837937d9a,2026-07-19,2026-07-19,2863613,succeeded,synthetic_extension_v1
PAY-LEGACY-0081,INV-LEGACY-0081,03ba3397-9a87-5567-932d-7e6f23d16ecf,bdf764a7-6434-4e31-ad34-1949707f34f5,2024-06-10,2024-06-10,194731,succeeded,synthetic_extension_v1
PAY-LEGACY-0082,INV-LEGACY-0082,1f5defae-80c0-5a20-b76e-6b65ca56f2e5,aa8bba02-7f80-4a2a-a7b0-b5fcd49bbcc2,2024-03-03,2024-03-03,3590880,succeeded,synthetic_extension_v1
PAY-LEGACY-0083,INV-LEGACY-0083,997cec34-5c60-56ac-a6b4-a3d4e25e3313,65fe58e9-ad1d-43d3-888b-de63aaa01ac9,2026-04-14,2026-04-14,39919018,succeeded,synthetic_extension_v1
PAY-LEGACY-0084,INV-LEGACY-0084,7e8cc9d9-297c-5a39-b67c-3aaddece50d4,9de6f299-2c27-41fe-9b14-a507f25ba2bf,2026-08-06,2026-08-06,4766621,succeeded,synthetic_extension_v1
PAY-LEGACY-0085,INV-LEGACY-0085,43a483cc-a5dc-51c4-89ab-f35c67bf04ab,fec62e42-25d1-439d-a45f-678e4799656a,2024-09-02,2024-09-02,648990,succeeded,synthetic_extension_v1
PAY-LEGACY-0086,INV-LEGACY-0086,1ef3253b-e232-5f1a-8edb-c45155652071,24992546-7177-4194-8f9d-89d87fb0f7f6,2026-01-08,2026-01-08,2585925,succeeded,synthetic_extension_v1
PAY-LEGACY-0087,INV-LEGACY-0087,7da7d206-57ba-5c34-a589-086317984a43,50dff58d-ba74-43a0-89d8-258270fc4c32,2026-03-29,2026-03-29,49518665,succeeded,synthetic_extension_v1
PAY-LEGACY-0088,INV-LEGACY-0088,52499440-76c6-5aa8-96a8-5ee514d1f561,f1feef82-7436-47b7-adc1-776f9a9cb74b,2024-03-24,2024-03-24,160841,succeeded,synthetic_extension_v1
PAY-LEGACY-0089,INV-LEGACY-0089,d0ea87f6-fd2c-5100-ad10-ec07ea13effe,33924a2d-ed15-478f-991a-7d773647e1cc,2025-10-16,2025-10-16,3091879,succeeded,synthetic_extension_v1
PAY-LEGACY-0090,INV-LEGACY-0090,19581aae-06ea-5c39-9399-25aef009de24,b72af847-f82d-49cc-aae2-46fe04f8b5c7,2024-02-04,2024-02-04,23969270,succeeded,synthetic_extension_v1
PAY-LEGACY-0091,INV-LEGACY-0091,a21d84ee-78f7-59e7-aa51-9d3c83e8c375,b5a6da5d-7679-49c0-b71f-1339ee93df6d,2024-04-21,2024-04-21,26340847,succeeded,synthetic_extension_v1
PAY-LEGACY-0092,INV-LEGACY-0092,7da7d206-57ba-5c34-a589-086317984a43,686a24a8-24ba-41f5-8666-7b577805adfc,2024-01-28,2024-01-28,1940208,succeeded,synthetic_extension_v1
PAY-LEGACY-0093,INV-LEGACY-0093,6db5f047-b1cb-55f3-a343-da35c9d44f09,b94879b3-9f81-4a32-a027-dd785697ac86,2024-11-21,2024-11-21,1159608,succeeded,synthetic_extension_v1
PAY-LEGACY-0094,INV-LEGACY-0094,201f525a-3068-5046-b028-7def29460c9d,53c3d56d-ef99-4f8e-af02-1ae3b6fea549,2025-10-11,2025-10-11,45863535,succeeded,synthetic_extension_v1
PAY-LEGACY-0095,INV-LEGACY-0095,8674902d-2a3e-5926-9cad-29217ce4cc5d,9f90cf40-a5fa-4873-ab3b-519af3391159,2025-08-05,2025-08-05,2118643,succeeded,synthetic_extension_v1
PAY-LEGACY-0096,INV-LEGACY-0096,3456c0ef-54d0-5186-a3e4-ac20cf27a837,8702c538-5bcd-474e-8987-1a5f749c9064,2026-01-13,2026-01-13,4963302,succeeded,synthetic_extension_v1
PAY-LEGACY-0097,INV-LEGACY-0097,7da7d206-57ba-5c34-a589-086317984a43,2edc2921-7e37-40f2-8798-8295ac14d8b4,2026-03-18,2026-03-18,1404487,succeeded,synthetic_extension_v1
PAY-LEGACY-0098,INV-LEGACY-0098,c10c37d2-e3f0-59ab-8704-21529d1058ac,0ebc1720-d184-4319-be28-0a9dd375f3bd,2024-08-17,2024-08-17,478971,succeeded,synthetic_extension_v1
PAY-LEGACY-0099,INV-LEGACY-0099,f4429e57-7327-591d-a6e0-daa2dc7243ea,bf0ebd56-7d5e-47f4-ae1c-b9ecda398ce1,2025-11-20,2025-11-20,4583472,succeeded,synthetic_extension_v1
PAY-LEGACY-0100,INV-LEGACY-0100,c1b1e75d-131d-5e69-86c5-c0c12e77406d,880cb228-8fbf-4919-b6b6-e72f729448d2,2026-02-25,2026-02-25,2871571,succeeded,synthetic_extension_v1
PAY-LEGACY-0101,INV-LEGACY-0101,252d221d-75f9-503d-a310-5720c7e3f003,d4811528-f1af-4b97-b3dc-296b6338bfc7,2024-11-25,2024-11-25,1769622,succeeded,synthetic_extension_v1
