transaction_id,account_id,transaction_date,transaction_type,description,transaction_amount,transaction_reference_id,utr_number
706427f4-c75d-4cb3-9bc2-3d6cbb84fde5,8dbe06fb-db46-4e76-b4a6-42eb63c50d37,2024-10-31,debit,FT/AXIS BANK CREDIT CARD,-28871.32,T6430277,978334920268
19659863-b31f-4b64-9ae2-a5a81c715e30,827701a6-8c21-4912-9806-04e67fa8bb46,2026-02-20,credit,DEP/BARODA BNP PARIBAS,39246.11,S4710964,958319542261
ec788403-8b8b-4c10-8471-f714d1a612b0,c03705d2-b645-46b8-a941-c301dd694bdc,2024-12-31,debit,"RET/Kari, Barman and Misra",-6500.33,S5714091,748091859444
8c8342e4-8bdc-498b-b359-2f0598e8dd76,9ef1d69e-1131-4be0-9b0c-5207b0c5851d,2024-09-04,credit,TFR/Datta Inc,491515.38,S5903003,535822026635
af7daae7-c8ea-45a3-8132-e832c9cabf21,51ac5ba7-c346-42d2-bff6-5609dfbf2067,2025-01-07,debit,"CHG/Kapur, Barad and Ahuja",-15694.08,R5365259,
5c7ce726-fb68-4a94-9360-a918efb8fd52,d66b10d4-04bf-46cf-a55e-e24b554afac2,2025-07-01,debit,ATM/TATA AIG,-17790.53,N7292663,201846304978
0c489540-e410-47a7-91e5-fbb3f5be665f,35cbd0e1-fa1c-40da-bf3c-659fbdf26b5a,2025-06-24,debit,INT/PHONEPE WEALTH,-5271.88,I7450053,
93fc8c77-24e8-40d8-8080-7629205f609c,e044f68e-cc13-455d-aa92-bf70b026b3af,2026-03-07,credit,LOAN/SPENCER'S RETAIL,26847.6,U2872256,
903ef86a-0689-4a72-a321-d757db7c55b7,7cb78858-4006-48e1-8ab4-b1d296b2224c,2024-04-04,debit,RTGS/Gala and Sons,-21296.85,S5162054,
581c2a74-ef67-410c-8d9c-c74174e767ba,52ae27e2-bcff-4e49-9655-e8fe77fc1aa7,2025-12-26,credit,POS/UNITED INDIA INSURANCE,23838.53,I7280972,696419223577
66c633a6-f73c-4d68-a775-1753f5a62a27,6f8ca6fb-3642-4a8c-930a-8e5014d53be4,2024-01-04,credit,"REV/Narula, Basak and Chatterjee",8991.22,R7529568,
67855048-0f54-4320-af7c-bed12f55fb0f,bedff3b7-51cd-4ea2-a16d-82257123ea55,2026-04-07,debit,REV/SELECTION ELECTRONICS,-440852.41,U2696322,
e6378e16-b84c-46c2-b5f4-ce259ca032e9,fa45e08c-ff79-4f4b-8be1-f89c44b35eda,2024-01-30,debit,UTIL/Bava-Master,-2810566.33,R5026333,
999f90a0-1eb3-429e-8f23-874a821d8098,a6d476e5-bb77-4acf-afc3-7b5eb301930b,2024-12-11,credit,NEFT/ICICI MUTUAL FUND,9191.05,T6870298,668628553961
5a6cf564-dc24-4641-9619-61fdbbafe837,440efebd-9f25-439e-be93-409788161fc4,2025-08-29,debit,ATM/Sami PLC,-15594.64,U8120266,347926063455
3835e0d3-9064-49df-80bb-57a29295b50e,c9ae69c7-7998-488e-90e9-a5b8cb8f421f,2025-12-31,debit,FT/Barad Inc,-48604.55,S7114680,163860249344
3f6d35ab-5b61-4aae-b97c-98cef04f3dc3,592e3f31-3782-4a33-90ca-f9c048176401,2024-11-08,debit,FT/MIRAE ASSET,-252288.59,U3256439,716978477115
dc00603b-d937-49ba-a38c-524d2faa22aa,cbbdfe42-6c7a-44d9-b5e9-ed6cc7cb5efe,2025-09-10,debit,UPI/QUANT MUTUAL FUND,-329212.01,S5557637,470932839560
f60ed209-b59b-4ad7-ac50-8cda0eee8afa,804be45d-bb1e-45e1-8afd-57b00d3a9256,2024-01-12,debit,ATM/TATA POWER,-498536.14,N3674376,
b5ca349c-0e9e-4dee-bb92-ec3787037a98,930a0423-9d44-434b-9537-d71b891b6118,2024-02-22,credit,EMI/IFFCO TOKIO,516.43,S2677845,
bc23dd8a-5cee-4b37-ab88-57b60ba8d963,38969333-44b7-49a0-aa79-1b1f10fb40cf,2024-03-29,credit,"INT/Ramachandran, Cheema and Bera",390695.2,R7652371,811435498771
ba4474a0-a0d5-4fdf-838d-485fd95c4b47,a1e3aab3-cf93-4173-b153-6f8d0331ce39,2024-09-18,debit,CHQ/BIGBASKET,-410567.99,I5099736,504780467579
e17b2321-e487-4a51-9182-f813f89f6af4,c1a4ca35-2f8a-4884-a706-e9b93381be05,2025-01-16,debit,UPI/GOOGLE PAY,-49300.08,N2312602,
1a01246f-5354-4a6a-9063-b76939b4cfc7,aa1ed953-8576-45c2-a953-c6a7606754a7,2026-01-03,debit,DEP/Varghese and Sons,-24825.46,R4452385,505383866422
3c61a280-ae2a-42ee-9f37-fdbfc1c78cc2,9abba1d2-2a03-4da6-a91d-9d323065ae1e,2024-06-04,credit,REF/MIRAE ASSET,428038.21,N8706508,825492954820
26fc034f-2ca5-465a-a247-9a94d34dc685,2f3993ce-6cd5-4af3-97d9-42ba87d3596e,2024-10-19,debit,CHQ/MAHINDRA MANULIFE,-91359.35,S2372298,
b50b7683-4dc9-4236-a8c4-a2fe852b876c,326d5f47-ad5d-4c6c-970e-7c1d33aed860,2025-05-26,credit,WDL/TNEB,29940.92,R3591843,949309648064
343ad3e6-cfe6-4394-ae37-4bf5266691a8,303847c6-fb94-4ca5-80ae-f315f0d0967b,2026-03-08,credit,RET/FRANKLIN TEMPLETON,240194.27,N7070949,338542671726
1635eaa2-6a17-475f-b4ff-697298438380,3a8d9540-7282-46f8-9831-c419070790ca,2025-10-03,debit,"IMPS/Chander, Madan and Sandal",-6184.25,U6870533,312233378685
fe70a0ec-76d7-45db-92cb-8692fcda8385,a2e28181-6b6c-49fb-80f0-0258a64558be,2026-09-02,credit,"DEP/Jani, Varghese and Bhatti",7790.42,U9228894,327546002853
2ea2e173-424d-4e70-8abc-778583ad2b15,52dd105a-f828-4d55-9ad6-f88518b3d189,2024-11-03,debit,UTIL/KOTAK MUTUAL FUND,-39028.56,S1719755,
50f08226-8a5f-4974-8b62-e9594e2441c0,7f758804-877a-496d-9521-2f2a5155ee7b,2024-05-15,credit,CHG/Karpe Group,479836.81,N5812335,473615128409
a4f19204-ae05-4cba-b1e1-c5d4a6137f28,5e17430d-37ab-44c0-9947-0cf54f3be19f,2026-03-04,debit,"RET/Mutti, Naidu and Vala",-19878.03,T6414415,
88beae2c-6f37-4511-a8ff-8e669a782700,5d3ea48a-2ba9-4b79-aff9-f1e6c3184c99,2025-05-21,debit,UPI/ETMONEY MUTUAL FUND,-20090.0,I5363035,270769140967
5e0d37ab-01aa-40e3-aa02-d74c1f42e8f0,56b6ed02-71fd-41c8-9e20-e7a8494c75ee,2024-01-18,debit,CHG/Bansal-Ghosh,-7271.02,N5023528,171803795308
7f9c9f99-851d-4f61-924c-27f91c5f77a9,08f110eb-d73a-44bf-b41d-5b8ce212d956,2025-07-03,debit,EMI/NAVI MUTUAL FUND,-49398.72,I6226564,
01ec076d-8a25-4b19-a9ec-2e6810268405,1453b29e-e6ca-41cd-929c-11c0c4d40949,2024-03-20,credit,FT/Lad Ltd,365541.36,U3941647,500340642155
6aa904b4-a78d-4618-90a2-57baea4165b0,d03d9807-93d5-4689-8433-c24ffdd404d5,2026-04-26,debit,POS/HDFC BANK CREDIT CARD,-55351.34,U3184582,654912528907
1d80afe0-3fcc-42c1-865c-a81b217c56c7,686d3e51-bafe-43a9-b367-a7c5fc455bfa,2024-06-15,credit,TFR/MORE SUPERMARKET,47503.18,I8923099,751304199766
4f43b8b2-d470-4507-95a8-8f96d53fba54,3663b91c-47e6-44bb-bf7d-129c72d16bce,2024-07-05,debit,REV/TATA AIA,-49393.83,N5281474,951711042526
2d7c5439-e94a-445e-9b87-3af7491145d1,132b27a9-a5eb-4501-adeb-cecc76a9f5ae,2025-03-22,debit,IMPS/PHONEPE WEALTH,-1800.98,U1508807,
3da77408-11c4-4b5f-8aa8-6b87892e7b5b,6dab9d8b-9604-4961-b487-d6d0c39ed282,2025-10-22,credit,DEP/BSES RAJDHANI,11856.07,,
6041ce69-1c10-4433-a4cb-88ff6bf0ec69,68868939-a28c-4d11-8000-dbfc7c4f57cd,2025-05-16,debit,IMPS/OLA CABS,-180591.78,N3116415,662012534384
484fe247-a112-4ce6-bdf9-a10e78c44348,79b1e5ea-2fbe-4fec-8a32-3a4a53e6d123,2026-08-19,debit,IMPS/HDFC ERGO,-12481.48,T6012721,622554952653
2592b057-3506-47bb-97c3-0b3169d27590,aac4c38f-d29e-4e7e-af14-fca5d82beb5f,2025-05-20,debit,TFR/ETMONEY MUTUAL FUND,-447987.08,I9343685,
198a52eb-02ff-49fd-a2fc-8798abb3774f,6a35b927-9928-4a96-8a9a-15dda3f38f5d,2025-10-31,debit,POS/L&T MUTUAL FUND,-3476.82,U9613291,953634760151
3f6f07b2-74a1-4f3f-8e7f-bb32201969b0,b71f75f2-c8a8-4d73-96fa-41063cc8a658,2025-07-25,debit,REV/BSNL,-32936.04,,626143952214
ad9d0b79-cdc0-4645-b909-5d736e1e1dd0,d984e6da-11d6-4d74-a236-7f669f92c64d,2024-10-15,credit,ATM/KOTAK MUTUAL FUND,24046.75,N3433185,
03a2cd7c-c74a-4dbf-ba4d-a3fa1fc1ddd8,80d4455f-a4ef-413c-b2a5-f1a95acec130,2024-07-19,debit,RTGS/RELIANCE FRESH,-390035.39,T6071079,790372289195
13576e6b-1609-4a56-94f7-77cdb93e96ed,c822b274-6f2b-4dfd-8832-59afc4cf8df8,2025-01-21,debit,"RTGS/Verma, Jayaraman and Vora",-40519.49,S6028477,432875591121
da549ad5-9daa-4fdc-ac15-388887e74d55,a4a56aba-2ea7-4939-bb69-e47d40250ad7,2025-09-06,debit,UPI/ADITYA BIRLA SUN LIFE,-31817.41,U4983655,
7878b31b-4a45-4a50-a6ee-0a10aab5a0f6,a78dc517-d987-41f8-98a9-6d8bbfc362ed,2026-04-30,debit,EMI/FLIPKART,-3650.22,S2069277,564247097541
3c202781-194f-496a-9969-af0e831f7e65,ec4321d8-e53d-43e9-9b31-2d616d4aefda,2024-09-13,debit,WDL/SELECTRICITY TWO PRIVATE LIMIT,-11303.91,I1347473,388915468073
98c15a1e-8fd9-43ea-8f0e-ab018370fc94,76ae85c4-9367-4b45-bea4-7c2a58ef2aa2,2025-09-04,credit,POS/GOOGLE PAY,313036.09,I7653785,385851027061
1005ff79-1894-459d-b638-327fdea062b9,686a24a8-24ba-41f5-8666-7b577805adfc,2024-03-11,credit,NEFT/SPENCER'S RETAIL,30857.1,U7376851,143056034765
16104efa-cf1a-46f4-87c1-3ef5a6495f15,b51f9dde-32e2-432d-beeb-e62cfa9dca51,2025-04-09,credit,SAL/BAJAJ FINANCE LTD,24255.75,S9130102,
9c506fe9-70fa-43a8-8c11-0ddf7615b1f9,9ce6efe3-df1e-44cd-bb82-a580825fef09,2025-11-30,debit,"CHQ/Mand, Taneja and Dyal",-32983.87,I3827612,
e8dd011b-d4e9-4065-8260-80586ce24dad,ef81389e-e2c8-48f5-82e5-d91a977e838b,2025-04-22,debit,WDL/Sarma-Sura,-479689.14,U5529298,
502b8502-4644-4ea6-84aa-46ed7cc00e26,96abed0c-1551-411b-a83f-f6427cf7ac84,2025-07-05,debit,REF/Raj-Bala,-39891.61,T8792005,495278091558
5133d132-e3c9-4288-a4f7-9b64033bb502,cce9b8e1-50cf-48cb-8679-13fc9046710d,2025-08-23,debit,ATM/YATRA,-20265.14,R4964266,359395721419
ae7110c8-fe13-4b48-abe4-ee569a7f7f34,175029cf-c95c-4914-93db-0bc761c248a7,2024-03-02,credit,WDL/CASHFREE,388042.36,N4774404,284109719448
6275c4bd-39ae-4ce1-a8f1-4c6e8691416c,958b6e9f-bc07-4fd6-8816-f987ff3592b9,2024-01-11,debit,SAL/SBI LIFE,-4360.01,T9864899,
8c1642db-0314-4f07-afdf-6b4212bf5ad9,b5258d18-1279-48c6-b1c2-a69dd1c23a80,2026-01-29,credit,RET/MORE SUPERMARKET,45652.43,R6695349,570999887139
03b17240-ab4a-430a-bab2-f37fdbdb77d2,1fa3fa72-ccf2-4954-b861-55b98a6f7aa3,2024-04-07,credit,CHG/UNITED INDIA INSURANCE,37608.79,N2161120,181729562381
848c6745-5356-4d9c-8c5c-966c02a56140,dd755a32-ff24-4b6a-b6bb-cc307d14a2a6,2026-04-12,credit,SAL/TATA POWER,285591.77,I7006647,456097085013
bfe2ab35-3e59-4484-aafc-d72415cf4a21,f497c5bc-81d0-4b5e-a8f3-6b4666f0b010,2026-05-30,debit,NEFT/CLEARTRIP,-25460.57,,787096802285
98caa562-76ae-4d84-82aa-28ad87b9d21e,f4ca551c-2b6e-46d5-a5d5-860c2621dc54,2025-01-16,credit,REF/SWIGGY,211316.98,T5476935,801383358989
6e851c44-c319-4b03-bf4c-f7d597937e03,8d924d79-9f45-4f08-98e3-51dbdf50de0e,2024-03-10,debit,UPI/Bail PLC,-40097.47,U7168487,
c7895a97-2099-4f87-8619-0fd65b1edbbf,a6d06594-2aec-4dbb-8d25-a980a46a40b3,2025-02-13,debit,"UPI/Rajagopalan, Rai and Chand",-38393.34,N4708418,
1f4e8d14-4005-479b-81ed-87e6829d4712,f120a23c-605b-4ca5-a412-752ee027bdb1,2026-01-18,debit,REF/SUNDARAM MUTUAL FUND,-14938.2,S8526736,569390464125
0c25726a-8535-4582-ac88-06eae07e8d4d,2c862ce5-68d9-4509-9aa0-73df033bad89,2026-08-14,debit,WDL/BAJAJ FINANCE LTD,-11608.3,S3594702,874247562634
b197ceb1-4578-42b3-b354-1e9d8d6601aa,375588c7-60e6-40a8-a001-4510972b4564,2026-05-28,debit,EMI/RELIANCE DIGITAL RETAIL LTD,-12908.32,S2428047,420473178973
22ee2d3c-2157-4799-aa30-a904a0a42755,634d7975-7b13-481f-9fd7-cd455927d24f,2025-01-06,credit,UTIL/SBI LIFE,19735.42,I2399107,781964639033
b6d7bfeb-e1f4-4fb8-a3ab-f4d9dcf70b09,142318ca-d10b-4409-83f2-2a78ea0d5506,2024-12-07,debit,DEP/JIO INFCOMM,-4520.45,R2216123,757866021497
4a2ab257-66ba-4dfb-84b7-744ab5a5c731,0c02f699-43ee-426a-9df8-adb323408838,2025-08-20,debit,SAL/ICICI BANK CREDIT CARD,-12500.24,T9000231,195074998274
de7c70aa-3275-47ab-ab05-f884550d3402,0624e339-4696-4ba8-a8f8-fcc78f016d55,2025-09-22,debit,"REF/Ranganathan, Shetty and Mannan",-5808.8,U5346738,558200069867
fe38ad6a-d481-42f7-aa92-2fc27fa7cf73,3eeb1c92-ab1f-4d9d-ad7a-ba11a1f59e2c,2024-05-24,credit,NEFT/IRCTC,43894.6,I2512796,966761545471
fb517591-221f-444f-9b66-59053183a28c,804b8693-59a8-4c4e-abba-42b156ed0106,2025-12-01,debit,RTGS/SBI MUTUAL FUND,-13632.11,T3672962,974659688947
3a347189-ab9a-43ba-b015-f4485e9defac,f31abfef-b14f-42ea-b2d8-cc6c1c18678a,2024-12-05,debit,RTGS/BARODA BNP PARIBAS,-20830.68,T9536511,934005472908
758a476b-e406-4694-9fbb-5e409bde2e95,c17d39c2-d3f1-4ed7-b5d2-b7c3871e3784,2025-01-02,debit,EMI/UTI MUTUAL FUND,-1465.09,N8578387,297499923534
6a6f2216-fe68-4935-bd67-6c495c59cf25,7a12b21b-6f6b-42d5-ab89-487476e6d238,2026-04-08,debit,RET/BPCL,-45447.44,T4480859,
a17cd8e8-70cf-4c0e-9d0b-4ec2b2c935b3,51c53365-5876-47d7-a47d-49d82e4ce57a,2024-04-23,debit,CHQ/PAYU,-31931.83,R6651986,
c3d0c28a-c793-4b77-9901-f0da08a4608e,9db63a5a-4648-4f55-acd1-56a7daa72bb8,2024-12-26,credit,"EMI/Ray, Gulati and Mukhopadhyay",57607.31,N3413034,860602063199
b80db192-6ea1-4808-99c0-308d18bd8313,142318ca-d10b-4409-83f2-2a78ea0d5506,2024-10-25,debit,"ATM/Sama, Batra and Dhar",-151076.33,T4851548,698668499764
0cec9ea9-9b63-4e83-9479-e93a278b3220,3f3ba940-4192-4fa8-b520-77771a85c4b4,2024-09-13,credit,UPI/L&T MUTUAL FUND,115.12,S6367246,
e2f04dff-73b2-4983-b3af-717be17f241b,f7e1950e-6c5b-478a-8dc1-21339e3d273a,2024-04-04,debit,UTIL/BAJAJ ALLIANZ,-15046.0,S6009633,710795415658
0d3bbfb3-80e6-425a-9f21-b894bad4c050,abcf6584-5d42-41ee-8c69-3f248c249c7c,2025-07-22,debit,ATM/MIRAE ASSET,-426067.14,,
4bed391c-6b8d-4a3c-a34c-fff4b16b1b68,9a469173-d71e-4b66-add8-2dd31b3efb83,2024-06-01,debit,RET/IRCTC,-24185.49,T8405268,660730942474
03858a9b-7a79-4e6f-bde5-ad559c713016,6d96833a-fc74-40e4-8098-dd344b23843d,2026-07-18,debit,WDL/HDFC BANK CREDIT CARD,-48930.51,I3576100,403586488124
40f88593-7e33-4968-a6c7-93a9b6fcfa9d,9c1970ad-f71a-4c94-8390-5f2c9242a3a4,2025-09-14,debit,DEP/BHARAT GAS,-23649.24,R1469943,
0c19ed34-873f-4f37-831f-5d68d2c3cec1,54799c32-a6a8-40e3-ad19-bfffe0c2fc98,2024-01-11,credit,INT/GROWW MUTUAL FUND,264468.95,S5999411,196581202495
68663161-6df1-4c02-9017-97e514348646,73d062f7-16bc-4397-a2b3-5fb01031618b,2026-07-07,credit,UPI/INSTAMOJO,19683.87,T9412670,484134949825
71842f8b-c908-4c3a-aca6-510751dbc1aa,0f4f87bd-d40f-4a90-b401-8ee33f92d698,2025-12-29,credit,UPI/Jha Inc,4796.02,I3857397,885646630208
319fbab9-0047-480c-b018-9697bd8b033c,e4f688a9-d2f4-40e7-89cb-acd453be53f0,2025-02-27,debit,FT/KOTAK MAHINDRA BANK CARD,-257996.0,U3673439,582899288674
a84c942a-127e-48ca-9013-7e5e2fd54016,9a469173-d71e-4b66-add8-2dd31b3efb83,2025-06-19,debit,IMPS/Ben Ltd,-10726.51,S2829700,810877788844
1bd36d3a-732c-4102-8ef9-0f35c4c5e337,63e787fe-d183-4718-af91-b698717858e9,2025-01-22,debit,LOAN/INSTAMOJO,-239575.92,N8564800,
84949f66-7c9a-4d1a-ba13-d5a3fa8e4630,911a3462-0ddd-4f83-a16d-4efa660ceff9,2025-05-03,debit,NEFT/RELIANCE GENERAL,-5520.12,N3155692,611462106343
b293688c-7f45-45a8-9fde-815bf86de143,d378190e-0240-49fd-9077-f94ab4dc3dcb,2024-06-25,debit,SAL/NIPPON INDIA MUTUAL FUND,-28511.23,U1355608,
669475e1-4657-44a3-b1ca-7752e72b6818,ad20011c-44d6-4323-a002-c44eb095f4c2,2024-01-05,debit,FT/RELIANCE FRESH,-47126.21,N7476834,
a80e2e7f-c234-40b8-9503-a342797eb284,3bd38ef6-074f-4e0a-8e19-ff51af9bfaa7,2025-10-31,credit,CHG/BAJAJ ALLIANZ,15895.51,I1946888,705379390621
371ea90d-18d8-4ba3-97e5-a3b6cd16f0e5,2930b5b6-2083-49f5-b3ec-c1c25f2239aa,2024-12-15,credit,FT/PHONEPE,468249.81,S5610087,629460460412
2322b12e-d084-4b10-adf6-60e3fc7e8c83,1b27735c-a7ce-41e3-803d-5acf3e7701f6,2024-06-23,credit,RET/ROYAL SUNDARAM,33123.33,T4838379,414734483007
cc7664ab-301b-4866-8943-0520ac882ad8,cac94e09-5c3b-4385-a88b-c666d6be0ce5,2024-11-03,debit,EMI/MSEB,-30748.38,T9467432,150023182757
ea28a303-889d-44b7-97a6-92d430a2787f,a3a97df7-154e-42a0-9eeb-c3b8eb98bf59,2026-01-21,debit,REV/RELIANCE FRESH,-15271.29,I9718921,855833185920
dbd4c8cb-5ed7-46b3-a039-d5250accb3fd,68cc4476-569c-4b97-9998-17c156746d50,2025-05-28,credit,WDL/SAMCO MUTUAL FUND,32055.17,U1944578,210570162569
d40b3bc4-afbd-462d-a40e-de4224f93c3f,fe2415b4-6fba-4d39-a560-ddb4b4fa7761,2026-06-14,debit,RET/TATA AIA,-17233.54,S5402176,214528842923
43d4937e-c904-4a6c-b7d2-de8963b36f1a,f232af76-40db-4c08-8439-70f6ea152b13,2024-05-25,debit,SAL/INDANE GAS,-36374.69,T2686340,940832543418
dbdd01ad-1085-4c44-8708-2c4636654d55,edd47b31-0547-4169-9e7f-57cb6356ca0e,2024-11-24,credit,WDL/BIGBASKET,47270.89,U7956892,269723520622
125f1be8-c956-4454-b48f-4e5cd1dc2128,e0c373a1-0e02-4b68-9a39-c41977fdae01,2026-06-08,debit,FT/GROWW MUTUAL FUND,-207435.12,I2056630,
2ccff885-bd95-46cd-9362-45800e817d40,f1feef82-7436-47b7-adc1-776f9a9cb74b,2024-03-24,debit,REF/ADITYA BIRLA SUN LIFE,-1608.41,R7072070,845202088742
f8883667-2e35-46b5-912a-5b714eec86cf,2930b5b6-2083-49f5-b3ec-c1c25f2239aa,2026-03-01,debit,UPI/HPCL,-1881.41,,489634986646
3a87df31-318e-4461-8d47-36cef0ab5f86,2440573f-8fed-449b-aeb7-8ff0ec743453,2025-05-18,credit,NEFT/CRED,75468.91,S1157127,672650679171
093e4dda-5f88-48da-86b3-8c5759e59713,cd9f6019-b20e-4f4b-aa5a-7a6caf0d9d2b,2024-11-11,credit,RET/YATRA,464676.49,I3302205,174578938517
5a961167-8d85-41f8-9f32-1352374d8650,ae081bb5-b6e2-4737-92f9-daa32a815bcd,2024-06-10,debit,SAL/ICICI LOMBARD,-489689.38,N1323681,817118500221
4fe3cf7a-c81b-4add-85a7-8c631e5fcade,d4c13d70-1ede-4364-aaf9-6a30d76edb56,2026-04-23,debit,CHQ/TATA MUTUAL FUND,-45015.02,S6130480,595889480767
64b9a9d4-8c6f-4015-b63c-e8ce8f99c383,7067d1d6-b41d-4057-a32d-36f6e53cdfe2,2026-07-27,credit,REV/BAJAJ ALLIANZ,41277.8,R5470519,147828195435
e380e59c-9c13-4c6c-926e-f487ca4a0f34,c92b06f2-beb9-4d0c-872e-a4b5678e07e9,2026-04-27,credit,CHQ/IXIGO,9421.33,R1447930,277567599752
813b2f36-b4b2-4de0-a5f0-7252da6f286d,0ebc1720-d184-4319-be28-0a9dd375f3bd,2025-05-24,debit,LOAN/PETROL PUMP,-30256.88,S8404203,
818c2dd3-4bd6-4a05-b2d0-586a1bb85dfd,ebc66459-ea0b-4792-8fa0-be130dce667f,2024-03-05,debit,CHG/Chander Inc,-3564.86,S5374614,
19da721a-9f9d-4f9c-bab7-b57c3d15cc01,ae081bb5-b6e2-4737-92f9-daa32a815bcd,2025-11-07,debit,LOAN/GOIBIBO,-267164.6,S4296472,
cb25e862-57ec-4f8c-af0e-a0fbd3ccefa2,5f964442-db4a-4158-975d-8255e708c52f,2026-06-20,credit,SAL/TNEB,45054.84,N6652031,905388367348
c419fee8-1308-4a3e-a809-c60024f13c1a,4f01cdef-441a-4ade-b157-d6eefa631a6d,2024-11-12,debit,WDL/IXIGO,-305223.11,T2498591,
60ee37c2-b98c-42aa-b828-5c4d7e90305e,52ae27e2-bcff-4e49-9655-e8fe77fc1aa7,2024-02-15,credit,UTIL/OLA CABS,49948.31,U6439439,466885078015
20e711da-031b-4ba6-a5a1-66bb4d64e571,04901130-4201-4370-b488-ed671c1f669c,2025-12-21,debit,REF/Das-Contractor,-25555.75,R5188605,
0e4b7f5d-de33-471b-b220-f6c3393b5694,f120a23c-605b-4ca5-a412-752ee027bdb1,2025-03-24,debit,FT/BSES RAJDHANI,-37799.44,U8670107,713479284431
b7d63a0b-e0ea-47d8-8f75-47e12b297f4e,1e335d27-d597-4e85-b697-6a72ea7bd5c9,2025-06-09,debit,NEFT/CRED,-36604.63,I2258959,834750232683
5e4cbbf4-6917-406f-abef-3b29fbc88f9f,271b3afd-ded8-4d9e-8064-50d10445fdfc,2026-05-01,debit,CHQ/CHOLAMANDALAM MS,-32249.75,U1123658,769615311173
710fed3e-9a5a-4bff-9566-de572e48e7e9,3bf2e67b-2cc3-4059-87b2-e59c74511e31,2024-01-19,debit,ATM/GROWW MUTUAL FUND,-48841.94,N1477911,
5fa8b480-dc7f-4df7-9c7e-c32a0736036e,14d4cf27-e481-45c3-90cd-13803d10fa4f,2025-12-04,credit,"UTIL/Misra, Murthy and Venkataraman",233482.61,N4687539,469296310335
ab322659-cf41-49c6-98f0-7a447164ae10,ae11f2d4-af8f-4884-9238-e24ddf24881e,2025-03-26,debit,TFR/PAYTM,-132329.76,I5681729,178274553065
7aad1766-7575-466f-9d83-daa62a5321e8,3c3433e0-fcab-4b74-b88b-57b783df5963,2026-06-17,debit,CHG/ETMONEY MUTUAL FUND,-23335.18,U8883403,
bb704654-f407-4413-82b5-77073b740a7e,0ebc1720-d184-4319-be28-0a9dd375f3bd,2026-07-13,debit,UTIL/Kulkarni PLC,-11492.31,S7853856,963172368444
ab45ac3b-8dce-4bca-a52d-62f878747508,3012a36d-d2f9-4e6e-ac31-944a65df300b,2025-10-29,credit,TFR/CRED,382370.01,N3536968,533723414501
6ca0d22a-c78d-4604-80cd-be744612b71e,6b08e044-cb85-4a75-9428-3f050c8a81f7,2025-02-22,debit,IMPS/UBER INDIA,-27568.32,T6002735,351072901299
59520907-a548-4962-a6db-0c7f12ad2b00,6eb7f5bb-a092-4d0b-8ea6-0fe97fa8fb5f,2025-11-04,debit,NEFT/ICICI BANK CREDIT CARD,-41913.1,N1133241,168636943620
