reconciliation_id,transaction_id,status,reconciled_date
REC000112,TXN000112,reconciled,2026-04-23
REC000113,TXN000113,reconciled,2026-01-21
REC000114,TXN000114,reconciled,2026-07-11
REC000115,TXN000115,reconciled,2025-12-09
REC000116,TXN000116,reconciled,2025-10-04
REC000117,TXN000117,reconciled,2025-09-30
REC000118,TXN000118,reconciled,2025-11-24
REC000119,TXN000119,reconciled,2025-12-06
REC000120,TXN000120,reconciled,2025-08-22
REC000121,TXN000121,reconciled,2026-01-23
REC000122,TXN000122,reconciled,2026-06-29
REC000123,TXN000123,reconciled,2026-03-04
REC000124,TXN000124,reconciled,2026-01-13
REC000125,TXN000125,reconciled,2026-08-30
REC000126,TXN000126,reconciled,2025-09-16
REC000127,TXN000127,reconciled,2026-06-11
REC000128,TXN000128,reconciled,2026-07-03
REC000129,TXN000129,reconciled,2026-06-28
REC000130,TXN000130,reconciled,2026-01-26
REC000131,TXN000131,unreconciled,
REC000132,TXN000132,reconciled,2025-10-20
REC000133,TXN000133,unreconciled,
REC000134,TXN000134,reconciled,2026-01-21
REC000135,TXN000135,reconciled,2025-12-28
REC000136,TXN000136,unreconciled,
REC000137,TXN000137,pending,
REC000138,TXN000138,unreconciled,
REC000139,TXN000139,reconciled,2025-08-20
REC000140,TXN000140,reconciled,2025-12-30
REC000141,TXN000141,reconciled,2026-04-14
REC000142,TXN000142,reconciled,2025-12-20
REC000143,TXN000143,pending,
REC000144,TXN000144,reconciled,2026-02-10
REC000145,TXN000145,reconciled,2026-02-03
REC000146,TXN000146,reconciled,2026-04-08
REC000147,TXN000147,unreconciled,
REC000148,TXN000148,reconciled,2026-02-22
REC000149,TXN000149,reconciled,2026-01-27
REC000150,TXN000150,reconciled,2025-08-25
REC000151,TXN000151,unreconciled,
REC000152,TXN000152,pending,
REC000153,TXN000153,reconciled,2025-09-10
REC000154,TXN000154,reconciled,2026-04-20
REC000155,TXN000155,unreconciled,
REC000156,TXN000156,reconciled,2026-08-02
REC000157,TXN000157,reconciled,2025-08-17
REC000158,TXN000158,reconciled,2026-02-05
REC000159,TXN000159,pending,
REC000160,TXN000160,reconciled,2026-05-03
REC000161,TXN000161,reconciled,2025-12-24
REC000162,TXN000162,pending,
REC000163,TXN000163,reconciled,2026-05-30
REC000164,TXN000164,reconciled,2025-08-31
REC000165,TXN000165,unreconciled,
REC000166,TXN000166,reconciled,2025-10-14
REC000167,TXN000167,pending,
REC000168,TXN000168,reconciled,2026-01-17
REC000169,TXN000169,reconciled,2025-11-28
REC000170,TXN000170,unreconciled,
REC000171,TXN000171,reconciled,2025-10-17
REC000172,TXN000172,reconciled,2025-09-07
REC000173,TXN000173,reconciled,2025-12-19
REC000174,TXN000174,reconciled,2026-07-30
REC000175,TXN000175,unreconciled,
REC000176,TXN000176,reconciled,2025-12-14
REC000177,TXN000177,reconciled,2026-03-06
REC000178,TXN000178,reconciled,2026-05-17
REC000179,TXN000179,reconciled,2026-05-26
REC000180,TXN000180,reconciled,2025-10-30
REC000181,TXN000181,reconciled,2026-08-21
REC000182,TXN000182,pending,
REC000183,TXN000183,unreconciled,
REC000184,TXN000184,pending,
REC000185,TXN000185,pending,
REC000186,TXN000186,reconciled,2025-11-08
REC000187,TXN000187,reconciled,2026-01-04
REC000188,TXN000188,reconciled,2025-12-25
REC000189,TXN000189,unreconciled,
REC000190,TXN000190,pending,
REC000191,TXN000191,reconciled,2026-07-24
REC000192,TXN000192,reconciled,2025-09-28
REC000193,TXN000193,unreconciled,
REC000194,TXN000194,reconciled,2026-03-22
REC000195,TXN000195,reconciled,2025-08-05
REC000196,TXN000196,pending,
REC000197,TXN000197,pending,
REC000198,TXN000198,reconciled,2025-10-09
REC000199,TXN000199,unreconciled,
REC000200,TXN000200,unreconciled,
REC000201,TXN000201,reconciled,2026-02-23
REC000202,TXN000202,reconciled,2026-03-18
REC000203,TXN000203,unreconciled,
REC000204,TXN000204,reconciled,2025-10-26
REC000205,TXN000205,reconciled,2025-10-25
REC000206,TXN000206,reconciled,2025-09-17
REC000207,TXN000207,unreconciled,
REC000208,TXN000208,reconciled,2026-08-08
REC000209,TXN000209,reconciled,2026-04-05
REC000210,TXN000210,reconciled,2025-09-13
REC000211,TXN000211,unreconciled,
REC000212,TXN000212,reconciled,2026-03-02
REC000213,TXN000213,reconciled,2025-08-23
REC000214,TXN000214,reconciled,2025-08-26
REC000215,TXN000215,reconciled,2025-11-06
REC000216,TXN000216,reconciled,2025-09-27
REC000217,TXN000217,reconciled,2026-02-24
REC000218,TXN000218,reconciled,2025-08-25
REC000219,TXN000219,reconciled,2026-06-15
REC000220,TXN000220,pending,
REC000221,TXN000221,reconciled,2026-02-04
REC000222,TXN000222,pending,
REC000223,TXN000223,reconciled,2025-12-18
REC000224,TXN000224,reconciled,2026-03-01
REC000225,TXN000225,reconciled,2025-11-09
REC000226,TXN000226,reconciled,2026-04-05
REC000227,TXN000227,reconciled,2026-01-23
REC000228,TXN000228,reconciled,2026-05-30
REC000229,TXN000229,reconciled,2026-03-28
REC000230,TXN000230,reconciled,2026-04-10
REC000231,TXN000231,reconciled,2026-07-07
REC000232,TXN000232,pending,
REC000233,TXN000233,reconciled,2026-07-14
REC000234,TXN000234,reconciled,2026-03-17
REC000235,TXN000235,pending,
REC000236,TXN000236,unreconciled,
REC000237,TXN000237,reconciled,2026-04-02
REC000238,TXN000238,reconciled,2026-07-13
REC000239,TXN000239,reconciled,2026-02-18
REC000240,TXN000240,unreconciled,
REC000241,TXN000241,reconciled,2026-05-27
REC000242,TXN000242,reconciled,2026-06-23
REC000243,TXN000243,reconciled,2026-05-06
REC000244,TXN000244,reconciled,2025-12-07
REC000245,TXN000245,reconciled,2026-04-12
REC000246,TXN000246,reconciled,2025-12-09
REC000247,TXN000247,unreconciled,
REC000248,TXN000248,pending,
REC000249,TXN000249,unreconciled,
REC000250,TXN000250,reconciled,2026-05-17
REC000251,TXN000251,pending,
REC000252,TXN000252,reconciled,2025-10-20
REC000253,TXN000253,unreconciled,
REC000254,TXN000254,unreconciled,
REC000255,TXN000255,reconciled,2026-08-09
REC000256,TXN000256,reconciled,2026-05-30
REC000257,TXN000257,reconciled,2026-03-11
REC000258,TXN000258,reconciled,2025-12-21
REC000259,TXN000259,reconciled,2026-07-28
REC000260,TXN000260,unreconciled,
REC000261,TXN000261,reconciled,2026-08-30
REC000262,TXN000262,unreconciled,
REC000263,TXN000263,reconciled,2025-10-19
REC000264,TXN000264,reconciled,2026-06-14
REC000265,TXN000265,reconciled,2025-12-13
REC000266,TXN000266,reconciled,2025-10-10
REC000267,TXN000267,reconciled,2026-07-08
REC000268,TXN000268,unreconciled,
REC000269,TXN000269,reconciled,2026-06-20
REC000270,TXN000270,unreconciled,
REC000271,TXN000271,reconciled,2025-10-03
REC000272,TXN000272,reconciled,2026-05-08
REC000273,TXN000273,reconciled,2025-10-05
REC000274,TXN000274,reconciled,2025-08-30
REC000275,TXN000275,reconciled,2025-11-07
REC000276,TXN000276,reconciled,2026-01-11
REC000277,TXN000277,unreconciled,
REC000278,TXN000278,reconciled,2026-05-08
REC000279,TXN000279,reconciled,2025-08-15
REC000280,TXN000280,pending,
REC000281,TXN000281,reconciled,2026-02-10
REC000282,TXN000282,reconciled,2025-09-12
REC000283,TXN000283,reconciled,2026-05-27
REC000284,TXN000284,reconciled,2026-09-19
REC000285,TXN000285,reconciled,2025-12-31
REC000286,TXN000286,reconciled,2026-05-16
REC000287,TXN000287,reconciled,2025-09-12
REC000288,TXN000288,reconciled,2026-03-30
REC000289,TXN000289,reconciled,2026-01-04
REC000290,TXN000290,unreconciled,
REC000291,TXN000291,reconciled,2026-02-06
REC000292,TXN000292,reconciled,2026-03-04
REC000293,TXN000293,reconciled,2026-03-27
REC000294,TXN000294,pending,
REC000295,TXN000295,pending,
REC000296,TXN000296,reconciled,2025-11-09
REC000297,TXN000297,unreconciled,
REC000298,TXN000298,reconciled,2026-05-28
REC000299,TXN000299,pending,
REC000300,TXN000300,reconciled,2025-11-24
REC000301,TXN000301,pending,
REC000302,TXN000302,reconciled,2025-09-29
REC000303,TXN000303,reconciled,2025-09-27
REC000304,TXN000304,reconciled,2025-11-15
REC000305,TXN000305,unreconciled,
REC000306,TXN000306,unreconciled,
REC000307,TXN000307,reconciled,2026-07-10
REC000308,TXN000308,reconciled,2026-01-01
REC000309,TXN000309,reconciled,2026-01-01
REC000310,TXN000310,reconciled,2025-10-12
REC000311,TXN000311,reconciled,2026-04-30
REC000312,TXN000312,pending,
REC000313,TXN000313,unreconciled,
REC000314,TXN000314,reconciled,2026-08-03
REC000315,TXN000315,reconciled,2026-03-11
REC000316,TXN000316,pending,
REC000317,TXN000317,reconciled,2026-06-05
REC000318,TXN000318,reconciled,2025-11-05
REC000319,TXN000319,unreconciled,
REC000320,TXN000320,reconciled,2025-12-15
REC000321,TXN000321,reconciled,2025-11-07
REC000322,TXN000322,reconciled,2025-10-22
REC000323,TXN000323,reconciled,2026-01-23
REC000324,TXN000324,reconciled,2026-03-20
REC000325,TXN000325,reconciled,2026-03-18
REC000326,TXN000326,reconciled,2026-09-08
REC000327,TXN000327,reconciled,2026-02-22
REC000328,TXN000328,reconciled,2025-08-14
REC000329,TXN000329,reconciled,2026-07-17
REC000330,TXN000330,reconciled,2026-01-06
REC000331,TXN000331,reconciled,2026-05-22
REC000332,TXN000332,reconciled,2026-02-27
REC000333,TXN000333,reconciled,2026-02-05
REC000334,TXN000334,reconciled,2025-09-08
REC000335,TXN000335,pending,
REC000336,TXN000336,unreconciled,
REC000337,TXN000337,reconciled,2026-04-24
REC000338,TXN000338,reconciled,2025-08-28
REC000339,TXN000339,reconciled,2026-01-29
REC000340,TXN000340,unreconciled,
REC000341,TXN000341,reconciled,2026-03-08
REC000342,TXN000342,reconciled,2025-12-11
REC000343,TXN000343,reconciled,2026-03-12
REC000344,TXN000344,unreconciled,
REC000345,TXN000345,reconciled,2026-06-30
REC000346,TXN000346,reconciled,2026-02-11
REC000347,TXN000347,reconciled,2025-12-13
REC000348,TXN000348,reconciled,2026-01-03
REC000349,TXN000349,pending,
REC000350,TXN000350,reconciled,2026-07-26
REC000351,TXN000351,unreconciled,
REC000352,TXN000352,pending,
REC000353,TXN000353,reconciled,2026-07-24
REC000354,TXN000354,reconciled,2026-05-29
REC000355,TXN000355,reconciled,2025-09-21
REC000356,TXN000356,reconciled,2025-12-03
REC000357,TXN000357,reconciled,2026-09-06
REC000358,TXN000358,pending,
REC000359,TXN000359,reconciled,2025-12-08
REC000360,TXN000360,reconciled,2025-11-03
REC000361,TXN000361,reconciled,2026-01-17
REC000362,TXN000362,pending,
REC000363,TXN000363,pending,
REC000364,TXN000364,unreconciled,
REC000365,TXN000365,pending,
REC000366,TXN000366,reconciled,2025-10-28
REC000367,TXN000367,pending,
REC000368,TXN000368,reconciled,2026-08-09
REC000369,TXN000369,unreconciled,
REC000370,TXN000370,unreconciled,
REC000371,TXN000371,reconciled,2026-03-22
REC000372,TXN000372,reconciled,2026-03-06
REC000373,TXN000373,pending,
REC000374,TXN000374,reconciled,2026-02-21
REC000375,TXN000375,reconciled,2025-11-04
REC000376,TXN000376,reconciled,2026-05-26
REC000377,TXN000377,pending,
REC000378,TXN000378,reconciled,2026-06-04
REC000379,TXN000379,reconciled,2025-11-05
REC000380,TXN000380,reconciled,2026-04-24
REC000381,TXN000381,reconciled,2026-09-03
REC000382,TXN000382,reconciled,2025-10-27
REC000383,TXN000383,reconciled,2026-03-21
REC000384,TXN000384,reconciled,2025-09-22
REC000385,TXN000385,unreconciled,
REC000386,TXN000386,unreconciled,
REC000387,TXN000387,unreconciled,
REC000388,TXN000388,unreconciled,
REC000389,TXN000389,reconciled,2026-08-30
REC000390,TXN000390,pending,
REC000391,TXN000391,reconciled,2026-01-30
REC000392,TXN000392,reconciled,2026-01-15
REC000393,TXN000393,reconciled,2026-01-22
REC000394,TXN000394,unreconciled,
REC000395,TXN000395,reconciled,2026-05-18
REC000396,TXN000396,reconciled,2026-05-30
REC000397,TXN000397,reconciled,2026-06-16
REC000398,TXN000398,reconciled,2026-04-13
REC000399,TXN000399,reconciled,2026-03-08
REC000400,TXN000400,unreconciled,
REC000401,TXN000401,reconciled,2026-05-26
REC000402,TXN000402,reconciled,2025-11-28
REC000403,TXN000403,reconciled,2026-04-06
REC000404,TXN000404,reconciled,2026-06-01
REC000405,TXN000405,reconciled,2026-07-13
REC000406,TXN000406,unreconciled,
REC000407,TXN000407,reconciled,2026-05-02
REC000408,TXN000408,reconciled,2025-10-15
REC000409,TXN000409,unreconciled,
REC000410,TXN000410,unreconciled,
REC000411,TXN000411,unreconciled,
REC000412,TXN000412,reconciled,2025-11-14
REC000413,TXN000413,pending,
REC000414,TXN000414,reconciled,2026-03-19
REC000415,TXN000415,reconciled,2026-04-04
REC000416,TXN000416,reconciled,2026-01-26
REC000417,TXN000417,reconciled,2026-06-17
REC000418,TXN000418,reconciled,2026-05-04
REC000419,TXN000419,pending,
REC000420,TXN000420,unreconciled,
REC000421,TXN000421,pending,
REC000422,TXN000422,reconciled,2026-01-05
REC000423,TXN000423,unreconciled,
REC000424,TXN000424,pending,
REC000425,TXN000425,unreconciled,
REC000426,TXN000426,unreconciled,
REC000427,TXN000427,unreconciled,
REC000428,TXN000428,reconciled,2026-04-13
REC000429,TXN000429,reconciled,2026-09-01
REC000430,TXN000430,reconciled,2026-07-19
REC000431,TXN000431,reconciled,2026-02-20
REC000432,TXN000432,unreconciled,
REC000433,TXN000433,unreconciled,
REC000434,TXN000434,reconciled,2026-02-28
REC000435,TXN000435,reconciled,2026-05-19
REC000436,TXN000436,reconciled,2025-12-24
REC000437,TXN000437,unreconciled,
REC000438,TXN000438,unreconciled,
REC000439,TXN000439,reconciled,2026-06-30
REC000440,TXN000440,reconciled,2025-12-23
REC000441,TXN000441,reconciled,2025-10-21
REC000442,TXN000442,unreconciled,
REC000443,TXN000443,pending,
REC000444,TXN000444,reconciled,2026-05-24
REC000445,TXN000445,reconciled,2026-09-04
REC000446,TXN000446,reconciled,2025-09-27
REC000447,TXN000447,reconciled,2026-05-21
REC000448,TXN000448,unreconciled,
REC000449,TXN000449,pending,
REC000450,TXN000450,reconciled,2026-07-12
REC000451,TXN000451,reconciled,2026-04-19
REC000452,TXN000452,unreconciled,
REC000453,TXN000453,reconciled,2025-08-26
REC000454,TXN000454,reconciled,2025-08-14
REC000455,TXN000455,pending,
REC000456,TXN000456,reconciled,2026-06-11
REC000457,TXN000457,reconciled,2026-01-26
REC000458,TXN000458,pending,
REC000459,TXN000459,reconciled,2026-03-19
REC000460,TXN000460,reconciled,2026-02-06
REC000461,TXN000461,reconciled,2026-01-22
REC000462,TXN000462,reconciled,2026-04-10
REC000463,TXN000463,reconciled,2026-06-21
REC000464,TXN000464,reconciled,2025-10-12
REC000465,TXN000465,reconciled,2026-08-11
REC000466,TXN000466,unreconciled,
REC000467,TXN000467,unreconciled,
REC000468,TXN000468,reconciled,2026-05-12
REC000469,TXN000469,reconciled,2025-11-14
REC000470,TXN000470,reconciled,2025-11-09
REC000471,TXN000471,reconciled,2026-01-29
REC000472,TXN000472,reconciled,2026-05-01
REC000473,TXN000473,unreconciled,
REC000474,TXN000474,reconciled,2026-04-27
REC000475,TXN000475,pending,
REC000476,TXN000476,unreconciled,
REC000477,TXN000477,pending,
REC000478,TXN000478,pending,
REC000479,TXN000479,reconciled,2026-06-07
REC000480,TXN000480,reconciled,2025-09-11
REC000481,TXN000481,reconciled,2026-04-18
REC000482,TXN000482,reconciled,2026-05-23
REC000483,TXN000483,pending,
REC000484,TXN000484,reconciled,2025-12-28
REC000485,TXN000485,reconciled,2026-04-24
REC000486,TXN000486,pending,
REC000487,TXN000487,pending,
REC000488,TXN000488,pending,
REC000489,TXN000489,reconciled,2026-05-07
REC000490,TXN000490,unreconciled,
REC000491,TXN000491,reconciled,2026-06-30
REC000492,TXN000492,reconciled,2026-08-02
REC000493,TXN000493,reconciled,2026-09-05
REC000494,TXN000494,unreconciled,
REC000495,TXN000495,reconciled,2025-09-21
REC000496,TXN000496,pending,
REC000497,TXN000497,pending,
REC000498,TXN000498,unreconciled,
REC000499,TXN000499,reconciled,2026-02-28
REC000500,TXN000500,pending,
REC000501,TXN000501,reconciled,2026-01-08
REC000502,TXN000502,unreconciled,
REC000503,TXN000503,reconciled,2026-07-04
REC000504,TXN000504,reconciled,2026-08-29
REC000505,TXN000505,reconciled,2026-07-14
REC000506,TXN000506,reconciled,2026-06-19
REC000507,TXN000507,reconciled,2026-05-21
REC000508,TXN000508,reconciled,2026-05-25
REC000509,TXN000509,reconciled,2026-01-19
REC000510,TXN000510,reconciled,2025-11-12
REC000511,TXN000511,reconciled,2026-09-04
REC000512,TXN000512,pending,
REC000513,TXN000513,reconciled,2026-04-14
REC000514,TXN000514,reconciled,2026-06-22
REC000515,TXN000515,unreconciled,
REC000516,TXN000516,reconciled,2026-03-09
REC000517,TXN000517,reconciled,2026-01-24
REC000518,TXN000518,reconciled,2025-08-17
REC000519,TXN000519,pending,
REC000520,TXN000520,reconciled,2026-01-13
REC000521,TXN000521,reconciled,2026-02-16
REC000522,TXN000522,reconciled,2026-01-19
REC000523,TXN000523,reconciled,2026-06-26
REC000524,TXN000524,unreconciled,
REC000525,TXN000525,reconciled,2026-05-30
REC000526,TXN000526,reconciled,2026-03-26
REC000527,TXN000527,reconciled,2025-12-04
REC000528,TXN000528,reconciled,2026-05-07
REC000529,TXN000529,reconciled,2025-11-10
REC000530,TXN000530,reconciled,2025-11-03
REC000531,TXN000531,reconciled,2026-07-26
REC000532,TXN000532,reconciled,2026-02-18
REC000533,TXN000533,reconciled,2025-10-05
REC000534,TXN000534,reconciled,2025-09-12
REC000535,TXN000535,pending,
REC000536,TXN000536,reconciled,2026-05-10
REC000537,TXN000537,reconciled,2026-03-30
REC000538,TXN000538,reconciled,2026-06-21
REC000539,TXN000539,reconciled,2026-07-11
REC000540,TXN000540,reconciled,2025-11-26
REC000541,TXN000541,reconciled,2026-06-13
REC000542,TXN000542,unreconciled,
REC000543,TXN000543,reconciled,2026-06-15
REC000544,TXN000544,reconciled,2026-06-12
REC000545,TXN000545,unreconciled,
REC000546,TXN000546,reconciled,2026-08-05
REC000547,TXN000547,reconciled,2025-11-18
REC000548,TXN000548,reconciled,2026-05-26
REC000549,TXN000549,unreconciled,
REC000550,TXN000550,reconciled,2026-05-20
REC000551,TXN000551,reconciled,2026-04-08
REC000552,TXN000552,reconciled,2026-06-05
REC000553,TXN000553,unreconciled,
REC000554,TXN000554,unreconciled,
REC000555,TXN000555,reconciled,2025-12-19
REC000556,TXN000556,reconciled,2025-10-25
REC000557,TXN000557,reconciled,2026-02-01
REC000558,TXN000558,reconciled,2026-08-10
REC000559,TXN000559,pending,
REC000560,TXN000560,reconciled,2026-07-13
REC000561,TXN000561,reconciled,2026-07-23
REC000562,TXN000562,reconciled,2026-07-19
REC000563,TXN000563,pending,
REC000564,TXN000564,reconciled,2025-10-05
REC000565,TXN000565,pending,
REC000566,TXN000566,reconciled,2026-07-17
REC000567,TXN000567,reconciled,2025-12-28
REC000568,TXN000568,reconciled,2026-04-13
REC000569,TXN000569,pending,
REC000570,TXN000570,reconciled,2026-06-19
REC000571,TXN000571,unreconciled,
REC000572,TXN000572,reconciled,2026-03-15
REC000573,TXN000573,reconciled,2026-07-08
REC000574,TXN000574,unreconciled,
REC000575,TXN000575,reconciled,2025-11-25
REC000576,TXN000576,reconciled,2025-08-25
REC000577,TXN000577,reconciled,2026-01-09
REC000578,TXN000578,pending,
REC000579,TXN000579,reconciled,2025-10-18
REC000580,TXN000580,unreconciled,
REC000581,TXN000581,unreconciled,
REC000582,TXN000582,reconciled,2026-09-06
REC000583,TXN000583,unreconciled,
REC000584,TXN000584,reconciled,2025-10-21
REC000585,TXN000585,unreconciled,
REC000586,TXN000586,reconciled,2025-11-10
REC000587,TXN000587,reconciled,2026-09-09
REC000588,TXN000588,reconciled,2025-09-14
REC000589,TXN000589,unreconciled,
REC000590,TXN000590,reconciled,2026-04-11
REC000591,TXN000591,reconciled,2025-11-17
REC000592,TXN000592,reconciled,2025-10-13
REC000593,TXN000593,reconciled,2026-07-28
REC000594,TXN000594,unreconciled,
REC000595,TXN000595,reconciled,2025-12-12
REC000596,TXN000596,reconciled,2026-06-16
REC000597,TXN000597,reconciled,2026-02-20
REC000598,TXN000598,unreconciled,
REC000599,TXN000599,reconciled,2026-07-18
REC000600,TXN000600,reconciled,2026-08-03
REC000601,TXN000601,reconciled,2026-09-06
REC000602,TXN000602,reconciled,2026-08-02
REC000603,TXN000603,reconciled,2026-04-09
REC000604,TXN000604,reconciled,2025-08-13
REC000605,TXN000605,reconciled,2026-01-27
REC000606,TXN000606,unreconciled,
REC000607,TXN000607,reconciled,2025-10-18
REC000608,TXN000608,reconciled,2026-08-13
REC000609,TXN000609,pending,
REC000610,TXN000610,reconciled,2026-05-21
REC000611,TXN000611,reconciled,2026-05-22
REC000612,TXN000612,reconciled,2025-10-19
REC000613,TXN000613,reconciled,2026-05-29
REC000614,TXN000614,pending,
REC000615,TXN000615,reconciled,2026-08-17
REC000616,TXN000616,reconciled,2025-09-28
REC000617,TXN000617,reconciled,2026-03-12
REC000618,TXN000618,reconciled,2025-09-18
REC000619,TXN000619,unreconciled,
REC000620,TXN000620,reconciled,2026-01-08
REC000621,TXN000621,reconciled,2025-09-08
REC000622,TXN000622,reconciled,2026-08-13
REC000623,TXN000623,unreconciled,
REC000624,TXN000624,reconciled,2026-06-07
REC000625,TXN000625,unreconciled,
REC000626,TXN000626,reconciled,2026-04-17
REC000627,TXN000627,reconciled,2026-01-08
REC000628,TXN000628,reconciled,2025-10-03
REC000629,TXN000629,reconciled,2026-08-30
REC000630,TXN000630,unreconciled,
REC000631,TXN000631,reconciled,2025-12-03
REC000632,TXN000632,reconciled,2025-11-10
REC000633,TXN000633,reconciled,2025-11-12
REC000634,TXN000634,reconciled,2026-06-02
REC000635,TXN000635,reconciled,2026-01-24
REC000636,TXN000636,pending,
REC000637,TXN000637,reconciled,2025-11-07
REC000638,TXN000638,reconciled,2026-08-06
REC000639,TXN000639,reconciled,2026-08-17
REC000640,TXN000640,reconciled,2026-06-14
REC000641,TXN000641,reconciled,2025-12-07
REC000642,TXN000642,reconciled,2025-10-05
REC000643,TXN000643,unreconciled,
REC000644,TXN000644,reconciled,2025-10-10
REC000645,TXN000645,reconciled,2025-11-11
REC000646,TXN000646,reconciled,2026-05-30
REC000647,TXN000647,reconciled,2026-01-06
REC000648,TXN000648,reconciled,2026-08-17
REC000649,TXN000649,reconciled,2026-04-28
REC000650,TXN000650,unreconciled,
REC000651,TXN000651,reconciled,2026-01-22
REC000652,TXN000652,reconciled,2026-05-13
REC000653,TXN000653,unreconciled,
REC000654,TXN000654,pending,
REC000655,TXN000655,reconciled,2026-03-07
REC000656,TXN000656,reconciled,2026-03-05
REC000657,TXN000657,reconciled,2026-08-21
REC000658,TXN000658,reconciled,2025-09-04
