transaction_id,case_id,reconciliation_status
32f93e8f-befd-4a2a-8569-de09043a34ea,REC-LEGACY-0101,reconciled
389afe0a-66a7-4a8a-897e-ccd238bf3e38,REC-LEGACY-0110,reconciled
3932316b-19d0-4ddf-a68c-37eb4d745e53,REC-LEGACY-0111,reconciled
39aaaf1d-3a24-4b9c-99e9-0b02ee07d1b7,REC-LEGACY-0112,reconciled
3bdd28e6-d41e-4f25-a410-c033c4cb3c1c,REC-LEGACY-0116,reconciled
3cd4cf1b-60da-49a9-abbd-bd3cf1aa9a42,REC-LEGACY-0118,reconciled
3e769297-8038-4ad1-b43c-bb2cab311bb5,REC-LEGACY-0121,reconciled
4016411d-1e98-4be1-83fd-060fe92aefc1,REC-LEGACY-0124,reconciled
4078a47a-5db8-40f5-8699-c47916f6a068,REC-LEGACY-0125,reconciled
40e4b7d1-a764-431b-a614-f7073656c9a2,REC-LEGACY-0126,reconciled
44fbf3e0-91ea-46b3-b957-a12f665ee491,REC-LEGACY-0134,reconciled
45d10965-1972-499b-986c-100b0afa7e2b,REC-LEGACY-0136,reconciled
46bf7b5a-863a-4cf8-9b45-eb3cb4028b57,REC-LEGACY-0138,reconciled
490b1e10-68d3-4110-a354-5d3e9f2e021a,REC-LEGACY-0142,reconciled
4999ec8c-11c4-47d8-b639-0735815f8a59,REC-LEGACY-0143,reconciled
4aa7f27a-50f7-491e-8b5a-96e6dc149987,REC-LEGACY-0145,reconciled
4bb1917f-f539-4402-9359-6aca2e071642,REC-LEGACY-0147,reconciled
504bd696-1453-4108-9e75-1f485d973224,REC-LEGACY-0156,reconciled
53ab379f-d387-43ba-b9d1-901a58c27aec,REC-LEGACY-0163,reconciled
54f6bb2e-3fc3-4f87-bf62-9ee18078fc89,REC-LEGACY-0165,reconciled
56f4c084-2ada-488e-815c-412cf421e808,REC-LEGACY-0169,reconciled
5ea16cf1-c169-4c18-913e-48f8c1d76b99,REC-LEGACY-0184,reconciled
5f618324-087f-4648-8906-1c6566386965,REC-LEGACY-0186,reconciled
61a8dc52-888c-475b-82ad-b48dade323c8,REC-LEGACY-0191,reconciled
65610acd-57b8-469d-a317-b752f798f9f9,REC-LEGACY-0198,reconciled
680c06cc-1aaf-4ce5-87dd-36f3a9ed7bbb,REC-LEGACY-0203,reconciled
689dda7f-76af-41ae-9012-8276441448b6,REC-LEGACY-0204,reconciled
698e94a4-ac88-49da-88dd-dbe343882d40,REC-LEGACY-0206,reconciled
6b107f0d-e6b0-41c0-8d9a-8214e0181783,REC-LEGACY-0209,reconciled
6d74dd48-0bef-445f-99d5-9acb4c23be7e,REC-LEGACY-0214,reconciled
72539ae1-b2cd-4686-b3ee-e220d8cd510a,REC-LEGACY-0223,reconciled
72ba069c-5c5a-4671-910c-85c32a4a2b51,REC-LEGACY-0224,reconciled
73d2d4a9-b541-4ef7-bba5-38e992f48cab,REC-LEGACY-0226,reconciled
745abdc5-13f7-4f9f-929a-68de38aa5a0b,REC-LEGACY-0227,reconciled
768d8cd0-f64d-47e4-a277-fb217141942f,REC-LEGACY-0231,reconciled
77472714-41af-4d14-b301-2fb30de8c304,REC-LEGACY-0232,reconciled
77e21ba0-ecb6-4c61-aa45-f7f1a49f8386,REC-LEGACY-0233,reconciled
78f551aa-2a41-4e96-9b0f-88397cb23d8c,REC-LEGACY-0235,reconciled
7ad9ead3-548e-4d1c-8e04-6f44a01295fd,REC-LEGACY-0239,reconciled
7b4bd1c9-a4fd-49d2-986d-6cc749a64bb6,REC-LEGACY-0240,reconciled
7eb76762-dd92-4f4c-aeda-343544e71b36,REC-LEGACY-0247,reconciled
7f9fbbe2-76a9-415f-91bc-6a54902f8fac,REC-LEGACY-0249,reconciled
82213c12-2fbc-44ee-ba64-e403522c28c9,REC-LEGACY-0254,reconciled
82a5a8d2-0988-4089-973d-0bd2eac0eacc,REC-LEGACY-0255,reconciled
8469a813-c969-4535-aff5-5e556f6de8c9,REC-LEGACY-0258,reconciled
852ff14d-d9a8-49cf-86aa-73d76cb0baee,REC-LEGACY-0260,reconciled
85835a23-1620-458e-8fcf-f8b59bbb6077,REC-LEGACY-0261,reconciled
85fb0353-d131-4d96-b156-293e5f2b4862,REC-LEGACY-0262,reconciled
88e76c6d-f3f5-4dad-9547-be04481ac9a5,REC-LEGACY-0268,reconciled
8cd4468b-888f-4c09-9bd5-30b0a7f917d6,REC-LEGACY-0275,reconciled
8e6309e3-3bdf-4504-b7ea-56e0e6472175,REC-LEGACY-0278,reconciled
8ee9d009-a404-4318-8fa1-e227485ed9eb,REC-LEGACY-0279,reconciled
8fab5558-97d8-44a6-aebf-001fae8d18af,REC-LEGACY-0281,reconciled
903ef86a-0689-4a72-a321-d757db7c55b7,REC-LEGACY-0282,reconciled
91dddbca-d124-4c8c-be51-3d5318a9369d,REC-LEGACY-0285,reconciled
92e3e114-d8ae-40c6-b2f9-e5a098750f37,REC-LEGACY-0287,reconciled
939693fa-9de4-4e46-8638-cef5e8fce5a8,REC-LEGACY-0288,reconciled
942970c6-3cad-4cbf-8151-bd9fc2efc0d7,REC-LEGACY-0289,reconciled
990d8144-d774-4ef2-a76b-b5d03eb62d83,REC-LEGACY-0297,reconciled
9d691249-1043-46ae-add6-ef7ea871a81f,REC-LEGACY-0305,reconciled
9fea9a8a-9fa9-4fd2-9108-850654ec2682,REC-LEGACY-0310,reconciled
a1d4309e-a86c-41fe-9178-4440f19f904b,REC-LEGACY-0314,reconciled
a31e7551-8299-453e-a4dc-a70915d8c10b,REC-LEGACY-0317,reconciled
a44b5477-fadd-4710-8a71-04d0edd330ce,REC-LEGACY-0319,reconciled
a613ef15-ece1-470c-b8af-be34a3ec22e9,REC-LEGACY-0323,reconciled
a688eef7-9f11-48bd-b052-2efc2d1dfbbf,REC-LEGACY-0324,reconciled
a785bc2a-412e-4ac9-92c3-313b228802a1,REC-LEGACY-0326,reconciled
aa602b37-ee9a-40d3-bd0b-fb65b593fda1,REC-LEGACY-0332,reconciled
ab337f93-57f5-4cb1-b48a-e254a54daab5,REC-LEGACY-0334,reconciled
af559eae-26a4-4805-b3ed-aa410cc6839e,REC-LEGACY-0342,reconciled
b569d9ef-f73e-4c94-8fce-9b138d86c33e,REC-LEGACY-0353,reconciled
b66301c1-55f2-43cb-ba3e-db22f85e4c5b,REC-LEGACY-0355,reconciled
b7474b0a-312d-4530-99dd-55df1b3470c6,REC-LEGACY-0357,reconciled
b8501639-9874-4212-924e-5947e809099c,REC-LEGACY-0359,reconciled
b8efdabd-8423-4f31-b4a7-9dc021c80efe,REC-LEGACY-0360,reconciled
ba27535e-6e5e-4a5c-9e38-fa5b689069b3,REC-LEGACY-0362,reconciled
baa58f01-1f21-4011-b9d9-7477f45bf039,REC-LEGACY-0363,reconciled
bd1df5b9-8610-4406-a188-dc014eda8cfc,REC-LEGACY-0368,reconciled
c11f9d21-309d-427f-97db-4d76ef3b0f5a,REC-LEGACY-0376,reconciled
c19ad2da-1fd9-4efe-b27a-7af4a76bd6e7,REC-LEGACY-0377,reconciled
c24d5aca-da1b-404b-90d2-cbcc1b9763f8,REC-LEGACY-0378,reconciled
c35cc920-cb97-4f9e-81b6-af8d2f92e585,REC-LEGACY-0380,reconciled
c5886bbc-6931-4ab7-abac-c7c40905595e,REC-LEGACY-0384,reconciled
c7d81ab7-1bcc-47dc-bca8-660f6f80637b,REC-LEGACY-0388,reconciled
cf338aa4-f8e2-4ecc-b75f-f19912790e98,REC-LEGACY-0402,reconciled
d015cecb-c81d-4da4-9ec2-f737591f87a5,REC-LEGACY-0404,reconciled
d096e687-5fc9-48bf-89d1-0913df082a23,REC-LEGACY-0405,reconciled
d4b4b244-7667-4be2-98bc-58467c613968,REC-LEGACY-0414,reconciled
d53b46a3-227b-4de2-b2f5-9174dd45b466,REC-LEGACY-0415,reconciled
d5b7b07b-509e-4673-9210-9fea37e1d9cb,REC-LEGACY-0416,reconciled
d70c1dd6-0950-438d-97c5-8563dfd2221f,REC-LEGACY-0419,reconciled
d779c0d8-683b-4ff4-8813-9d5e8f81185e,REC-LEGACY-0420,reconciled
d86fdd2e-fa4c-4d6a-bc55-c7daee9f1318,REC-LEGACY-0422,reconciled
d971ecf7-3f70-42ea-a2ea-a818a3173588,REC-LEGACY-0424,reconciled
dcd5afe7-7ba7-44d6-af46-846cf361ab80,REC-LEGACY-0431,reconciled
ddd0711e-7be9-481c-9236-f8ccd14726c3,REC-LEGACY-0433,reconciled
de84fa64-4741-4092-bf2c-35ff674e4a6e,REC-LEGACY-0434,reconciled
df811169-1a3e-4ef7-ac4e-384467c14632,REC-LEGACY-0436,reconciled
dfd4d7ad-12f7-4535-a940-4a18c6f7886a,REC-LEGACY-0437,reconciled
e0f33dbf-fa83-4cb1-86cf-312f411457ae,REC-LEGACY-0439,reconciled
e17b2321-e487-4a51-9182-f813f89f6af4,REC-LEGACY-0440,reconciled
e1fd989a-9959-4789-910c-d275472c561a,REC-LEGACY-0441,reconciled
e3b076ec-85f9-466e-9d3d-20d6e357af09,REC-LEGACY-0444,reconciled
e4713aeb-2f06-4729-ace3-d695e2e63b9d,REC-LEGACY-0446,reconciled
ea1be4fc-8685-4e36-ab22-4e46a4913222,REC-LEGACY-0458,reconciled
ea9a964f-0b04-4f2f-a534-afa8e7bcfaa4,REC-LEGACY-0459,reconciled
ed49dbde-74fd-4fef-baa5-b92dbaf68dd9,REC-LEGACY-0464,reconciled
ee9f820a-7185-4070-9122-f365ffea38e1,REC-LEGACY-0467,reconciled
ef9f58de-09f8-4255-910b-3878302b6919,REC-LEGACY-0469,reconciled
f4a1c1c9-a62b-416d-af76-c22abdaa1d0d,REC-LEGACY-0478,reconciled
f510c570-e41b-4d45-8da3-94ff31fb56c7,REC-LEGACY-0479,reconciled
f96a3ddb-588d-4c5a-a59b-0c97fb19f95c,REC-LEGACY-0487,reconciled
fa533e08-7929-41bb-806d-a5aa70c8351a,REC-LEGACY-0489,reconciled
fd114f40-8b19-4f7b-8a0c-22630e92613f,REC-LEGACY-0495,reconciled
febdf971-dae5-4266-8c18-33298aa1c451,REC-LEGACY-0498,reconciled
ff5115d5-ccc8-4d59-aef7-ec33402ce394,REC-LEGACY-0499,reconciled
