transaction_id,reference_id,case_id
689dda7f-76af-41ae-9012-8276441448b6,N8639690,REC-LEGACY-0204
698e94a4-ac88-49da-88dd-dbe343882d40,N5207197,REC-LEGACY-0206
6b107f0d-e6b0-41c0-8d9a-8214e0181783,N5667142,REC-LEGACY-0209
6d74dd48-0bef-445f-99d5-9acb4c23be7e,S9919973,REC-LEGACY-0214
72539ae1-b2cd-4686-b3ee-e220d8cd510a,U4995177,REC-LEGACY-0223
72ba069c-5c5a-4671-910c-85c32a4a2b51,S5513109,REC-LEGACY-0224
73d2d4a9-b541-4ef7-bba5-38e992f48cab,N9469629,REC-LEGACY-0226
745abdc5-13f7-4f9f-929a-68de38aa5a0b,U4559166,REC-LEGACY-0227
768d8cd0-f64d-47e4-a277-fb217141942f,N4501350,REC-LEGACY-0231
77472714-41af-4d14-b301-2fb30de8c304,N5788720,REC-LEGACY-0232
77e21ba0-ecb6-4c61-aa45-f7f1a49f8386,T4696449,REC-LEGACY-0233
78f551aa-2a41-4e96-9b0f-88397cb23d8c,,REC-LEGACY-0235
7ad9ead3-548e-4d1c-8e04-6f44a01295fd,S5237659,REC-LEGACY-0239
7b4bd1c9-a4fd-49d2-986d-6cc749a64bb6,S3187425,REC-LEGACY-0240
7eb76762-dd92-4f4c-aeda-343544e71b36,N4510149,REC-LEGACY-0247
7f9fbbe2-76a9-415f-91bc-6a54902f8fac,R3042187,REC-LEGACY-0249
82213c12-2fbc-44ee-ba64-e403522c28c9,I2092411,REC-LEGACY-0254
82a5a8d2-0988-4089-973d-0bd2eac0eacc,R5412940,REC-LEGACY-0255
8469a813-c969-4535-aff5-5e556f6de8c9,S3671345,REC-LEGACY-0258
852ff14d-d9a8-49cf-86aa-73d76cb0baee,R4631799,REC-LEGACY-0260
85835a23-1620-458e-8fcf-f8b59bbb6077,S3956469,REC-LEGACY-0261
85fb0353-d131-4d96-b156-293e5f2b4862,S1484791,REC-LEGACY-0262
88e76c6d-f3f5-4dad-9547-be04481ac9a5,N1475048,REC-LEGACY-0268
8cd4468b-888f-4c09-9bd5-30b0a7f917d6,,REC-LEGACY-0275
8e6309e3-3bdf-4504-b7ea-56e0e6472175,R2977609,REC-LEGACY-0278
8ee9d009-a404-4318-8fa1-e227485ed9eb,I6695827,REC-LEGACY-0279
8fab5558-97d8-44a6-aebf-001fae8d18af,N2949510,REC-LEGACY-0281
903ef86a-0689-4a72-a321-d757db7c55b7,S5162054,REC-LEGACY-0282
91dddbca-d124-4c8c-be51-3d5318a9369d,R6753330,REC-LEGACY-0285
92e3e114-d8ae-40c6-b2f9-e5a098750f37,I5369537,REC-LEGACY-0287
939693fa-9de4-4e46-8638-cef5e8fce5a8,R1976478,REC-LEGACY-0288
942970c6-3cad-4cbf-8151-bd9fc2efc0d7,U2608478,REC-LEGACY-0289
990d8144-d774-4ef2-a76b-b5d03eb62d83,S9475458,REC-LEGACY-0297
9d691249-1043-46ae-add6-ef7ea871a81f,R7332977,REC-LEGACY-0305
9fea9a8a-9fa9-4fd2-9108-850654ec2682,,REC-LEGACY-0310
a1d4309e-a86c-41fe-9178-4440f19f904b,,REC-LEGACY-0314
a31e7551-8299-453e-a4dc-a70915d8c10b,S2038774,REC-LEGACY-0317
a44b5477-fadd-4710-8a71-04d0edd330ce,S3364513,REC-LEGACY-0319
a613ef15-ece1-470c-b8af-be34a3ec22e9,T2331025,REC-LEGACY-0323
a688eef7-9f11-48bd-b052-2efc2d1dfbbf,S9918286,REC-LEGACY-0324
a785bc2a-412e-4ac9-92c3-313b228802a1,I6830420,REC-LEGACY-0326
aa602b37-ee9a-40d3-bd0b-fb65b593fda1,T5534804,REC-LEGACY-0332
ab337f93-57f5-4cb1-b48a-e254a54daab5,T8942070,REC-LEGACY-0334
af559eae-26a4-4805-b3ed-aa410cc6839e,R6724873,REC-LEGACY-0342
b569d9ef-f73e-4c94-8fce-9b138d86c33e,T2012902,REC-LEGACY-0353
b66301c1-55f2-43cb-ba3e-db22f85e4c5b,T8205863,REC-LEGACY-0355
b7474b0a-312d-4530-99dd-55df1b3470c6,,REC-LEGACY-0357
b8501639-9874-4212-924e-5947e809099c,R3943893,REC-LEGACY-0359
b8efdabd-8423-4f31-b4a7-9dc021c80efe,U2672068,REC-LEGACY-0360
ba27535e-6e5e-4a5c-9e38-fa5b689069b3,N9263895,REC-LEGACY-0362
baa58f01-1f21-4011-b9d9-7477f45bf039,S5938640,REC-LEGACY-0363
bd1df5b9-8610-4406-a188-dc014eda8cfc,I8727173,REC-LEGACY-0368
c11f9d21-309d-427f-97db-4d76ef3b0f5a,S5789366,REC-LEGACY-0376
c19ad2da-1fd9-4efe-b27a-7af4a76bd6e7,T8085036,REC-LEGACY-0377
c24d5aca-da1b-404b-90d2-cbcc1b9763f8,U3549595,REC-LEGACY-0378
c35cc920-cb97-4f9e-81b6-af8d2f92e585,T4822790,REC-LEGACY-0380
c5886bbc-6931-4ab7-abac-c7c40905595e,N2713767,REC-LEGACY-0384
c7d81ab7-1bcc-47dc-bca8-660f6f80637b,S2012211,REC-LEGACY-0388
cf338aa4-f8e2-4ecc-b75f-f19912790e98,,REC-LEGACY-0402
d015cecb-c81d-4da4-9ec2-f737591f87a5,T2975008,REC-LEGACY-0404
d096e687-5fc9-48bf-89d1-0913df082a23,S4400963,REC-LEGACY-0405
d4b4b244-7667-4be2-98bc-58467c613968,N9128474,REC-LEGACY-0414
d53b46a3-227b-4de2-b2f5-9174dd45b466,T1999294,REC-LEGACY-0415
d5b7b07b-509e-4673-9210-9fea37e1d9cb,T1118162,REC-LEGACY-0416
d70c1dd6-0950-438d-97c5-8563dfd2221f,R8724296,REC-LEGACY-0419
d779c0d8-683b-4ff4-8813-9d5e8f81185e,T5488605,REC-LEGACY-0420
d86fdd2e-fa4c-4d6a-bc55-c7daee9f1318,U3608405,REC-LEGACY-0422
d971ecf7-3f70-42ea-a2ea-a818a3173588,S9134422,REC-LEGACY-0424
dcd5afe7-7ba7-44d6-af46-846cf361ab80,I6937258,REC-LEGACY-0431
ddd0711e-7be9-481c-9236-f8ccd14726c3,T6512238,REC-LEGACY-0433
de84fa64-4741-4092-bf2c-35ff674e4a6e,T1939001,REC-LEGACY-0434
df811169-1a3e-4ef7-ac4e-384467c14632,T6719604,REC-LEGACY-0436
dfd4d7ad-12f7-4535-a940-4a18c6f7886a,N8383822,REC-LEGACY-0437
e0f33dbf-fa83-4cb1-86cf-312f411457ae,U5494158,REC-LEGACY-0439
e17b2321-e487-4a51-9182-f813f89f6af4,N2312602,REC-LEGACY-0440
e1fd989a-9959-4789-910c-d275472c561a,I5977689,REC-LEGACY-0441
e3b076ec-85f9-466e-9d3d-20d6e357af09,S2218660,REC-LEGACY-0444
e4713aeb-2f06-4729-ace3-d695e2e63b9d,N3914295,REC-LEGACY-0446
ea1be4fc-8685-4e36-ab22-4e46a4913222,R2380512,REC-LEGACY-0458
ea9a964f-0b04-4f2f-a534-afa8e7bcfaa4,I3236307,REC-LEGACY-0459
ed49dbde-74fd-4fef-baa5-b92dbaf68dd9,U6310854,REC-LEGACY-0464
ee9f820a-7185-4070-9122-f365ffea38e1,U8588659,REC-LEGACY-0467
ef9f58de-09f8-4255-910b-3878302b6919,I2414762,REC-LEGACY-0469
f4a1c1c9-a62b-416d-af76-c22abdaa1d0d,U9681409,REC-LEGACY-0478
f510c570-e41b-4d45-8da3-94ff31fb56c7,N4303316,REC-LEGACY-0479
f96a3ddb-588d-4c5a-a59b-0c97fb19f95c,N5516145,REC-LEGACY-0487
fa533e08-7929-41bb-806d-a5aa70c8351a,S1979502,REC-LEGACY-0489
fd114f40-8b19-4f7b-8a0c-22630e92613f,I6698676,REC-LEGACY-0495
febdf971-dae5-4266-8c18-33298aa1c451,S4630480,REC-LEGACY-0498
ff5115d5-ccc8-4d59-aef7-ec33402ce394,,REC-LEGACY-0499
